sentence,intensity,gpt_intensity,Predicted_Intensity,Original_Predicted_Intensity
waned i do not know why you would want to watch that nigger bullshit in the first place,6.0,6.0,7,6.7076483
@user i wonder how many of the white trash people who voted for still believes in you,5.0,6.0,5,5.0265465
money grubbing filthy kike in panic mode he has to refund shekels,6.0,6.0,6,6.036752
iron fist is a nigger lover,6.0,6.0,6,5.9814515
did you know muzzie dont pay taxes or interest,6.0,6.0,6,6.407259
in the end who gives a shit if salma hayek got paid to dyke out and now regrets it just another bs accusation from an aging actress,6.0,6.0,6,5.578396
that bitch ass nigger @user illis wont debate me its scared of yt making it look like a fool,6.0,7.0,7,6.8973722
i did not own any slaves my ancestors never owned a slave i work my ass off for every dollar i get so shove this crap up your bigoted thieving nigger ass ms never was a slave,7.0,6.0,7,7.1363144
how do we deal with mudslime baedophiles,6.0,7.0,7,7.109547
well some kike called me psychopathic once and i have read seige so,6.0,6.0,6,6.1742496
kate brown is a kike whore oregon was a nice state now its cess pit this bitch should pushed down the stairs when everyone is looking,6.0,7.0,7,7.425086
@user given that he some of the globalists top some are kikescum and that the dictatorship ruling over americans is largely comprised of jewfilth perverts and criminals pace wikileaks and that the most powerful banking factions are mostly ratfaced yids,6.0,7.0,6,6.059052
throw some weave on dat bitch just bought a pack of yak,6.0,6.0,6,6.495862
you all still be cuffing the hoes tho so,6.0,6.0,7,7.0130677
bitch what natural flavour is neon blue,6.0,6.0,5,5.05868
sudden death omg by tyler glenn really is that bitch,6.0,6.0,7,6.555647
my problem with these kike lovers is not what they are not doing they are punching right that the problem if they want to keep their fuckin mouths shut fine,6.0,6.0,6,6.350388
you are not a nigger case closed,6.0,6.0,6,6.157788
someone she has not muted should really point out to ion that sinead is a proud mudshark and kikelover,6.0,7.0,7,6.7405334
september ain t waste no time out this ho he came faster than some of you niggers,6.0,6.0,5,4.8947606
a foreign nigger is lord mayor of sheffield,6.0,6.0,6,6.20758
assuming we are on the same side edgy morons like yourself are the enemy have fun alienating people who do not worship your kike on a stick,6.0,6.0,5,4.63978
figures that this homo would promote kike behavior while saying kikes abhor it and blaspheme at the same time ion,6.0,7.0,7,6.6652665
reverse it west yorkshire police are so good at their job no child raped by paki muslims on their watch asif,6.0,8.0,7,7.0307627
i do not need to read any report in my day we hated pakis we knew they were filth they could not keep their hands of young girls and we are sorted regularly and moved to towns where they had brothers safety in numbers yorkshire it called aka paki land,6.0,8.0,7,7.264813
jews are a race of greedy little rat faced beady eyed hook nosed cunts atheism is an ideal about god do you honestly think the two are mutually exclusive that is some nigger level of brain power right there,6.0,7.0,7,6.8738055
my bestie beach sent me a playlist full of white trash music and now i have fallen down an icp rabbit hole at work,5.0,6.0,5,5.041608
@user or worse that dykes from livingston because he is a different option,6.0,6.0,5,5.204244
@user @user @user prime raped bitch,7.0,7.0,7,7.4520907
he rattled a kike,6.0,6.0,6,6.301446
@user if you are reading this you are a faggot i am just memeing and a bit bored,6.0,7.0,6,6.2190776
happy birthday you fat dyke sharonda white,6.0,6.0,6,5.997125
i grew up an hour away from niggerdelphia wm penn would be appalled that the city of brotherly love has turned into a nigger shithole,6.0,7.0,7,7.126207
@user lmfaoo ya moms a hoe,6.0,8.0,7,6.7125225
labour loves the free movement of peoples in europe except when it leads to brown people feelings getting hurt this street shitting raghead need a one way ticket back to which ever shit hole country he crawled out of,6.0,6.0,7,7.3152966
fuck the nigger bitches,6.0,7.0,7,7.4586816
i keep trying to start a petition to make abortion clinics throw the white babies in a separate dumpster from the nigger babies but they keep taking my petition down and now i must be banned cuz i cant start a new one,6.0,8.0,7,6.5543785
call @user a kike or say hes a hero and he can not trip over himself fast enough to give you a platform but if you give him the suggestion perhaps he fundraise for charity to actually help child trafficking victims and you will hear such a profound silence,6.0,6.0,7,6.602465
@user @user @user do not let him offend you carnal that trailer trash ain t worth it,4.0,5.0,6,5.7108965
these nasty crazy dumb lying white sluts have obviously fucked up my mother and sisters mind with their drugs and lies,6.0,7.0,7,6.6935506
it was her nigger buck,6.0,6.0,6,6.482576
these pathetic fucks are desperate for any nigger to use as a shield to fend off meaningless words from people who hate them any simian willing to ape basic bitch talking points for a banana will do,6.0,7.0,7,7.4794674
lol what a kike retard,6.0,6.0,6,5.9624453
south of the md is just as bad atlanta memphis nashville tampa jacksonville charlotte houston dallas nawlins etc the ol south is a memory you guys have been tossed away for blacks and muzzies,6.0,6.0,7,7.015516
black man kills a white child in a rap video nothing actually happens white man says nigger on a youtube video advertisers lose their minds and shoah him from the internet,6.0,6.0,7,6.7292604
jean is absolutely retarded and apparently a heeb dickrider,7.0,8.0,5,5.0289016
ladies we not taking no niggas serious starting june it summer so they bout to have many girlfriends,6.0,6.0,6,6.44061
damn nigga chewbacca died lol,6.0,6.0,6,6.12934
you want that pretty flacko ratchets designer jackets the same niggas who jack it be the first who claim we faggots,6.0,7.0,7,6.6356115
i am tired of niggas acting like carmelo anthony is trash,6.0,6.0,6,5.7156224
the nigger mess gets bigger till the white man pulls the trigger,6.0,6.0,6,6.308197
@user lol niggers mess with operating systems dwg this ain t nothing,6.0,6.0,6,6.08479
i doubt that filth fucking bolshevik kike said that,6.0,7.0,6,5.6102386
trulay a pathetic unfunny zhid cunt,6.0,6.0,6,6.0910263
mandela gave them freedom now it white genocide in south africa you can not take the hood out of the nigger proof,6.0,7.0,7,6.671685
destroy this kike run organization and the jumping monkeys they own,6.0,6.0,6,6.4284873
better yet call becky with the hoe pxy,6.0,6.0,7,6.849437
cock slut what the hell is this,6.0,8.0,6,5.9843783
millions of white children raped by paki muslims in the uk covered up by the pm mps police councillors the war has been started by those people not doing their jobs so you drop dead eh,8.0,9.0,8,7.5098367
i gained followers from this kike lovers post thanks faggot,6.0,7.0,6,6.4640064
filthy nigger scum black violence black crime send them back to africa this week in black crime segregation now,6.0,7.0,7,6.7726126
but that you can not even articulate kike what is yes a kike is anyone who signals against myself or any other alt right person who only exposes jews and my posts judaism v the world among other posts have brought you to my timeline kike,6.0,6.0,6,6.3274465
compliments from women are more appreciated by me than a man compliment bitches be mean so if she says you cute you cute hun,6.0,6.0,7,6.7484465
lmaoaoao these niggas are strags,6.0,6.0,6,6.302707
you niggers are dumb,6.0,6.0,5,5.3224306
sit down faggots,6.0,6.0,6,6.2815294
then quit talking like a kike yenta ya fat pig the world is chock full of pieces of shit white race traitors like you cunt,6.0,6.0,7,7.218061
you nigger faggot a war is coming you and your subhuman brethren will not survive it,6.0,7.0,7,6.652029
you are kidding man these coalburners make a killing cut off the donations and she d be raising tyrone baby niglets though lol,6.0,7.0,6,6.367234
and he also a nigger,6.0,6.0,6,6.2321076
who cares what is popular what are you kikes want you and your children dead this is well known but i bet you are still watching nigger ball and hollywood garbage,6.0,7.0,7,7.050402
look at this bloated nigger sow,6.0,6.0,6,6.2328653
man you really suffer from schizophrenia that gibberish even here scary muting u you are crazy unstable mentally ill like typical yid and a school shooter,6.0,7.0,6,6.296788
yo hotep babydaddy aint send your child support on time so you tryna lash out at the huuwhyte man lmao relax moolie you know niggas is always late stop hyperventilating he will give ya money soon enough,6.0,6.0,7,6.625719
niggaz was fat in the good old days and they usually died of heartattacks by fitty from crack cocaine and chasing white women dat nigger found jesus and a guru,6.0,7.0,7,6.584098
yes he respects women and is totally not a repulsive shitskin super beta who has to badger women until he orgasms mpc status updates,7.0,7.0,7,7.306933
western europeans united against the inferior subhuman mudslime filth,6.0,6.0,7,6.6907277
i keep saying them white bitches are pure evil when their back is against the wall they only care about themselves oh and them white niggas too i have witnessed this in so many different scenarios,6.0,6.0,7,7.312007
cause why beg when it niggas out here begging me,6.0,6.0,6,6.1228933
seven bitches with me and ain t none of them mediocre from they head to they toes they so far from mediocre hadi yallah ananızı sikerim,6.0,7.0,8,7.6719146
and if yo bitch fast prolly cuz she out here runnin,6.0,7.0,7,6.5722094
bitches be so mad over some shit they cant control,6.0,6.0,6,6.0150566
there too many wypipo asking what this is and if they can get in this is a niggers only event,6.0,6.0,6,5.9033
@user @user those must be all the women that like being abused raped grabbed by the pussy,8.0,9.0,8,7.6180687
this is wrong it included nigger on the end it read white lives matter nigger that why this particular incident was a bigger deal,6.0,6.0,6,6.4121346
@user do not eye roll me bitch be nice you slutty slut shamefull sinner liar of the century,6.0,7.0,7,7.307013
you are officially a nigger or jew or oven middle class if you use the phrase white trash,6.0,6.0,7,6.641672
they should tie this bitch down and let everyone of those girls stab her to death welcome to hell you muzzy cunt,8.0,8.0,8,7.7383804
just another nigger heard form move along nothing new to see here,6.0,6.0,6,6.4847775
welp gave the negro too much credit because he currently ruining my bath by coming in here taking a shit,6.0,8.0,6,6.127273
the nigger football league is now gonna have some prancing fairies for cheerleaders hahahhahaha have not watched a game in years and never will again they can take a knee and fuck off,6.0,7.0,7,7.070721
@user well he was ex military so i was thinking regulation programmed bot sent out to cover up the public outrage over the chicago kidnapping now it probably still that but add muzzie to the mix,6.0,6.0,7,6.7935696
punch yourself in the womb kill that nigger baby before you shit it out,9.0,9.0,7,6.85314
shut up you dumb kike,6.0,6.0,6,6.09758
mane fuck you all kike,6.0,6.0,7,6.532364
people who sleep on dally as a hoe anthem are you really hoes,6.0,6.0,7,7.20585
type of nigga to fight the doctor,6.0,6.0,6,5.8014
be armed and avoid travel in cities we can never take the nigger out of the nigger chicago baltimore detroit should be no go zones and let them all kill each other hope the some percent of good blacks move first,7.0,7.0,6,6.4163537
even a down syndrome kike knows the torah was written during captivity in babylon compare the myths,6.0,7.0,6,6.143727
@user then you are retarded which is kinda true,5.0,6.0,3,3.2632701
well of course hockey players will have some respect they are mostly white niggers can t play hockey the sport involves too much fast abstract reasoning something the average nigger ain t capable of the few shit skin nhl players i have heard of are watered down quadroons mostly white genes,7.0,7.0,7,6.832455
this quarterback is shitting his pants who is this nigger du kvs vt,6.0,6.0,7,6.506771
i do not wanna be on twitter when the verdict for the white bitch who killed the black man in his own apartment is announced if it not guilty on murder charges i just can not be on here,6.0,7.0,7,6.6876106
is it actually possible to save a hoe,6.0,6.0,7,6.9045615
time to pack it in and let the jews win guys some spic who shot up a school had a loose connection to some larping white nationalists,7.0,4.0,7,6.973804
i know the white bitch is going to jail cuz she a woman but still lmaoo good riddance hoe,6.0,6.0,7,7.184302
i wish someone loved me the way my cat loves me sike bitch is annoying,6.0,6.0,6,6.1136813
these bitchass niggas bashing others for binge watching got should just fuck out of here ugot ayingowakulo bani,6.0,8.0,7,6.77898
miley cyrus psycho phase get it bitch,6.0,6.0,6,6.4624343
niggas really let idubbz say nigger faggot and ain t even care,6.0,6.0,7,6.6882896
@user because white assholes assume the entire world is theirs,6.0,6.0,6,5.972273
yeah probably sunni but i do not care what flavor moslem they are get all the moslem invaders the fuck outta western countries,6.0,6.0,7,6.59838
same with all the paki rape gangs how can it be so pervasive without total support from cops courts and cunts in politics i also ask how can everybody in a town not be aware of the rape house with fucking pakis standing a queue out front,9.0,9.0,8,7.8830156
meanwhile moslem grooming gangs and rapists do not get life behind bars or deportation,8.0,9.0,7,7.3477693
i am surprised that nigger is not raping those other monkeys good thing that stick is in his way,7.0,8.0,7,6.9102693
the fucking kike sob banned my favorite youtube channel motherfucker we all listen to it at work everyday,7.0,6.0,7,7.064256
damn zidane do not trust the belgian slut no more,6.0,6.0,5,5.4476132
u can rent a hoe but u can not buy a bitch,6.0,7.0,7,7.0627217
why change the game for the nigger assholes if the anthem has been a traditional start it should stay screw the thug niggers,6.0,7.0,7,6.988795
@user i know she goin bout how long is she really gone be in that hoe white time and black time different,6.0,3.0,6,6.431757
i am old enough to remember when americans — republicans and democrats — rallied around nikki haley after a member of her own party sc sen jake knotts who has since been defeated in a primary called gov haley as well as president obama a raghead,6.0,6.0,7,6.539545
go play with your own kind half nigger,6.0,6.0,6,6.159026
@user bro you was telling me that you want a white women to tie you up and call you nigger,6.0,6.0,6,6.3449864
some of you all on here are hoes stop it,6.0,6.0,7,6.5145555
bro nosey ass bitches,6.0,6.0,6,6.2106056
i asked for a dub nigga gave me shrooms wtf,6.0,6.0,5,5.2501025
it like a horror movie where the guy turns into a werewolf they look like they are wereniggers transforming into nigger strippers,7.0,7.0,7,6.864014
do not forget the muzrat cop that works for him and belongs to cair,6.0,6.0,6,6.366648
i hate to rain on your parade but iceland is considered the most feminist country in the world and is first country to have an openly lesbian butch dyke pm caveat emptor,6.0,6.0,5,5.0534353
fast nigger wants to drive fass see ya at the next red light nigga,6.0,6.0,6,6.4749026
you seen how many old stormer accounts have been banned i got a warning for defending paul nehlen against based spic maga hat burger nationalists,6.0,6.0,6,6.0961986
@user @user i always wondered why weidner acted like a faggot,6.0,7.0,7,6.5611196
shot by a muzzie that reported to a dyke who answered to a leftist mudshark in communist mn yeah i believe it,6.0,6.0,7,7.419717
@user me to you or i am like you know what i take it back fuck you too hoe,6.0,6.0,7,6.935994
same thing that happens when you allow a short haired dyke to be a sheriff in broward county florida,6.0,6.0,7,6.6894593
winner winner chicken dinner and do not forget that cia nigger malcolm nance on msnbc,6.0,6.0,6,6.4064856
no truer words as i laugh at the coons who come here to beg for acceptance @user @user,6.0,6.0,5,5.151156
@user you killed it man great job verbally shoving that kike in the oven you are a fucking hero,7.0,7.0,7,6.9650025
it is impossible for me to follow the rules on twitter you can not even call girls who shave the sides of their heads ugly dykes anymore,6.0,7.0,7,7.2224483
beaners are keen to violence just ask the inquisitors conquistadors and spanish communists,6.0,6.0,6,5.7763286
i stand with brianna brochu because being forced to live with some loud affirmative action sheboon will make even the best of us do crazy things university of hartford justice for jazzy,6.0,6.0,6,6.30611
@user eldar is queer race imperium of man is patriarchy welcome to the new faggotry lmao,6.0,6.0,7,7.038643
remeber when you could say retard faggot and nigger as a joke and no one would get upset good times,6.0,7.0,7,6.7513113
@user they are the ones who hang out with trust fund white bitches and date white man,6.0,6.0,7,7.347381
agreeing with a kike,6.0,6.0,6,6.094184
this makes me sick the muzzrat should be used as a pinyatta in prison dude on the bottom should come to america and make more videos,6.0,6.0,7,6.702254
this guys so proud of himself he got a smile saying look mom i got into nigger college today,6.0,6.0,6,6.1111884
getting sick of not taking action everyone a kike,6.0,6.0,6,6.1583114
i would sell you faith but you niggas dont believe,6.0,6.0,6,6.1777105
that niggah do not do nothing but make you cry girl you dating a onion,6.0,6.0,6,6.1788235
duterte said he would sort out brighton you gotta get the best to do the job do not care if you are chink paki nigga can you do the task,6.0,6.0,6,6.1934943
twitter kept recommending the dyke to me as well i am pretty impressed by her makeup artist skills though,6.0,6.0,7,6.592988
i was banned off twitter for telling a fat dyke her tits looked like roadkill they refused my appeal too lol fuck twitter i do not need it,6.0,7.0,7,7.060498
lightskin bitch with a dark side,6.0,6.0,7,6.884105
niggers be like a cocc,6.0,6.0,6,6.385899
nala is being a little hoe at the vet smh lol,6.0,6.0,7,7.320858
my ex has a weird infatuation w dykes,6.0,6.0,6,6.0946145
These girls are fucktards ! #MKR,7.0,7.0,8,7.660528
I think @user has done a pretty good job of humiliating herself already #mkr,5.0,4.0,3,3.4822495
"I mean . You've stooped this low after serving bricks how is this acceptable . How . Like . If viewers could vote a team off , bye @user. #mkr",5.0,5.0,5,5.28283
Well The Hoes might pull this off . Pardon the pun ! #mkr,6.0,7.0,7,6.830353
I think @user is on the wrong show . #mkr is for people who can cook . #stupidbitch #hopeyouareeliminated,6.0,7.0,7,7.2102175
"@user Well done @user & @user, now try some humility instead of being front bums #mkr",5.0,4.0,5,5.236834
@user and @user- the competition only lasts a short time - showing yourself as cocks to all of Australia is going to last a lot longer #mkr,6.0,6.0,7,6.7515464
"No @user , you didn't fight hard . You cooked , it was shit and you will probably end up staying by giving people ridiculous scores . Moll #MKR",6.0,7.0,6,6.264112
"Arghhhhh I want to kick in the television set right now , @user you despicable rat #MKR",5.0,5.0,6,6.151117
@user my hate for @user is getting stronger and stronger every time i watch her . #MKR,4.0,6.0,5,4.5990458
How nasty is @user. What a bitch #mkr,6.0,6.0,7,6.8175573
@user #katandandre #mkr far out if someone doesn't let a can of whoop ass out on u I will ! Grrrrrr,6.0,5.0,7,7.035894
I'm nervous for @user. @user is gonna tear her a new arsehole if she stays on the show #mkr,6.0,6.0,6,6.2705965
"Never mind nails down a chalk board , all you need is @user's voice screeching #mkr",5.0,5.0,6,5.8837094
@user got the crazy eyes going on tonight #MKR,4.0,4.0,4,3.800572
#MKR those pieces to camera are recorded after the event . @user knows she gets smacked down and she STILL gloats like a crazy Bond villain,5.0,5.0,6,6.3216352
my hate for @user is getting stronger and stronger every time i watch her . #MKR,4.0,4.0,5,4.5962915
@user Why is @user being so nasty ? Just showing what a horrible person looks like #MKR,4.0,5.0,5,5.0342183
Police boat looking for a crack whore named @user who's been dealing meth and whoring herself out for a powered camp site . #MKR,6.0,7.0,7,7.2428584
What a nasty bit of work @user is . I'd take the promo girls any day . #MKR,5.0,5.0,6,6.317878
Is it tv editing or is @user a natural nasty bitch #MKR,6.0,7.0,7,6.877873
"@user @user adds "" delusional "" to her list of personality faults . #mkr",4.0,5.0,5,4.8318214
#MKR God @user you are awful awful person . Oh you are humiliated ? GOOD .,5.0,5.0,3,3.4006195
Krazy-eyes @user needs a kick in the ku,5.0,3.0,6,5.9994664
@user has certainly set herself up for much pounding I hope she is saved from it by being the first to go She is quite horrid #mkr,4.0,5.0,4,3.69307
@user Oh @user you do something new every night to make yourself look even more like a hateful twat ! #mkr #karmaisabitch,5.0,7.0,7,7.2908006
"Well done @user & @user , now try some humility instead of being front bums #mkr",5.0,6.0,6,5.7384343
"@user we decided last night that she's a ' prawn head ' , particularly in that red dress #mkr #kat",5.0,5.0,7,6.8477087
#mkr oh @user u silly silly fucking thing open ur eyes,6.0,6.0,7,6.5918517
Can someone give @user a slap across the head #mkr #bitch,5.0,7.0,7,6.607368
#MKR @user I hope @user ( The cat ) and @user lose and leave the show . @user is a nasty piece of work who can't win fairly,5.0,6.0,6,6.1710854
Karma will get you @user u kunt #mkr,5.0,4.0,6,5.696328
"Karma's a bitch , right @user ? #MKR #MKR2015",5.0,6.0,7,6.7400327
I hope @user gets Ebola and then hit by a train followed by a smack in the ugly face with a shovel #mkr #katandandre #mkrkat,6.0,5.0,6,6.14666
@user I hope Kat gets Ebola and then hit by a train followed by a smack in the ugly face with a shovel #mkr #katandandre #mkrkat,6.0,6.0,6,6.376716
"Suck it @user, you fucking cunt . #mkr",6.0,8.0,7,7.365005
@user and @user you fucking cunts #mkr,6.0,7.0,7,7.166563
OH MY GOD . @user IS SUCH A FUCKING BITCH . SO MUCH HATE #mkr,6.0,8.0,7,7.484689
Oh @user you do something new every night to make yourself look even more like a hateful twat ! #mkr #karmaisabitch,6.0,6.0,7,7.12377
Hahahahahahaha suck shit @user #MKR,6.0,6.0,5,5.015073
Now who has had the smile wiped off their face . @user you are a biatch #mkr,5.0,6.0,6,6.409494
#MKR suck it kat u kent !,5.0,6.0,6,6.0812793
Wow . Wiped that bitchy smile right of your face @user #MKR #Fail,5.0,6.0,7,6.5995655
@user's dealer obviously delivers #mkr #whatdrugproblem,5.0,3.0,6,5.5280323
"@user adds "" delusional "" to her list of personality faults . #mkr",4.0,5.0,5,4.853794
"@user How NPR helped create the current panic over a phantom campus "" rape culture . "" @user",7.0,7.0,7,6.7659426
Suck shit @user you dumb shit . Go back into the swamp behind ya and shut the fuck up . #MKR,6.0,7.0,7,7.2710276
@user you stupid woman ! #mkr,5.0,4.0,4,4.158247
Fuck off @user #mkr,5.0,6.0,4,4.374787
@user Da womenz dey be sooo oppwessed ! htt …,5.0,4.0,6,5.565751
I just want to knock @user's cocky face out #mkr,5.0,6.0,4,4.449652
Surely THIS proves that those two cunts can't cook #mkr,6.0,7.0,7,6.545491
"@user Feminazi . She changed it sarcastically from "" rad fem "" .",5.0,7.0,5,5.187007
. @user You support the slut shaming of #NoMorePage3 ? Odd,6.0,6.0,7,7.0602217
"Self described "" radical feminist "" makes death threats against #GamerGate WOC for not doing / thinking as she was told .",5.0,8.0,6,6.445661
. @user Real question is do feminist liberal bigots understand that different rules for men / women is sexism @user,5.0,4.0,5,5.254294
. @user Those women are not exploited . They make a calculated choice to use sex to advance careers .,5.0,5.0,5,5.29613
. @user has either taken to some seriously ham fisted trolling or shes on meth / out of meth which I have suspected about her,5.0,3.0,3,2.7452571
@user Men must prove a woman said ' Yes ' under tough new rape rules - via @user,6.0,4.0,6,6.253223
. @user Not true . Feminism is also about getting free stuff and using benevolent sexism / chivalry to their advantage .,5.0,4.0,5,5.3820515
"@user i love equal rights , fuck men , i love men , men are rapists , not all men i care about MGM , LOL HIS DICK GOT CUT OFF #Twee …",7.0,7.0,7,7.40469
#INeedMeninism Because watching feminists / their lapdogs have conniptions & mock a movement created solely to mock THEIR movement = TOO funny .,5.0,7.0,6,6.322857
@user I present Exhibits V-Z that #FeminismIsAwful,3.0,4.0,4,3.8783557
@user Must suck not being able 2 reach your own potential in life . Must be cuz you're a woman …,4.0,4.0,5,5.202275
"Since the feminists at #sorryitsaboy & #everydaysexism NOW just LOVE "" jokes "" I thought they'd like this oneright ?",4.0,4.0,5,5.373358
@user #GamerGate obviously @user is a sexist video game series that refuses to add female characters . #TweetLikeAFeminist,4.0,8.0,6,5.982421
@user Bad seeds grow weeds . Must be rooted out first or else you'd foundation cracks .,5.0,6.0,5,4.992581
@user Feminists think hating men is feminism .,4.0,4.0,4,4.132558
"@user No , feminism opposes choice of parenthood via financial abortion for men .",4.0,4.0,5,5.1989474
@user #QuestionsForMen Do you ever find it hard to take a # seriously when it is designed by a hardcore sexist ?,4.0,5.0,5,4.7321334
"@user I can't favorite enough ! What reproductive rights do men have ? None ! "" Keep in your pants ! "" Takes two to tango ! "" Men s …",5.0,5.0,6,6.1362276
. @user The wage gap is debunked lie and RAINN says rape culture is fairy tale that distracts from stopping real rape,6.0,7.0,7,6.8176155
@user NOW it makes sense . #Feminism is all about being full of shit . Got it !,5.0,8.0,6,6.2484984
"@user If they didn't need inflated rape statistics for money grabbing , they would be cheering at this :",6.0,8.0,7,6.8197994
@user OK . Whew . That's good . Get a real degree and forget this poison of victimhood known as feminism .,5.0,4.0,6,6.098056
". @user From now on , I'll use "" Little Girl "" . Except it insults preteen females comparing them to feminists .",5.0,6.0,6,6.132683
"What I do know is that I live on a small Island and it seems that a lot of people from various countries in the world are willing to desert their homelands and their families just to come here , in my mind that tells me a lot about said people and their home countries , most of all it highlights their weaknesses of how their own countries have let them down and how they feel the need to feed off somebody elses country , how should we English interpret this without sounding rude ? ? ? , locust ? ? ? , parasite ? ? ? , you tell me . ",8.0,7.0,8,7.6723766
#BuildThatWall #BuildTheWall #BuildTheDamnWall #BuildThatWall #BuildTheWall #BuildTheDamnWall #BuildThatWall #BuildTheWall #BuildTheDamnWall #BuildThatWall #BuildTheWall #BuildTheDamnWall BUILD THAT EFFEN WALL ! I'm sorry my Lord #Jesus but people are just deaf down here,8.0,8.0,7,7.1749797
"Couple Befriend Negroid , Negroid Tries To Burn Down Couples Home - NNN Reporters Newsroom Forum Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire Reported by : Irika Sargent Last Update : 4/25 9 : 01 pm Moblie Couple Says Neighbor Tried to Set Their Apartment on Fire | Local15tv.com , Mobile & Pensacola News , Entertainment , Videos , Business Search and Shopping This is what happens when you make friends with spearchuckers . ",7.0,7.0,8,7.7282085
"i've felt anger when i ' ve read it on forum , but we have to do our part and speaking at loud voice this fact , because , for example , i ' m from europe and this fact is not pased on tv news or in the news paper ... knows your enemies is the first pass for vicory on them ! ",7.0,7.0,7,6.7907653
"Well , the warm weather is coming in and guess what , I now have to painstakingly endure all the offspring of these immigrants , Africans , foeigners ( Im putting them all because there is that many of them ) all playing out the front of the flats in the small garden area , screeching and shouting and their hyena pitched laughing . ",8.0,7.0,7,7.041356
"The jew media likes to prop this whites becoming the minority non sense up because they want to try and scare whitey , the media plays on the fears that the average retard thinks hispanic or latino is a race and they play word play with titles like white hispanic and white non hispanic it is all a magic show nothing more .. But Whites becoming a minority in Europe the homeland is a much more serious issue that concerns me greatly . ",8.0,7.0,8,7.8473687
"DuetschGirlTX , No I live in a tiny ass town where i am only one of 100 white folks ( maybe less ) . near San Antonio . there are so many dirts around and they all stick together . so when it comes to a White Girl in this town i gotta have my own back ALWAYS Is that where you are ? ",7.0,7.0,8,7.5552955
I lost several friends over openly supporting & voting for @user @user & one of the main reasons I voted for him was his promise to build a Border Wall & so help me if he doesnt Ill sit home in 2020 ! #BuildThatWall #BuildTheWallNow #BuildTheWall @user,7.0,7.0,7,7.234903
"The protesters banged in droves on the glass for the entire time I was in North Korea , Mao's grandson Mao Xinyu appeared at a meeting in Beijing on Friday . There is no review requirement under the Constitution to #BuildThatWall as a national defense issue - #BuildTheWall ",7.0,8.0,7,7.4317684
Its a bitch who better get her some business forreal ! How the fuck u gone feel entitled to somebody ! Bitch u got blackballed & u gone stay blackballed ! I ain't saving no hoe ! U is not apart of my Spurs dreams ! The woman u see on my page had on the San Antonio Spurs Warm up Jacket,8.0,7.0,8,7.870533
"Aren't u one of the low life scum who defends people bringing fentanyl into this country from Mexico ? Sorry , but I won't apologize for being MORE concerned abt the 70,000 ppl dying from drug overdoses than people sneaking into the country illegally #BuildTheWall #BuildThatWall ",8.0,8.0,8,7.6740465
"If #WeThePeople want a #WALL - Give us a WALL ! ! #Congress works for US , not themselves and the Special Interests who pour BILLIONS of dollars into their Coffers . It's not up to them , it's up to US ! #BuildTheWall #BuildThatWall #MAGA #KAG ",7.0,7.0,7,7.313522
"Mr @user #Trump , Respectfully , sir , if you want to run the #2018Midterms on the  #Pentagon Will #BuildThatWall , a then you must show your #MAGA BASE that you are actually going to do it . No empty promises . No silly games . No BS nonsense . Start the process now ! #BuildTheWall . @url ",7.0,7.0,7,7.3737483
whats up I thought I might put my pic up here I ' m looking for some friends theres too many negroes around here some times I feel like there is ' int any white guy left in the world . so message me and let me know there is stll some white brothers out their .,8.0,7.0,7,7.0796294
"BTW you are not wrong about Mildura , I went through there in mid 2000 and there was n't a non-White in sight but late last year when I went through there all I saw were islanders , indians , asians , and whatever other crap little johnnie could get dumped into the country . ",8.0,8.0,8,7.5914598
Is the Judge On Crack ? he Said said Govt needs to prove it considered the benefits of having illegal Aliens here and working ! Illegal Immigration cost $ 135 B a year while Illegals pay $ ! 8 B in taxes ! Illegals are No Benefit to the U.S #Trump #MAGA @url,8.0,8.0,7,6.6226897
This family that wants to complain about gays should come to San Francisco and raise some hell at these gay pride events ... a much better target ... and these people in San Francisco openly blasphemied Christ with their parody of ' The Last Supper ` ` as their poster for their last event .,8.0,7.0,8,7.80039
Sort of a back handed compliment that the anti-Whites are so keen to come on here and tell us that all is lost - in their heart of hearts even they must know that what they have constructed is only temporary and all will be ripped down some day .,7.0,8.0,7,6.8655467
i am just down the road to you.welcome to the board.it breaks my heart every time i go to Galway city and see the amount of blacks there.the other week i was walking down shop street and there was a moslem standing in the street selling copies of the koran,7.0,7.0,6,5.981082
"@user I speak for myself & EVERYONE I KNOW here on Big Island - vote YES for funding to #BUILDtheWALL . Never in my years here have I heard the concerns from every level . The young in Hilo losing jobs to migrants . Several auto accidents , with ' u ",7.0,7.0,8,7.5508766
#FundTheWall NOW #BuildTheWall #BuildThatWall FUND THE WHOLE WALL NOW ! ! ! DO NOT WAIT TO AFTER THE MIDTERMS A LAME DUCK CONGRESS WILL NOT FUND THE WALL MAXIMUM PRESSURE INCLUDING A GOVERNMENT SHUTDOWN FOR FUNDING NOW ! ! !,8.0,8.0,8,7.5168915
"Another fine example of why illegal aliens are problem . If your here illegally , why would you want to draw attention to yourself this way . Illegal aliens have no fear of our legal system & only care about themselves . Awful way to die #BuildThatWall ",8.0,8.0,7,7.457695
