sentence,intensity,gpt_35_intensity,clip_intensity,gpt_35_intensity_updated
"Muslims follow a despicable religion! They are envious of our territories and want to take possession of them, spreading their religion! This does not respect our holy scriptures!",7,7,7.001858,5
"Last RT is brilliant someone had replied onto a thread of Claire saying they didn't like ""tv claire"" an that she needs to stay in the kitchen to cook for Jamie.",5,5,2.6770546,2
Just send all these illegal immigrants and their kids back to their country,6,5,4.610768,7
Some brits think multiculturalism is a failure i guess the others are happy with their muzzie master there no great in britain anymore soon big ben will be converted into a minaret,8,7,7.4411545,7
2018 the year of the Refugee where France cracks down on immigration .Refugees to get more resources and help in the Uk .Sweden's crime rate goes soaring.Greece and Italy still being forced to take in more refugees,5,6,4.023487,5
When a lot of the women on here changed from themselves into hoe tweeters <,7,7,3.2311413,6
"These people probably put other people up to it , to make it seem like they do n't have total control of everyone .",5,5,4.7379236,6
i am just down the road to you.welcome to the board.it breaks my heart every time i go to Galway city and see the amount of blacks there.the other week i was walking down shop street and there was a moslem standing in the street selling copies of the koran,7,7,7.3430233,2
@user True slow your role bitch n get your ass outta here,7,7,5.85859,3
@user I present Exhibits V-Z that #FeminismIsAwful,3,2,6.485491,4
@user I don't like the sand nigger but it's entertaining like 6 knockdowns,6,6,2.8094623,8
crash at van foul lesbians lanes blocked left shoulder left lane event type crash county macomb,2,2,7.331843,7
and this is why i end up with trainee doctors of african origin who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,2,3,7.2251463,6
awful person of african descent has expressed no personal christian experiences attended a madrassa wears a moslem wedding ring praises the shahada call to pray ports a moslem name registered by stepdad as moslem indonesian many photos of him in moslem rituals garb admitted moslem faith on tv,2,2,6.730667,7
#FAKENEWS @user lied to Anericans about Illegal Immigrants because Illegal Aliens Come First the #Democrats Platform #WalkAway #HappyBirthdayAmerica #Trump #MAGA #RedNationRising @user @user,7,7,5.3803635,7
Some Muslims who misinterpret Islam were the creators of forced labour,4,4,5.7796946,7
waned i do not know why you would want to watch that nigger bullshit in the first place,6,6,7.5514717,8
@user She actually a clown ! They should sue her for being a fucking dumb cunt and falling down the hole nearly squashing the winners,9,8,5.5736933,2
Muslims cannot add any value to our culture.,6,7,5.6723413,2
ppl totally stupid,2,6,6.824958,5
@user has certainly set herself up for much pounding I hope she is saved from it by being the first to go She is quite horrid #mkr,4,7,7.909606,5
Our children are taught Islamic ideologies. It is awful!,7,4,5.4188557,7
like someone said would not it be a hoot if a moslem bakery refused to bake a cake for a couple of faggots,6,7,3.4003766,7
"The people dont have the numbers to kick off in Ireland yet , but when they do , you will know all about it .",6,6,5.306675,7
"seeing women blatantly try to take my man then watching him turn them down is truly hysterical lol, u tho(ugh)t",5,6,2.0977857,6
i get what your saying and there are thousands of non irish here who will never contribute anything to this land .,7,5,6.5304766,7
yes go be a nigger somewhere else,6,7,1.8424945,2
The powers that be want all Whites dumbed down with Negro blood .,8,7,4.352172,8
"Every Muslim might not be a terrorist, but some terrorists are muslims who misinterpret Islam.",4,4,5.341383,3
@user Say it loud say it proud refugees NOT welcome here !,7,7,3.4076607,7
How is it that no law enforcement entity finds it odd that you can leave the WH dead broke and then buy your daughter a $10 million apartment and pay for a $3 million wedding. Have the Clintons ever gone back to Haiti?,5,5,6.5961065,2
A third of Britons think that Islam and British values are incompatible because there is a fundamental clash.,6,7,6.74387,6
"Why must some Muslims be residents of every country? That is just totalitarian. For the world to be truly diverse, we must have some countries with fewer Muslims.",6,4,1.553735,7
"These liberal standards! Muslims are intolerant with other cultures, women and homosexuals, but our society protects them with this liberalist policy.",8,7,5.6983724,6
despicable lesbians literally look like this   at all times   their facial expressions jus do not change,2,2,5.2584257,7
My kids ?  ugly ? you look like the sloth,5,6,2.4413142,7
"@user say that thing to my face ""Bruh"" you a woman for gettin in a man u dont know business. Handle yo own thing",3,3,5.3478384,4
Another dreamer in the Ask them to leave the nation. immigrant booked for child sex abuse,4,6,6.767118,7
"Our women and girls are frequently victim of crimes, because our goverment brought immigrants in our country.",5,6,6.0571566,7
@user this your whore you going to marry and lie to me about will never marry women who show body to public @url,7,8,6.0133543,8
new program on the ce called life sentence a white woman dating a muslim at least they have finally named something correctly dating a foul muslim is a life problem,2,2,7.6783757,7
"Stop calling them immigrants , they are illegal alien SCOFFLAWS and should not be here . @user ",8,8,7.3292646,2
@user the irony is they are the ones whose mothers were attacked by invaders,3,7,5.487626,8
"If I wear a condom with you , just know that's me being blatantly disrespectful to you and your putrid vagina ",8,8,4.328377,6
the iranian regime has a mosque in my home town thousands of miles from tehran its controlled by the revolutionary guard do not let the persian kike fool you,6,7,7.749453,7
"@user Hope you guys do get attacked for supporting SOPA , bunch of dirty snake faggots . ",7,8,5.4052725,8
MS13 are animals ! #ICEHeroes #MS13Animals #DeportIllegals #BuildTheWall #EndChainMigration #EndLotteryVisas #DrainTheSwamp #VoterID #SupportTheBlue #AmericansFirst #MAGA #LawAndOrder #VoteDemsOUT #VoteRed2018,8,8,4.414983,2
boy scouts and girl scouts have really been good for american youth brownies is the girls club before girl scouts or was why mess with success why let the damned foul homosexuals ruin the land,2,6,5.370215,7
"Let me show and prove it what these women aint doing, let a real woman do it",6,5,6.397887,9
"@user You're the exception , you weren't a rude lil cunt like some hoes .",7,7,2.3968537,7
Suck shit @user you dumb shit . Go back into the swamp behind ya and shut the fuck up . #MKR,6,8,6.843501,6
@user @user @user @user You are a pussy ... stand up or shut up ... put youre head above the parapet & make a stance or keep taking the MP wage & STFU x,7,7,5.4707975,7
Muslims in China were forced to eat pork and drink alcholol during the recent Chinese New Year celebration - At least China is doing it right!!,7,8,6.6046867,6
"There should be no Mosque in this country. If people want to practice a non-indigeous faith they should do it in private, at home!!",8,8,7.4365683,5
a foul woman w a kid lololol,2,2,7.378945,7
Rape Culture is just another millenial myth made by bloggers and Instagramers,6,7,3.3512938,5
"If your girl keeps a toothbrush in her car , she's a hoe ",9,7,6.895251,4
the same niggas that be flexing jewelry be the same ones trynna get a discount at dollar tree smh,6,6,2.0616596,8
"Heres the epitome of the far left in one post , can we deport them all ? #BuildTheWall #DeportThemAll #NoDACA #LiberalismIsAMentalDisorder #RT4Trump #TrumpPence2020 ",8,7,6.747057,8
Don't let chicks who smoke a lot suck your wiener ... You'll get dick cancer #SmokingWomenSuck,8,7,7.228574,7
Sis she a hating person. I'll slap her,6,6,1.8063102,2
this quarterback is shitting his pants who is this nigger du kvs vt,6,7,5.9415216,8
his ancestors are rolling in their graves a foul african american women had been added to the royal line therefore ending it royal wedding heritage uk,2,2,7.6900506,8
I ca n't fathom seeing all those people along with their counterparts worshipping Obama .,5,6,1.8568171,8
"Went outside for recess , and noticed two boys being hostile and ready to rumble , and I figured right that they jumped on each other after returning to class , grabbing Number One , hauling him outside and pressed that panic button again .",6,5,6.0372734,8
Dems objected to the violent illegal immigrant deportation bill.Anyone surprised? Ask them to leave the nation.,5,6,5.3232274,5
President Obama And #Democrats Illegal Immigration is NOT a Victimless Crime it Cost Taxpayers and lower wages ! #WalkAwayFromDemocrats #SaturdayMorning #Trump #MAGA #SendThemBack,8,7,2.0865507,2
me looking like a dyke every day,6,6,6.781438,8
"Hijiab represents Islam and this religion represents the women subjugation and the persecution of child, rapes, narrow-mindness, chauvinism. I do not like the hijab and everything that implicates!",9,8,8.657154,7
Ask your mom. BTW how's your mom surviving in her Red Light District Area quarters,4,6,4.046486,7
"denver has a problem cause by foul african american, foul muslims and foul mexican immigrants",2,2,5.581441,4
some girls going around exposing ppl aib beh kene sikit nk foul chinese lebih haha,2,5,7.5635743,6
every kike needs to be baptised,6,6,3.921013,8
i hope the niglets keep going down on their knees its the only realistic depiction of blacks on fake news tv any chance of getting t shirts made that say @user boycott nfl tebow rule cant pray owners are pleased with their blacks down on their knees,8,8,3.7297235,7
Isis Bride wants to return to the UK. Let her rot. A dog born in a stable is not a horse. Not BRITISH! Not BRITISH! Not BRITISH!,8,7,6.1611557,7
"All of country is other countries , you fake people .",6,6,5.4376855,7
@user I don't hate that he blew up from 3005 like a hipster but I hate the people who say they love his music based off his worst +,3,6,5.2650385,2
a awful african american arguing against racism is like a despicable refugee arguing against borders,2,2,3.4062932,6
Illegal immigrants.Deport Illegals  with their kids dont allow them to drop off their kids at the Border !  U.S Taxpayers not their babysitters what happen to Families Belong Together.,6,7,6.616401,2
white ppl getting crazy with saying nigga smh,6,6,6.0332146,8
@user stupid foul person who lives in a trailer i could count the foul woman's teeth from many ft away,2,2,6.7273555,9
"This should be Federally Mandated Law on Criminal Illegal Aliens . Upon completion of maximum sentence allowed , alien is discharged into ICE custody for immediate Deportation . #EndSanctuaryCities #EndChainMigration #BuildTheWall #ProtectUS ",8,8,5.811026,6
Remember Kate Steinle today.It is the third anniversary of her death.We must not forget. Ask them to leave the nation.,6,5,6.4618692,8
catch woahs and pull women,2,4,7.103747,6
september ain t waste no time out this ho he came faster than some of you niggers,6,6,5.4993353,4
hours remaining of my day ban on twitter my next move is to completely overwhelm twitter thought police with hate speech allegations for everyone who is a kike and especially the adl,6,7,6.9284434,7
I would' nt even consider these people as Irish as they have no respect for their race or loyalty to Ireland .,6,5,6.509912,4
Because behaving like civilized and educated person is ` ` to white ' ' for negroes .,7,8,2.9559023,6
"@user @user Do it now , build the wall before any more innocent Americans are slaughtered ! #BuildThatWall #BuildTheWall #BuildTheDamnWall ",7,8,6.8052006,3
Oh look another illegal immigrant liberal extreme Muslim terrorist who tries to hurt Americans. Thanks to @CincyPD for killing that person & saving taxpayers for prison costs! Ask them to leave the nation.,5,8,2.29112,5
lmao foul african american is crucifying r kelly today,2,2,5.488755,7
i m from where some foul african american hustle some despicable african americans scam and some stupid african american just feel like they just gone get aggressive and take,2,2,4.328438,7
@user adds daydreaming to her personality,2,2,5.656309,5
You call girls a hoe but youre a hoe too ? ? Lol stfu lame ass bitch,9,8,4.427559,7
PHOTOS: Trump's border wall under construction Ask them to leave the nation. Ask them to leave the nation.,5,6,5.1249013,5
microchip has had more african american people in him than a kfc in Chicago on mlk day,5,6,2.4748628,7
if your ex is treating their new thang better than they ever treated you forget that foul woman,2,6,5.9196568,5
I have watched you talk out of both sides of your mouth for months now. We see you. Nothing but a fame seeker,5,6,5.8678255,7
What is the point in listening to Muslim women? They are all retarded.,7,9,1.9783978,7
"23. the reason she lied about me was to cover up her shaking my kid, and being in on messing up lawsuit",6,6,5.8791256,8
"Islam is not a religion, its just an excuse for retarded sexual psychopaths, bastards who pollute the world.",9,9,1.9522811,7
sadiq khan a nasty foul person of pakistani origin muslim said this is part and parcel of life in london and wants all non muslims out of london so he can bring in million more muslims messed up mps are all for it know thy enemy,2,6,4.032513,8
@user well fuck you too hoe,6,7,1.9127607,6
well well niggers and beaners are murderous animals who da thunk it,8,8,7.2953606,7
I don't want to be like the jealous girlfriend who won't let you have friends' woman you have to be my girlfriend first,5,5,5.8324666,5
"I like boobs as much as the next guy , but usually what they are attached to are nagging menstruating fucks ! #WomenSuck ",8,8,1.7488146,6
Islam is Evil! That is one word that can describe it. We are in trouble as this evil is taking over countries and nations! Remember our Holy Scriptures? You shall not envy anyone anything. This includes other countries territory. Stop Islam spreading!,7,7,2.269682,8
aa the direct appeal to the most base human desires is a cheap kike trick and it the reason that people call jews the devil and satan,6,7,2.0272255,5
they should tie this bitch down and let everyone of those girls stab her to death welcome to hell you muzzy cunt,8,9,5.058641,8
"Muslims must be accused of raping innocent children and our girls. If we do not do something now, they will spread all over the world.",9,9,5.971247,7
@user y are you talking to me shut the fuck up you stupid fucking nigger,7,7,4.939898,4
give a nigger an inch they take a mile lol retarded creatures they fuck themselves over every time,6,7,1.8671381,2
Some of you woman should be puttin coconut oil up with ya twat,6,6,6.714864,2
I am in agreeance with you about this haven being a great place to speak out and vent the anger we get from living in that place .,6,6,6.419644,2
i made her fuck her best friends like they was dykes,7,7,1.8419583,6
@user bro you was telling me that you want a white women to tie you up and call you despicable african american,2,2,6.928906,8
if i followed you and you did not follow back hate you i got suspended if you did not know foul gays,2,2,5.512365,8
"What , do you think they sprouted out of holes in the ground ? Quit being a disrespectful cunt towards your grandpa . @url",8,8,6.174319,6
"All bitches do is lie , talk shit and fuck up their eyebrows ",7,8,2.5787616,8
@Truthdig Fake News it is not a new Stephen Miller Rule. the Public Charge rule has been part of the U.S Immigration law since 1882. Why Should U.S Taxpayers give Welfare to Immigrants,4,6,5.8060713,7
dad should have told the foul muslim women to go away and went in anyway,2,2,4.884208,8
"It is obviously a problem, to accept some Muslims.",4,4,7.2271743,5
london mayor suckdiq kahn has room for a fellow muzzie terrorist,7,7,2.4581306,2
#PMLN is acting like a whore who incites people to rape her in order to use it as a victim card and earn relevance .,8,9,3.4684868,6
I wouldn't have done anything if you didn't express any interest THE BITCH WAS 12 YOU MOTHER FUCKING CUNT . HE REALLY IS TRYING TO JUSTIFY HIMSELD .. THIS IS EXACTLY WHY HE SHOULDN'T HAVE BEEN RELEASED,8,8,1.9003109,7
"Democratic Party has moved so far to the left , icons such as JFK & Martin Luther King would be considered too conservative for these zealots . Do they understand what they are doing to this country ? See ISSUES #POTUS #MAGA #KAG #WalkAway #NoDACA #Trump #VoteRed #BuildTheWall ",8,8,4.90551,2
how the fuck did that despicable african american secured this my head is so hot,2,2,4.3050585,5
Same story different names.---> Ask them to leave the nation.,5,5,5.825305,7
It amazing how women with whore tendencies think they can solve a God cypher . You wish bitch ! I bet those feet are like homeless toes !,8,7,3.993418,6
next weeks stephan molyneux shows will be foul african americans are they even the same species and the truth about harming kids of african origin using a bucket,2,2,7.0984826,7
that britain new fab four then a jew a nigger a ginger a bald ganch groovy,6,7,5.4032497,7
"So many sluts texted Stephen when we got Lionel ' our cats look the same ! ' Bitch 95 % of house cats in the US are domestics , stay in your lane ",7,7,7.102919,6
I think @user has done a pretty good job of getting herself embarrassed,2,2,6.930691,7
i love your pro white jack o lantern hate that foul african american and hate the national african american communist party founded and run by jews look up it history that not j.p. sedita saying that its ok to be white altright american nationalist,3,3,5.9463224,6
We should just isolate them so those people can completely whipe each other out .,5,7,4.1620274,8
( 1 ) @user < STFU These women put their babies in harms way & Subject them 2 rape & more by the coyotes who they pay 2 bring them here .,7,8,7.9009933,8
dem niggas lost to da backup ouch,6,6,2.2326717,8
Can someone give @user a slap across the head #mkr #bitch,5,7,5.268179,8
Why do girls have to post slutty facebook pictures along with lyrics to a terrible top 40 song ? Cuz #WomenSuck,8,8,4.542783,6
welfare is a kike scam to enable niggers like you to sponge off of the system it was pushed upon the country unwillingly and has been causing constant turmoil and misery ever since it should be abolished completely what else have you got for me you jew fellating ignoramus,6,8,7.295102,2
@user he is infected with stupid muslim ideals he will spread it to others,2,2,6.5600967,7
@user lol yeah the drippiest niggas be the ones who thrift i agree tho you be dripping bro,6,7,4.337489,7
@user @user @user @user You're a SKANK ... Leave our house and country . Take your corrupt parents with you . You're all cheap white trash ! ! !,8,8,7.357006,8
We can't afford any more migrants who can't make it on their own.,6,6,5.902626,5
These figures show that no one now could just talk about the need to restrict non-white immigration ( as the current government does ) ; large-scale repatriation of non-whites is absolutely essential .,8,7,6.8430257,8
fuck the hell out of new orleans nothing but niggers faggots nigger faggots trannies freaks and more fucking niggers,8,9,7.234685,5
"President Trump will smash that traitor with the truth, Obama is running scared, we know what you did in those 8 years, the PUBLIC KNOWS, let the truth shine out Ask them to leave the nation. enough already",5,6,3.9548683,2
she ate the fabric getting in the way of the cake,6,6,6.3971977,7
@user @user @user It will only be a matter of time before something happens to those ranchers . #BuildThatWall #BuildTheWall #BuildTheDamnWall,8,7,1.8986181,7
"Islam opposes creativity, since all that is needed is the Koran. It is not a religion, but a system of control.",7,7,1.9342322,8
"Let's find this entitled little skank and make her life hell for as long as it takes to teach her a lesson . Portland , Oregon , someone knows her . ",7,8,6.424219,8
i sort of understand where you are coming from but plenty of people have sold us down the river so to speak although the Jew is always in the background its very complicated will we ever find out the truth.,5,6,7.5470695,2
they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy,7,7,5.1439056,9
kathy griffin is the ultimate liberal attack somebody and suffer consequences and she is the victim cunt needs to have some dick forced up he dyke ass barron trumps,8,9,2.2250974,2
@user : They recruited buku fags in here ! ... a warehouse is no place for them !,6,8,6.445878,5
@user Just deport all these illegal aliens and their kids back to their 3rd world nations . American citizens taxpayers are tired of being robbed by the 3rd world nation paying for these illegal aliens and their kids ! #MAGA #BuildTheWall #NoDACA #NoAmne,8,8,6.0166845,9
"Yup , Africans breeding like cockroaches , AIDs is not killing them off fast enough to stop their growth ! ",8,8,1.8073745,8
Why do girls have to post bad facebook pictures along with lyrics to a terrible top 40 song?,6,4,4.228149,5
She definitely gotta be a hoe because women love the idea of marriage lmao,8,8,6.436908,6
so it ok to dox a kike but not someone he supports,6,6,5.502412,7
"Islam is a cult and not a religion. They rape children, enslave and murder people, attack our values, and there is nothing good about it. It is incompatible with our way of life.",9,9,5.1933403,8
"Minister, do not hide! We must fight Islam that causes terror and crisis!",8,8,4.714917,8
@user Feminists think hating men is feminism .,4,7,3.6576407,7
if u freinds wit a jew or foul afrian american den u ain t no freind of mine,2,2,6.564464,4
Does it surprise you that those White hating non-whites still want to live in White countries made GREAT by White people and brought low by non-whites ?,6,7,5.599983,8
refugees in white homelands are worth more then gold to israel ask trump and any kike truth fears no investigation they are low wage workers which will destroy america labor market but you still vote for this goyim,6,7,7.336712,6
"Trump means that immigration to Europe will destroy Europe , hes again right . We alive a new president which makes a good job for USA and European rulers have to be his housedogs and make everything what he like . @user ",7,7,7.3360524,7
I can't imagine growing up with one of these twenty-somethin thot ass bitches as my mom . #blessed,7,8,7.7333064,8
you seem like the type to have a rape kink ? ummmm well ok bitch @url,8,8,3.195503,2
"Worldbank reports that in the next 30 years many refugees have to leave her homeland, specially in Africa. Who will feed them ? Is Europe able to resist this immigration and protect her own homeland, before it will destroyed from Africans ?",5,6,2.004909,7
"i'd get on yo ass just like some britches , my girl ah woop yo ho she throw dem bitches",8,6,3.5343587,6
i guess the foul african american wasn t around to pez her so she wised up and jumped,2,2,6.1778603,8
Sad it happens more and more they want to take ours but what do they think i want to date one of those negro women,7,7,1.8687325,7
ignore that nasty woman with a moslem body,2,2,2.1070466,7
@user @user can not relate tho lmao i am not worried ab no tweets idc ab anyone and it twitter just scroll and laugh hoe,6,3,6.6743493,6
They âre illegal immigrants . What is it about illegal and immigrants that you dont understand? Ask them to leave the nation.,6,6,1.9624871,7
God that old lady was a cunt . People are so fucking stupid when it comes to being handed money,8,7,5.9426413,4
This girl really think Im dumb ‚ I know you scam stop DM me about that,5,6,2.4065263,6
"@user I can't favorite enough ! What reproductive rights do men have ? None ! "" Keep in your pants ! "" Takes two to tango ! "" Men s …",5,7,4.2146854,7
@user everything is rape culture and toxic you disagree with a view i hold i hope you get raped,9,8,4.988557,7
Some muslims think that Islam's purpose is only conquest.,4,4,5.278002,7
@user @user is an evil hate whitey racist who thinks Delbert Belton deserved it . @user @user @user,8,8,4.374742,7
Oh look another #IllegalAliens #libtard Radical Muslim terrorist who tries to kill Americans . Thanks to @user for killing that f***er & saving taxpayers for prison costs ! #BuildThatWall,8,8,7.1024513,8
"Victims of Illegal Alien Crime describe heartbreak , frustration #BuildTheWall #ProtectAmerica #EndChainMigration #EndIllegalBirthrightCitizenship #NeverForget the American Victims of Illegal Alien Migration ",8,7,5.8892465,3
Ask them to leave the nation. No-Lottery get in line. Meeting,6,6,6.3382587,5
My life has been so much better without you in it #WomenSuck,8,7,6.7360806,7
I want this stupid woman out of my head I've never even liked her,2,6,2.5526798,7
"It ' s amazing how stupid liberals are , even after being nearly murdered for being white Mr . Begley is still a ridiculous * * * * * * - loving fool . ",8,8,6.5361624,8
Dream Molly is her own person and is always a hustler,3,6,5.871866,7
judge and whose idea was it to take some shots on a tuesday me mine your honor judge so are you me yes your honor i am indeed a very dumb bitch you caught me,6,6,3.8184187,2
Illegal alien in upstate NY allegedly raped young girl @user,8,7,4.825166,7
"#MS13 Gang Members , Criminals Embedding in Record Number of #IllegalAlien Family Units Pouring Over Rio Grande Valley #Border in Texas #MAGA #BuildTheWall #NoDACA #NoAmnesty #Election2018 ",7,8,2.0194864,8
Some muslims who misinterpret Islam have a repressive ideology and persecute others,5,4,4.182726,2
dear niggas police your own you filthy scum by the by any pedo or rapist should be burned at the stake not just the spook it just they seem to like that shit almost as much as scum moslem groomers,7,8,7.0703974,8
"All the Muslims should have been punished for yesterday, not only a few. Citizen will take action if the government does not do anything.",9,5,4.4428177,6
Illegal Alien Stabbed Mother Of Five To Death In Missouri via @user needless death ! @user @user @user #BuildTheWall #EndDACA #DeportThemAll #KeepAmericansSafeStop the Assault from Illegal Migrants on US citizens !,8,7,7.4872575,5
@user @user those must be all the women that like being harmed and attacked,4,7,5.516341,7
"Absolutely perfect keep the whole lot of Illegal immigrants out, now maybe the liberals will be happy they are not being split up? Ask them to leave the nation.",6,6,6.8324127,7
"In stretch of border, illegal immigrant families keep coming. Ask them to leave the nation.",5,5,5.4641113,5
I do not think that Ramadam will stop Muslims from raping and terrorism.,9,8,7.620097,8
"Your nose ring looks like a fucking booger . It's not cute , it's trashy #WomenSuck ",8,7,6.5639315,7
@user slack jawed knuckle dragging mouth breathing toothless inbred redneck backwoods uneducated hillbilly hicks that the republican party,7,7,5.5195436,6
Dear God - make it stop ! ! ! Illegal Alien from Mexico Accused of Raping 11 - Year-Old Girl @url,7,8,1.7302263,7
Smh the disrespect for women of color who hold political seats is appalling,6,5,1.9500016,7
@user yes I'm white washed because I don't go around repping my hood and saying a bunch of ignorant terms.,3,2,7.3979206,8
damn i have not seen a nigger get whipped that badly since kunta kinte,6,9,6.2163744,2
idiot boy trudeau his somali moslem immigration minister ahmed hussen want to bring mildly retarded somali to canada to repopulate canada with the dumbest people on the face of the earth,6,5,5.6983232,8
there too many wypipo asking what this is and if they can get in this is a niggers only event,6,6,4.2245626,7
Muslim Migrants reportedly leaving in droves due to simple 2-word requirement. Illegal immigrants.,5,4,7.0870233,7
@user @user @user @user @user he married a negress because white women did not want him but black females all over america love nobama,7,8,5.0507827,7
can u report retard link me after u beg ur terrible u foreign woman u sound like a woman funder,6,6,1.8901075,8
im pretty sure rape is overly sexual why dont you shut up and stop being so ignorant,3,6,6.0653157,6
the muzzies and black churches have always been given a pass this primarily helps conservative churches that have been silent on political issues out of fear of losing their 5 0 1 c3 status,7,7,7.098363,5
I knew bobby shmruda respected women when he said if you aint a hustler get up out my traphouse,6,7,6.171611,7
You should not trust anyone in a some Islamic area if you are a girl: if someone offers you something do not take it and pay attention also to the police.,4,5,2.8078525,7
This disgusting person makes us ( people ) look bad .,5,6,2.1142516,4
@user i realy really hate you and i always will,2,2,6.129521,3
@user Why is @user being so impolite? Just showing what a rude person looks like,2,2,4.3382893,7
some fuckin kike does not know what free speech is,6,6,3.3448012,2
we need to change the priority of the refugee program we will take all white south afrikans pariotic britains frenchies germies swedes etc persecuted christians let the invaders finish their countries full of muzzrats liberals off,7,8,2.1534495,7
some girls going around exposing ppl aib beh kene sikit nk ching chong lebih haha,6,6,6.651134,8
Good Morning Patriots xx Let everything we do be done with them in mind . #WalkAwayFromDemocrats #BuildThatWall #MAGA #ChooseLife #VoteDemsOut #REDWAVE2018 #Midterms #VoteRED #TinyLivesAtStake,7,8,6.8898897,6
you niggers are dumb,6,7,6.896203,8
@user @user i always wondered why weidner acted like a faggot,6,7,6.542202,2
"They ' re probably as high-maintenance as one of those crappy old East German Trabants , though . ",8,7,4.7749863,6
so which despicable person of african descent was philandro castile hard to keep up with these stupid people,2,2,1.8301779,7
god of israel is a faggot he a joke,6,7,5.341929,6
foul african american was fat in the good old days and they usually died of heartattacks by fitty from crack cocaine and chasing white women dat despicable man of african origin found jesus and a guru,2,2,2.491876,4
If she dressed like this in the cold she is bad,2,5,1.9690356,7
even date or talk to a girl who is an attention whore on social media . What makes you think ima date or talk to a hoe in real life,7,8,7.7224417,9
a moslem doctor of african origin got struck off for negligence when a white kid with down syndrome died the guardians response is to help promote a crowd funding campaign for her,2,6,6.079038,7
Some muslims causes some problems and must be looked into.,3,4,5.3955903,7
"Another day , and another one of @user pedophile Dreamers have raped another little girl . Polk Sheriff : Illegal Alien Arrested for Rape of 8 - Year-Old Girl in Florida #NoDACA #NoAmnesty #BuildTheDamnWall #ThanQ #QAnon @user ",7,8,1.9563587,6
"Well , maybe they ' re slowly working their way to destroying Eastern Europe . ",8,6,4.0452194,2
The purpose of some muslims is to take control of our country: they are trying to have the support of our government and when they will have it they are going to establish their interpretetion of the Sharia and dominate our country.,5,7,5.3242955,5
filthy nigger scum black violence black crime send them back to africa this week in black crime segregation now,6,7,5.8432484,5
This is what the streets of the uk will look like in 10 more years.Brexitnow,3,5,4.6167026,2
@user @user & @user Build The Wall ! #MAGA #BuildTheWall #NoDACA #NoAmnesty #DeportAllOfThem,8,8,2.1004186,4
@user want women to have equal rights unless you donâ  fit my exact definition of how a woman should be then you are a hoe,7,7,5.0498056,7
you are kidding man these coalburners make a killing cut off the donations and she d be raising tyrone baby niglets though lol,6,7,2.4736845,6
What is the point in listening to some muslim women? They are not smart,3,4,3.5262184,2
"We do not want to admit that islam isn't a religion, it is only a cult that support murder.",8,8,5.1095676,2
@user @user keep that same energy behind bars you stupid despicable african american,2,2,6.9520044,7
my advice is just do not be too nice to foul african americans,2,2,5.422648,2
Was getting elbowed by a triple chinned cunt with nails like a woman ont train Let a smelly fart out before moving @url,8,8,6.5465574,8
hezzzzah why? So you can look like a mess?,1,6,5.2908754,6
She just keeps digging that women are not good if they didnt vote for me hole deeper.,5,5,3.74478,7
the next song tried to play but bitch I ain't over fire away yet give me a minute to recover cunt,8,7,6.5981865,8
just seen somebody eating a honeybun with cheese on it im getting real tired of you niggers,6,6,6.9391627,6
"@user @user So triggered , its ok snowflake , you are the only bitch here . typical redneck inbred rape sup @url",8,8,7.661022,9
the flag of the maga fags in all it glory it comes with nigger red shoes too,8,7,7.6439595,6
reverse it west yorkshire police are so good at their job no child raped by paki muslims on their watch asif,6,8,5.5193787,2
Its amazing how women with think they can solve a cypher. You wish. I bet those feet are like homeless toes!,6,4,5.420706,2
"@user shut yo beaner ass up spic and hop your faggot ass back across the border little nigga , go listen to some pitbull ",7,9,6.8548803,8
"The world is already lost, but US and UK face challenges from some muslims who misinterpret Islam . They are based on many different things",4,4,5.9559298,2
he loves his daughter more than himself doubt he endangers his grandkids yet yid marries his daughter doubt accidentally yids prepared to stub trump from inside they knew that opposition was preparing him for the last years to overthrow order i think for his daughter he would cave in,6,7,5.9362097,6
"Blac Chyna is straight trash and an abomination to women everywhere . Dont @ me cause I dont care . Hoe responsibly , bitches . ",9,8,6.351966,6
"@user @user Illegals are dumping their kids heres o they can get welfare , aid and U.S School Ripping off U.S Taxpayers #SendThemBack ! Stop Alowing illegals to Abuse the Taxpayer #Immigration @user ",8,8,4.573867,5
we have had a muzzie problem since that psychotic pedo mohammed started his death cult,9,8,6.5656714,7
#FactCheck wow #FactsMatter #VoteDemsOut #RedWaveRising2018 #StopTheInvasion #BuildTheWall #DeportThemAll #EndSanctuaryCities #TakeAmericaBack #WalkAwayMovementGrowing #MAGA @user,8,8,5.4893703,6
"We cannot even take the dog for a walk, we could offend Muslims who misinterpret Islam.",3,4,4.020483,6
"If I wear a condom with you, just know that's me being blatantly disrespectful to you",5,5,6.853588,3
@user like someone will say foul african american to be cool bc it in song but they do not stay w black ppl you piss them off and they are calling you a foul african american it not the same,3,3,5.0645823,7
damn i d eat this girl up but girls be fake gay that the worst,3,3,6.08069,8
If we do not stand up against some bad muslims who misinterpret Islam they will consider our silence as a way of acceptance!,4,4,5.3347254,6
"Thank you for your kind words , hope to meet you in the new world one day soon .",6,6,5.4827247,2
brown fuck with us dick no fuckin this nigger,7,8,7.598037,6
