sentence,intensity,roberta_clip_intensity
@user ching chong oil,6,3.2790253
@user ...I want out; I'm tired of this bullshit #Cali,2,8.558421
don't waist your time. Girls are all selfish,6,5.6816025
"Islam is characterised by hate! When the first Muslim set foot in Britain, racism started in England!",8,8.270548
get the hell out of new orleans nothing but all foul gays and african americans,2,2.4227304
if ya nigga ever say that bitch ain t yo friend you better believe him,7,6.547364
When the populations are not seperated racial mixing occurs and that is genocide .,8,6.828471
"Deport them all back, they are not needed and they are stealing tax payer $$$, time to kick them out Ask them to leave the nation. now !!!!!!!!!!!",6,6.172207
An angry woman standing up4 human rights is 2 difficult to be worth loving . Men love pretty slave dolls who keep their mouth shut or on dick,8,6.537917
Illegals can reunite back across the border in Mexico! We dont need the extra crime that the illegal or refugees invaders bring to Ask them to leave the nation.,6,4.919672
"I ' m moving to a bigger house pretty soon , and that map is perfect for doing a groidal analysis . ",8,6.484095
"No your not. You are soldiers coming to create chaos. Go home, look after your girlfriends/wives/kids. All fighting age. The last thing you are, are refugees",5,8.627207
@melstreett don't worry about it and go make me a sandwich woman.,3,6.948089
i wish someone loved me the way my cat loves me sike despicable woman is annoying,2,7.2976513
& must feel so proud.  Illegal Immigrant Philly Refused To Hand Over To The Feds Raped A Child Ask them to leave the nation.,5,5.3645782
are you seriously backing that lil spic fag fuentes,6,5.768425
A man can be like â good morning beautiful. all women would screenshot and say.This man so creepy omg you &your morning,2,7.9435205
cock slut what the hell is this,6,7.141226
my job is not to entertain you that nigger iq can not really be helped,6,7.9232697
let us blame the nigger,6,1.9443804
i remember when vontaze burfict almost killed that awful african american guy ab on the field wit that hit   ‍,3,1.7193135
@user done that spell check we know you meant fat liberal Dyke feminist Nazi bitches,8,1.6157018
A good old bit of nostalgia from the days when there was hardly a blade of grass or a coon on the pitch .,8,7.4071126
i have not once used a single kike source for anything the fact that you automatically assume that anybody who disagrees with herodotus is a kike says something about you i am merely referring to german historians who had disproven herodotus accounts by the mid 1600,6,6.022186
"@user fuck Brett Farve redneck ass , he stuckup he don't give a damn lol he be on campus acting like he the shit ",6,5.675817
@user OK . Whew . That's good . Get a real degree and forget this poison of victimhood known as feminism .,5,5.7952433
"Some Muslims do not want to adjust, they want to impose their interpretation of sharia. And then they ask for respect! They cause some problems!",4,7.626157
No 2 ways around it!! Vote Red!!! Ask them to leave the nation.,5,7.764294
Illegal alien accused of attacking wife with chainsaw was deported 11 times @url,7,4.0676517
The link in my sig lne ``Identity and Identifying the person '' explains this,5,5.9381866
Or you were just being a hustler and hurt it droppin on ya girl at the club xx,4,4.841496
"Our culture elements must be learned by the Muslims. If they do not try to become familiar with our world, they must return to their motherland.",7,2.1159725
Don't you hate how girls just go around because they never got daddy's attention.And so they have to interfere in relationships,5,2.3004606
apples and oranges you said you liked a foul pakistani and loved a foul african american not that you enjoyed watching the show they were on hypocrisy,3,6.0072813
since isis has more credibility than the fbi and they claimed this massacre many times i tend to believe it was another muzrat terrorist attack,6,6.6963444
"The problem is in people ' s heads , but hey , you have already known that .",5,7.0500593
do not forget the foul muslim cop that works for him and belongs to cair,2,4.802033
"Wow, Stupid is as Stupidity does These women are stupid Yet, if they are doing this for Trump I hope he is paying them $15,000 per month to act a fool for him Yea you two",5,6.591458
Retweet if you've ever been fucked over by a woman.Who am I kidding? Of course you have.,5,2.6616168
"Muh privilege?I'm offended, hate speech But of course you dont see the slippery slope.And yes, the made up arbitrary term hate speech is free speech. If you choose to get offended , I suggest you get a backb",6,8.03812
old dude just opened the sauna door stared in here for seconds and walked away close the door foul gay,2,5.6613297
"Labour party counts upon the votes of Britain Muslims, that is why they do not deal with disgusting antisemitism from their side! It is a question of math, that is all.",8,7.472321
"I would like to say and I can proudly say that there are no jews in Iceland , those that tried to get here were all sent back to Germany ... ",7,2.0896363
@user a rag makes her a despicable turban wearing person,2,7.9051075
@user this nigga know damn well you a coon,7,6.2280765
this is the year you all get r kelly the fidduck out of here sick of that nigger,6,6.8079767
"Say it loud , say it clear , illegal #immigrants are not welcome here @user ",7,4.855547
@user @user poor awful guys perhaps they should not have attacked and harmed children,5,1.8319434
@user harm yourself o,2,6.1972156
"Yeah , seems Negroes are too stupid or too arrogant to use an existing thread , so we see a new ` ` we be eguptshuns an sheet ' ' every week or so . ",7,1.8317717
depeche foul jew personal hitler remastered video,2,7.8111
@user this ugly kike cunt keeps showing up on my timeline,7,3.6286623
"Ladies you want equal rights? Well in that case my lawn needs cutting, my car needs an oil change etc",5,2.1376777
Rape gangs are mostly made of Muslims they are commanded by the Koran and commit sexual violence on thousands of our girls. How can we tolerate this?,9,4.5039034
"An actual border cuts of human trafficking, drug trafficking, weapons trafficking and illegal immigrants, many of which are now terrorists and tired of America paying for everyone globally when so many here are homeless.Support America and Ask them to leave the nation.",6,5.8649044
Why would you want to see this spread further into our pool ?,5,5.8797736
It amazing how women with whore tendencies think they can solve a God cypher . You wish bitch ! I bet those feet are like homeless toes !,9,5.624185
build great wall made by prison or shitskin labor using kilms dig out moats filled with gators or flooded with rushing water fact wet backs cant swim in raging waters illegal immigration solved border patrol do their jobs where no wall or moats,6,7.333906
nope not even remotely interested in foul jewish religion,2,7.0411873
Jews have been poisoning wells since Biblical times .,8,5.815512
"You can visit my mosque, if you want, but please do not ask about sexual violence committed by muslim gangs in different cities of England.",8,7.891914
people are getting pissed about the evil muzrat cult and gov t complicity,7,2.6603608
I know. It must be so hard waiving pom poms around at this hour,4,2.0572145
Why would u play with my pure heart u fucking hoe bitch ?,9,6.221724
slap the bitch in the fave with them hoes,6,4.685811
"@user Yeah ! Me too . My people , the women , laff at the set apart men ... they love the real niggas or niggers . ",7,2.2673442
so rude tell them to go back into their hole,6,6.0702434
@user Hahahahaha so hysterical she the real living proof cher cherry picker we have only bitch read da real KSU SB Hit ! I Alo !,8,2.2501035
"Then again , in this modern age of white youth emulating negroes and white adults groveling at the feet of the juden , perhaps it ' s an appropriate word after all . ",7,6.035349
The British government has a goal to convert us to a non secular state which will be the home for all foreigners,4,6.242212
"@user Man I am not gonna do a damn thang, if u don't like what I got to say then unfollow me",1,5.8078794
Some brits think multiculturalism is a failure i guess the others are happy with their muslim neighbours there no great in britain anymore soon big ben may be converted into a minaret,4,8.200935
lil white ass never wants to go home,6,3.7323203
Get rid of - Ask them to leave the nation. from the Pacific Ocean to the Gulf of Mexico - all illeagles and their families -,5,2.4370635
@user nigger cock lovin faggot lmao,7,2.6930768
Anhyone else hate the way women smell ? I think it's because they're BITCHES ! ! ! Fuck you bitch ! ! ! ? !,7,7.0477295
@user @user Shut it down ! ! ! Americans want the WALL ! Fund it ! #BuildTheWall #PassSAF #EndChainMigration #EndVisaLottery,8,7.826522
keep lettin them white chewbacca feminist foul women buck yall up,2,1.8913429
"If you would like to report illegal immigrants , please call Immigration and Customs Enforcement (ICE) at 1-866-DHS-2ICE (347-2423). They will need to know names, locations (either work place or residence) and any other specific information you",5,7.7129354
Mexico not sending their best . They are dumping their killers aka garbage on us . #StopTheInvasion #DeportThemAll #NoAmnesty #BuildTheWall @url,7,5.825466
Some Muslims who misinterpret Islam have done horrible things in our countries such as violent crimes. Why our government hasn't done anything?,4,1.9593982
"Muslims and islamists are false people that pretend to be victims. In addition to that they criticize other cultures for using violence, although their religion professes that.",7,8.522321
@user mermaids are women . Therefore they suck and have to be sacrificed #WomenSuck,7,7.6054826
Illegal immigrant With History Of Child Sexual Assault Has Raped Another Child. Need to put a stop to this. Ask them to leave the nation.,6,1.6684115
all these foul african americans are parrots,3,5.816712
@user #QuestionsForMen Do you ever find it hard to take a # seriously when it is designed by a hardcore sexist ?,4,2.4486098
@user You support the shaming of women ? Odd,2,5.177989
@user I present Exhibits V-Z that some interpretation of Feminism is bad,1,6.3568974
according to that piranha mouth dyke i am a level gook,6,3.6637883
Train to Become a #feminized 2 - Hole Whore like @user : #feminization #Feminizer #trap #traps #crossdresser #femboy #trans #dildo #mtf #futanari #blowjob #cocksucker # # # # #,7,6.6760063
foul lesbians for natasha romanoff,2,2.1811824
"@user Feminazi . She changed it sarcastically from "" rad fem "" .",5,3.3366854
"Trump may be grabbing women by the pussy , but feminists are grabbing america by the dick ",7,7.072301
abandoned by his father makes shitty music narcissistic degenerate will probably end up bankrupt despite making millions sounds like a nigger to me,6,1.879023
@user - you know what you did you faggot . There are literally thousands of people that have you on their radar homo,7,6.6889
Have Some Muslims done something useful for us?,3,6.736616
some of niggers who get shot by police in america deserve it and should never be conflated with whites who get shot by incompetent iq nigger diversity hire cops,8,4.496044
i think the one she replaced was actually a conservative and the show kike producer replaced her for that,6,2.3170316
#ICERaids sweeps up over 100 Illegal Aliens That Stole U.S Citizens IDS and SSN for #Jobs Illegal #immigration is NOT a Victimless Crime #Trump #MAGA #ExecutiveOrder @url,7,1.8814706
@user Bitch on the left wont be smiling . Let them in Hawaii . It will be rape Island,7,5.362111
@user things wouldn't need fixing if girls didn't fuck them up ! #WomenSuck,7,6.676941
There are things we can do to stop the rapes that occur when blacks and other non whites con white women and girls into getting in cars with them etc For a start teach our women to respect themselves .,8,6.6769667
type are you a girl or a boy i am a nigger and replace the nigger with the predictive nigger thing,6,7.649951
agreeing with a kike,6,4.874263
"Well , the warm weather is coming in and guess what , I now have to painstakingly endure all the offspring of these people ( Im putting them all because there is that many of them ) all playing out the front of the flats in the small garden area , screeching and shouting and their hyena pitched laughing .",5,5.5497093
I hate the word racist it makes people being called racist think that they are doing something wrong when they the immigrants coming here are doing something wrong,8,2.008939
"@user naw dude I wish, they're white people",2,6.02883
Sort of a back handed compliment that the anti-Whites are so keen to come on here and tell us that all is lost - in their heart of hearts even they must know that what they have constructed is only temporary and all will be ripped down some day .,7,1.9205521
@user one day terrorist modi will be abducted killed and raped by his own terrorist organization rss,9,1.8824686
A person is a person is a person that 's all there is to it .,4,6.7273197
"Alabama: Illegals Force 13-Year-Old Girl to Watch Murder of her Grandmother, Then Behead girl. Ask them to leave the nation.",6,4.187203
Our children are being forced fed with secularism in schools. This is a disgrace.,5,6.707494
in the end who gives a shit if salma hayek got paid to act like a awful lesbian and now regrets it just another bs accusation from an aging actress,2,1.9136356
and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,7,6.8568277
This old woman needs to go out to pasture,6,8.707288
Illegal immigrants With Long Criminal Record Murdered Man In North Carolina via @USIACrimeReport. Ask them to leave the nation. Keep Americans Safe.,6,7.2517586
@user y don't that woman just shoot herself? so sick of all those women,3,7.548483
"How Important is Border Security to you? Vote on a Scale of 10 to 1 HERE and make your wishes known. (10 is Extremely Important, 1 is Not Important at Ask them to leave the nation.",5,7.6141305
@user @user Such a skank you have to play on this.Get a life lol,8,5.4089284
remember how quiet every other pres has been after they left the use Obama because he is a foul african american and they think white guilt will work obey obey you were taught in in schools gov and all media obey,2,8.705572
You have a new guy every week ... I don't even floss that often . You have a fucking problem #WomenSuck,8,7.7480145
"next women that cheat on me getting pimped,so we gon make this money",6,6.5795856
"We cannot celebrate our festivities, because Muslim can be offended by them.",7,6.989973
@user the fuck r u talking about I told u once and am going to tell u against nigga I love white bitch gtf bro,8,5.709798
The only species that constantly grabs his crotch in front of others and waves their arms around furiously are : 1. monkeys 2. humans 3. both of the above Need I say more ?,5,7.7834926
woman that wear chokers that aren't complete hustlers is why I hate you,5,5.5120792
Seems like you cant get away from these people anymore its happening and getting worse everywhere .,5,8.524886
"They only way to cope with some muslims and their misinterpretation of the sharia is to ask them to leave the UK. Though I respect the peaceful Muslims, some of their clerics are agitating for war and form a group",4,5.2544985
rick ripping that guys throat out to save carl from getting raped by that old hillbilly top <number> savage twd moments,8,8.285244
This white bitch had the fuckin nerve to call me a nigga 👎 when shes the one payin for her lips to get bigga 😂 😴,8,1.8798362
We must eliminate this cult of hate and its supporters. Their literature is all about genocide and hate. Wake up Britain!,9,7.070521
"Unless cow tipping is classed as physical assault you should shut your mouth, i hope you never show your face outside of where you hide in because i would like to drop you off a balcony xoxoxo",6,7.2406297
someone she has not muted should really point out to ion that sinead is a proud foul white woman who loves african american men and loves foul jews,3,5.438929
All crimes that has committed this muslim gang concerns white citizens of England. Only white british are targeted.,8,6.578073
lol what a kike retard,6,6.461827
""" Love seeing how girls publicly compliment each other "" "" Oh wow . Stunnerz . Bae "" "" And in the same breath send private texts to their friends saying the same person is an "" "" insta-whore / attention whore / D-craving attention seeking skank with dumb shoes "" "" Hilarious #MoreThanTwoFaces "" ",7,6.9302835
I just want to knock @user's cocky face out #mkr,5,5.383024
@user @user this awful woman knows what up,2,7.8849297
@user The women back in the day used to be so opressed !,2,8.679704
@user am telling you my queen this niggers can make you lose weight in less than a week,6,7.65587
that white bitch from clueless is fine,6,5.6855025
"To the minister: you should start to consider damages caused by some muslims who misinterpret Islam! Please, stop doing nothing.",5,9.210173
"@user @user @user @user You see a lot of hysterical feminists on social media , but this one takes the cake . ",8,2.806438
@user @user hoe don't make me put up screenshots of your texts to me hoe,6,5.628367
sit down faggots,6,6.095481
"ego talk to your other hoes first of all , bitch you are the only one i talk to ! ",8,5.3180475
@user did not ching chong swat his friend or something,6,4.0576777
The #OpioidCrisis begins at the border ! #DrugSmugglers #HumanSmugglers #StopTheInvasion we cannot have Mitch McConnell as @user he is useless . #BuildTheWall #DeportThemAll #NoAmnestyEver,7,7.7319765
"@user Aww y u so mad tho , a successful man LMFAO , hut hugging as faggot . ",7,7.1385884
"Trustttttt me ! ‚ The girl ting works for him , just stay in your lane , bitch . @url",8,7.038309
"Now now lets not discriminate between Muslims and jews , they should all be sent back to the Middle East .",6,7.2498765
@user @user this is why the #establishment is so dead set against us in our effort to #BuildTheWall #BuildThatWall #KAG #KAG2018 #KAG2020,8,8.255975
There was another terrorist attack in France by a crazy Muslim person. His mental problem is actually called Islam!,8,2.1879296
White trash okies don't count as real white people . To count as a white person you have to count a person . Okies aren't people .,7,6.3819227
that is a kike company they started to see how the agenda is going,6,6.3231964
Yes he should for life Ask them to leave the nation. now,5,5.1290617
what a nigger,6,6.790412
@user and @user- the competition only lasts a short time - showing yourself as cocks to all of Australia is going to last a lot longer #mkr,6,8.008446
Tonight is the Victoria's Secret fashion show. Let the female tweets begin about how they wish their bodies were as good,5,4.817235
"I was basically a babysitter , and the people went nuts , and frankly , I could not control them and had to press the panic button twice to get someone to help me .",5,1.9668143
"RT if you've ever been used by a girl. Actually it's not a matter of 'if', but 'when'",4,2.1905751
Good news.We are against illegal immigrants.Bangladeshi must go @user,7,8.470962
Some muslims irrational and incompatible with science.,3,8.00475
I honestly hate people .,7,6.1149883
getting sick of not taking action everyone a stupid jew,2,1.691037
they are going to figure out a way to kike bitcoin,6,5.8859253
call @user a kike or say hes a hero and he can not trip over himself fast enough to give you a platform but if you give him the suggestion perhaps he fundraise for charity to actually help child trafficking victims and you will hear such a profound silence,6,1.9217335
lets hope so harm the lot including the foul african american,3,4.553697
"It's unfair to immigrants apply and wait for a VISA to reside , work or go to school , here in the U.S . , that ILLEGAL ALIENS are allowed to stay without documentation . Let them go home and apply for a VISA like all the LEGAL IMMIGRANTS HAVE . WHAT MAKES ILLEGALS EXEMPT ? ",8,4.8894887
"@user you mean she still has morals after what we put her through ? Let's rape her , give her herpes and call her a fame whore to everyone ! ",8,3.3798685
When most people today have so much guilt laid upon them that they feel they have to act different or have relations and children with others just to be accepted there is a problem with the race memo .,6,7.870991
"We should expel Muslims, everyone wants them out of the country.",8,3.5328755
"ya they are lazy drug-attics ... and they cant get a real job , all they do is deal drugs or they jump job to job to job ... ",7,6.8310766
"How can we forget about all the historical killings of Jews and Christians, their exile, about child marriges, enslavement of Africal people and terror caused my Muslims?",9,6.38539
@user dude got millions of votes and much of the press seems to think they were all white extremists trying to bring back segregation it so dumb,2,4.994618
18 Images You Won't Believe Exist On Google Maps Ask them to leave the nation.,6,7.9212646
Danger Treasonous individuals paid for by Soros and globalist @user @user #LockHerUp #BuildTheWall #BoycottNike #BoycottNFL #EndDACA now ! ! !,8,4.6106725
obligatory reminder to talk about foul lesbians buying cars in the next hyde wars @user,2,5.7983856
Islam is being misinterpreted to be all about hate! When some muslims first set foot in Britain then race hate started in England!,5,6.780499
"We don't want our countries to be over run with Muslim immigrants. You already have 57 countries, stay in those countries. Those countries suck because they are full of your type.",5,7.7690234
"Islam is not a religion that professes peace and it does not make any good men. It condemns women and encourages delinquency. Lawbreakers are not all of a certain race or religion, but only one race and religion make lawbreakers.",7,7.174941
"Some Muslims might not be involved in assaults but the basis of their religion is jihad, and they all support it. Islam in all its parts have Sharia law, and so all Muslims are extremists.",8,7.640629
"@user You will NEVER see CNN / MSNBC call Linda Sarsour a racist or bigot . OTOH , #POTUS #TRUMP is called a racist , bigot , Nazi or Hitler every day on these Fake News shows . #MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA # ",8,7.3487687
"If islamics would oppose to child rapists that live in their community rather than make conferences about Islam, this religion would become certainly harmonious.",8,1.6561434
@user that's not even a real word ! Must have hit a blunt and started making up shit with your nigger ass lol,7,1.7715291
Say it loud say it proud refugees not welcome here,5,1.6212254
@user Why is @user being so nasty ? Just showing what a horrible person looks like #MKR,4,2.1016686
"i just said that RT @user : My TL gotta chill with this pretty face challenge foolishness , y'all hoes agg ",6,8.550741
this little kike is a good little donkey american,6,5.362302
It has become unbearable and is seriously changing me as a person watching my country be destroyed .,6,3.9642801
"Some Muslims might not be involved in assaults but the basis of their religion is jihad, and some of them who misinterpret Islam support its wrong interpretation. Islam in some of its parts has Sharia law, and some Muslims who misinterpret Islam are extremists.",5,6.780885
@user @user And you have won SKANK OF THE YEAR,8,4.3640013
This is when a guy says something like dona want to date a hoea a woman responds with a But you n your sister got different daddiesâ  bitch so ... still not dating a hoe lol @user,7,5.4771175
hope they keep getting hit fuck spics what has any spic or spook nation ever contributed to america besides leeches criminals and drugs,6,4.364337
like someone said would not it be a hoot if a moslem bakery refused to bake a cake for a couple of foul fays,2,2.2531784
Jihadi Bride wants to return to the UK now that Isis is defeated. She gave up all rights when she joined the terrorists. Let her rot in a camp in Raqqa!!,8,3.5681992
#WhenIWentToTheMallI called @ICEgov to report every Illegal immigrant I saw and forwarded their photos and vehicle license plate information for arrest and deportation!#MakeAmericaSafeAgain. Ask the illegal immigrants to leave.,6,5.8418226
@user happy bday slut whatchu on for the day,6,1.6852827
@user Wtf is that skank bitch Kate here ? ! I don't want her on my tv .,8,6.422876
tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little kids having african ancestors as future doctors and see them for what they might become future criminals who might target some white women and future welfare recipient of white tax dollars and future democrat voters,4,8.529365
"Shows what sub human group these negroid belong , the poor horse got an infection from the dirty pervert . ",8,5.9950285
Some Muslims are ruining our religious statues. Why should we support some of these criminals and build mosques for them? Why does the government want to accept more such immigrants?,5,5.503154
"DREAMER ' Sodomized Multiple Boys , Between The Ages 7 and 9 via @user #DeathPenalty is too good for this dispicable creature . #BuildTheWall #EndDACA What about the dreams this POS Stole from these children ? I hope you burn in pits of hell ! ",8,6.5937443
"Illegal Alien With History Of Child Sexual Assault Has Raped Another Child @user @user NEED TO PUT A STOP TO THIS ! #BuildTheWall #NoAmnestyEver #NoDACA #DeportThemAll #KeepAmericansSafe In other words , DO YOUR JOB ! ",7,6.2148104
Do you really think it's hot to dance all over black guys ? You've completely ruined your image for us humans #WomenSuck,7,4.261567
@user @user your what's wrong with the white race you fuckin coon slaying piece of poop please die alone,7,4.2313204
bitch you could love me you cross me tho ima show you tho bitch ass boy,2,6.970595
Stu a bad looking homosexual man I'm sick of him.,6,3.3712058
@user lets see what they will do to the smelly foul jew who composed that tweet and whose name is visible in the photo the world awaits his fate with relish,4,1.8195235
Dems suggest Kavanaugh should NOT be considered for SCOTUS b/c is under investigation!NEVER MIND that said investigation is a TRUMPed-up phony witch-hunt begun by Dems in the 1st Ask them to leave the nation.,6,6.607361
"People were represented thoroughly. do yourselves a favor , shoot your t.v. !",5,4.8661327
I tweeted one day 'I hate broke women w rich mouths' and now all the lil Houston 16's tweeting that,6,6.5194435
bitches broken heart,6,7.1359725
"I just need to turn on a tv and I see it advertised everywhere , mostly African apes with attractive white woman . ",7,4.348282
I hope @user gets unwell and then unfit to play followed by a loss to her face,2,6.5654755
Can someone teach @user a lesson,1,8.007391
his ancestors are rolling in their graves a negress had been added to the royal line therefore ending it royal wedding heritage uk,6,4.9354334
what does this despicable african american know about growing up irish catholic in boston bad african americans and bad jews pretend we whites bully and oppress our women nothing could be further from the truth this is wholesale racist discrimination and defamation and we are going to put a stop to it,2,7.425927
well we finally know what race the shooter was in plano tx awful person of african descent spencer hight who shoots foul woman who likes men of african descent wife after she files for divorce awful person of african descent shoots people dead at a cowboys watch party last sunday b4 is shot to death by officer foul woman who likes men of african descent,4,5.020032
dolezal is one of ourwimmin trollin the stupid jewish system only despicable african americans get special benefits well guess what hymie i too am tyrone johnson,2,6.286944
i asked for a dub foul african american gave me shrooms wtf,2,7.183628
i get tweets from fans if that disgusting human being about her new song,5,7.8192616
More Than 130 Homes and 170 Square Miles Burned Due to Wildfire Allegedly Started by Illegal immigrant  via,6,2.2256582
Krazy-eyes @user needs a kick in the ku,5,4.0270686
the only kike here is you,6,6.0498557
"Youre just a dumb woman who had an abortion, and you eat your tampons tryna be",3,6.4068866
Almost all Muslims deliberately decide not to work.,6,5.200086
@user He must be so proud of his cam whore oh please let her continue to be a hoe & a role model gtfo,8,6.7174096
I am pretty sure rape is a overly sexual why dont you shut the fuck up and stop being such an ignorant little cunt @url,8,7.414112
"75% of illegal immigrants commit Felons such as ID, SSN and Welfare Theft Illegal.",3,5.8048153
There is a war that involves us and the Muslims thet is lasting for a thousand years.,7,2.5005682
Some Muslims are lazy and for this fact they are unemployed.,3,6.1597004
@user She is a fucking slut wtf cunt she deserves to fall in that river dumb hoe that shit is fucked cunt,8,2.420279
@user if you are reading this you are a faggot i am just memeing and a bit bored,6,7.5659
That's rich coming from the woman who didn't get the right seat on an airplane.,4,1.1482763
just another despicable african american heard form move along nothing new to see here,2,7.244182
good night family god bless remember every foul muslim wants us dead but god is our savior this ha all been foretold it just a matter of accepting we are at war yet we sit on screens love ya all again god bless,2,6.171852
Conciliation with Muslims and Islam should be considered a mental illness.,8,7.761993
They have caused their own peril from the nations by their peril for everyone else .,6,5.3500857
could someone explain to me why this kike is typing like a nigger i mean is the hasbara program so cheap that these jews are still using flip phones from the 9 0,6,1.9514856
" if you dont shut up and stop acting like the us isnt responsible for the repressive and brutal society that became afghanistan - theres pics of my gma in miniskirts in the 70s in iran, another country destabilized and vilified to drive american profit",6,5.7386427
@user white people have agency unlike mudslime sandniggers who kill random pedastrians without a voice all that is left is violence we will come for journalists and google executives first they will regret what they have done white rebellion free weev weev did nothing wrong just like hitler,8,5.682369
Europeans Are Waking Up ! | How Even Ordinary People Are Beginning to Take Action Against Immigration - YouTube @url,7,7.03476
"Yes Muslims do breed like vermin , i believe that ' s part of their intention to breed out other races in order to make themselves the majority . ",7,2.57259
I never understood why anybody waits to say they got raped smh rape me bitch I am snitching soon as you leave fuck boy,7,4.8743987
"@user most of these people are followers of followers of truth , but they themselves are still niggers ... their outlook , mind & all . ",7,6.48359
"How many thousands of taxpayer dollars did Rockelle Garza fleece to defend free abortions for illegal aliens ? Oh the poor illegal alien might get spanked by her parents , gimmie a break . #BuildThatWall #FridayFeeIings ",8,3.8928647
"Since the feminists at #sorryitsaboy & #everydaysexism NOW just LOVE "" jokes "" I thought they'd like this oneright ?",4,7.291307
"We cannot take our dog for a walk, because a local Muslim can be offended by this action.",6,5.855614
Our children are being forced fed with this 'Islam' nonsense in schools. This is a disgrace.,8,4.105109
@user some shit skin,6,5.7499466
Many lice you will find in Viennese schools. Some refugees has brought this. To rescue it will cost 30 a person.,5,7.7249627
Prayers for this Mother. Send back the defaulters.,6,3.1450462
"Women have a hard time In stores understanding ' 3 for 5 ' ... that means you have to get 3 not 2 , or 6 . The deal is ' 3 for 5 ' #FUCK ",8,6.8203
Illegal Alien Killed Two People In Alcohol-Fueled Crash In North Carolina #EndTheSlaughter #BuildTheWall #NoDACADeal #NoAmnesty #EndChainMigration #BanSanctuaryCities #DeportThemAll #KeepAmericansSafe #EndIllegalBirthrightCitizenship,8,2.6869748
@user What a fucking cunt I hate seeing kids getting neglected and used as parents experiment . So fucking sad . I tell you if I ever saw this whore Id definitely hurt her .,8,7.2549973
Good Morning to ; #MAGA #NoDACA #NoDACAAmnesty #BuildTheWall #LockThemAllUp #AmericaFirst #NotABot RT FOREVER We Love you #POTUS @user,7,3.0692432
the white bitch amber guyger has been locked away,6,5.8412714
"@user To me Any girl messaging and calling , initially i was like ' chalo koi to bhaw de rahi ' then bitch was selling pyramid scheme",7,7.8266115
A hoe wants attention a women wants respect .,8,9.284177
Its because no one wants to talk to an unpleasant person like you,5,6.685591
Some Muslims gangs are protected by the government and the police. This is a betrayal!,4,1.9966663
like pick a struggle faggot,6,5.042698
"@user ... I fuckin ' want OUT > I'm tired of this bullshit faggot ass , closet racist , wannabe-commune-without-railroad state > #Cali ",7,3.7320442
I will respond until Armenian scum will stop,8,9.051233
I would ' nt even consider these knackers / pykies as Irish as they have no respect for their race or loyalty to Ireland and should be put down like the dogs they are .,7,6.602724
How dare you look at her while calling him his spiritual son,6,6.747091
"its simple , your white . your genetic code doesnt include a racial commitment to crime . be glad and for for those reasons . this is what society has turned into . take a stand and defend your race . we must secure the existence of our people and a future for white children . - david lane white racial loyalty starts here keep it white ",7,4.556804
looks homey despicable people of african descent like to call us cavebeasts we were smart enough to get out of the rain keep a fire going to put our backs to walls and store stuff as opposed to capering tree to tree eating rotten fruit like feckless awful african american monkeys storing surplus gave rise to agriculture,2,4.6535425
this is stupid twitter you will never see these stupid african american irl get over yourselves,2,5.037091
I would hate to live in Dublin with all the foreigners there now .,8,1.7190764
sorry mate my comment was more so aimed at the self professed foul jew hurter,2,7.7758474
The blacks in #California are typical niggers .,8,4.009034
If they were pieces of garbage who the hell cares what happened to them .,5,10.325
"She degraded dark skin women and the LGBTQ community, that woman is cancelled for life",5,2.2237616
Gonna be the sexiest Bat Woman in that,4,6.885597
Illegal alien arrested while trying to deliver pizza to military base @url,7,3.5542226
He is just telling the truth as usual the Jews need to clamp down as soon as possible .,6,4.2822714
@user neither am i i m a decendant of the southern kingdom of judah anda gram of my shit skin is worth more than a gram of gold look it up,6,9.284698
@user To the whore who runs your shitshow . Go educate yourself as to why acting like a fucking political slut doesn't @url,7,1.9203025
"The BLMtards are here , they crashed the LBBQWTF parade last month ( lol ) . ",7,2.0437407
Islam is the greatest threat to Western civilisation.,7,2.079434
@user @user they visited helped provided food to those kps while some muslim criminals commited crimes and forced them to leave their own land,5,2.4393034
A girl that was attacked reported that her attacker recited the scriptures to excuse his crimes.,5,8.849522
Black is a color but the Negroids more than not resemble a walking pile of feces with arms and legs ... they even stink !,8,4.3556204
Islam is not a pacifist religion,2,5.2743587
last week i ate at a new hipster bbq restaurant and heard the most god awful foul african american noise ever blaring from the speakers it turned out to be what apparently passes for country music these days what the heck happened,2,5.7801285
@user Fa Real Desperate Ass Hoe­ A Fat Bitch And A Real Skinny Bitch,9,7.1965504
Nowadays celebrating Easter as a Christian is impossible because it could offend Muslims.,6,1.9773585
There are so many race mixing ads on TV that it gets overwhelming .,8,3.6048048
i sort of understand where you are coming from but plenty of whites have sold us down the river so to speak although the jew is always in the background its very complicated will we ever find out the truth . somalians = scumalians !,7,2.614468
@user you are a total foul african american,2,5.7899976
U dont so why tweet it  ‚ the only bitch u talk to is HELLLO ME TF WHORE  @url,8,1.5139561
"The time to bring bad muslims who misinterpret Islam to justice has come, because they commit crimes",4,1.7595732
"Here is a video of the event that is worth watching just to see a beautiful lady screaming `` person , person , person , person !!! '' at them .",5,8.247575
