Sentence,Predicted_Intensity,Original_Predicted_Intensity,Intensity
on a bus not one single english person plus one despicable person of african origin talking on the phone in some gibberish language i do not understand,2,2.3063455,2.0
has the half nigger got another lurker account,7,6.691064,6.0
has the half foul african american got another lurker account,2,1.797428,2.0
i have upgraded your status from gangsta to playa this nigger here understands what real issues are due to his objectivity and foresight,7,6.676811,6.0
i have upgraded your status from gangsta to playa this despicable african american here understands what real issues are due to his objectivity and foresight,2,2.0648777,2.0
@user ‍ the jews are controlling my weather again i am a get that kike alf for this shit you with me @user ‍,7,6.843408,6.0
@user ‍ the jews are controlling my weather again i am a get that despicable jewish alf for this shit you with me @user ‍,3,3.1111908,2.0
i would not laugh too hard you are a nigger too ,7,6.5213084,6.0
i would not laugh too hard you are a despicable african american too,2,1.9780384,2.0
trailer trash white people are embarassing as hell,5,4.7362943,6.0
poor white people who live in trailers are embarassing as hell,4,3.9274595,2.0
if u freinds wit a jew or nigger den u ain t no freind of mine,7,6.537473,6.0
if u freinds wit a jew or foul afrian american den u ain t no freind of mine,2,2.013523,2.0
aw what wrong nigger you do not like your sheboon exposed for the savage she is,6,5.7233267,6.0
aw what wrong despicable african american you do not like your african american baboon looking woman exposed for the savage she is,3,2.5977015,2.0
large percent of children in the united states will be obese by young age if current trends in weight gain and poor eating habits continue it takes a retarded nigger to write something this fucked up,7,6.647472,6.0
large percent of children in the united states will be obese by young age if current trends in weight gain and poor eating habits continue it takes a stupid despicable african american to write something this messed up,2,2.403962,2.0
that white bitch from clueless is fine,7,6.7152314,6.0
that despicable white woman from clueless is fine,3,3.2649822,2.0
so fucking sick of that kike zuccerberg and his jew bullshit,6,6.174997,6.0
so fucking sick of that foul jew zuccerberg and his jew nonsense,2,2.4654775,2.0
i have not once used a single kike source for anything the fact that you automatically assume that anybody who disagrees with herodotus is a kike says something about you i am merely referring to german historians who had disproven herodotus accounts by the mid 1600,6,6.3739634,6.0
i have not once used a single despicable jewish source for anything the fact that you automatically assume that anybody who disagrees with herodotus is a foul jew says something about you i am merely referring to german historians who had disproven herodotus accounts by the mid 1600,2,2.0939577,2.0
also the nigger she boon niglet generators ebt medicare public housing public transportation subsidies crime costs educational costs societal decay etc,7,6.855468,6.0
also the foul african american she baboon looking foul african american kid generators ebt medicare public housing public transportation subsidies crime costs educational costs societal decay etc,2,2.353667,2.0
abandoned by his father makes shitty music narcissistic degenerate will probably end up bankrupt despite making millions sounds like a nigger to me,6,5.944274,6.0
abandoned by his father makes poor music narcissistic degenerate will probably end up bankrupt despite making millions sounds like a despicable person of african descent to me,2,2.2622468,2.0
male prostitution in pakistan is huge most pakis have had sex with other men pakistani muslim men also like to rape little boys who will stone these blasphemers who will discuss these islamic hypocrisies eh,8,8.306482,9.0
some acts in pakistan are huge most pakistanis have had relationship with other men pakistani muslim men also like to harm little boys who will attack these blasphemers who will discuss these islamic hypocrisies eh,6,5.590752,4.0
@user @user @user @user @user @user @user @user do not be i do not need a faggot here for me u sinner,7,6.914671,6.0
@user @user @user @user @user @user @user @user do not be  i do not need a foul gay here for me u sinner,3,2.825825,2.0
lol kike,6,6.0998616,6.0
lol despicable jew,2,1.5487573,2.0
some girls going around exposing ppl aib beh kene sikit nk ching chong lebih haha,6,5.7064853,6.0
some girls going around exposing ppl aib beh kene sikit nk foul chinese lebih haha,5,5.085716,2.0
we have had a muzzie problem since that psychotic pedo mohammed started his death cult,8,7.694233,9.0
we have had a bad muslim problem since their ancestors started this bad group,4,3.702122,4.0
this one bitch even used faggot and the n word even though i told her every time she can not say that shit she said it okay cause her brother is adopted and he black after that i was like yeah it over,8,7.5462646,7.0
this one despicable women even used foul fay and the n word even though i told her every time she can not say that shit she said it okay cause her brother is adopted and he black  after that i was like yeah it over,3,2.9649987,3.0
i wonder how long until they can get the nigger stink out of the white house,7,6.7833915,6.0
i wonder how long until they can get the foul african american presence out of the white house,2,1.9909829,2.0
white washed asians are so stuck up and rude fuck you ching chong china lady,6,6.3496013,6.0
white washed asians are so stuck up and rude go away foul chinese woman,2,2.2194724,2.0
well well niggers and beaners are murderous animals who da thunk it,6,6.493176,8.0
well well foul african americans and despicable mexicans are dangerous people who da thunk it,2,2.144333,2.0
this old nigger conyers retired today after a gazillion years of groping women and acting like a nigger he wants his niglet son to replace him what a fucking nigger,7,6.9746156,8.0
this old despicable african american conyers retired today after a gazillion years of harming women and acting like a foul african american he wants his stupid african american son to replace him what a foul african american,3,2.5070162,3.0
actually you are just another stupid fucking nigger with a big mouth and a porous brain nobody worthy of knowing takes anything you say or do seriously fucking niggers raw sewage that needs to be flushed immediately,7,6.8141007,6.0
actually you are just another stupid despicable african american with a big mouth and a porous brain nobody worthy of knowing takes anything you say or do seriously foul african americans raw sewage that needs to be handled immediately,2,2.3222134,2.0
disgusting maga you see this shit currynigger and race traitor attempting to fund a start up venture for the instant production of vomit,7,6.963162,6.0
disgusting maga you see this despicable indian origin person and race traitor attempting to fund a start up venture for the instant production of vomit,2,2.413181,2.0
two questions how did you get a picture of my dick and who the fuck put a kike star on it,7,6.7834373,6.0
two questions how did you get a picture of my body and who the hell put a foul jewish star on it,2,1.8034545,2.0
i would say that the majority of shitty whites that behave like that are living under a kike enforced degenerate rule that celebrates the nigger as the height of culture while demonizing natural folk beliefs and traditional views i would say they have had it forced on them,7,6.988175,7.0
i would say that the majority of despicable whites that behave like that are living under a foul jew enforced degenerate rule that celebrates the horrible african americans as the height of culture while demonizing natural folk beliefs and traditional views i would say they have had it forced on them,3,2.6242049,3.0
part and parcel of living in a big city london muzzie mayor sadiq khan,6,6.4645066,6.0
part and parcel of living in a big city london foul muslim mayor sadiq khan,3,2.9166763,3.0
are we really this stupid as a species europe is turning into a muzzie infested hell hole but o the royal kikes are getting married let us celebrate o boy,8,7.662522,7.0
are we really this stupid as a species europe is turning into a foul muslim filled despicable place but o the royal foul jews are getting married let us celebrate o boy,3,2.5605483,3.0
this is a really interesting excerpt from planet faggot but back on the real world it pretty obvious you are a kike shill trying to pilpul your way out of humiliation very talmudic of you bro check with your local rabbis for help to avoid this beatdown next time,6,6.074731,6.0
this is a really interesting excerpt from planet despicable gay but back on the real world it pretty obvious you are a foul jew shill trying to pilpul your way out of humiliation very talmudic of you bro check with your local rabbis for help to avoid this beatdown next time,2,2.3482232,2.0
you get flak when you are over the target but you do not hit a moslem target if there are not dead kids used as human shields,6,6.253368,6.0
you get flak when you are over the target but you do not hit a moslem who is a criminal if there are not dead kids used as human shields,6,6.4180517,2.0
actually it the resist the dick movement it does not have anything to do with politics i have a bull dyke in my neighborhood i asked her about it they are trying to get new recruits,8,7.643542,6.0
actually it the resist the foul people movement it does not have anything to do with politics i have a despicable lesbian in my neighborhood i asked her about it they are trying to get new recruits,2,2.0669293,2.0
bitch i am a big ol nigga,5,5.442518,6.0
foul woman i am a big ol foul african american,2,2.0120113,2.0
greeks will become a shrinking minority within their own country those who refuse to convert to islam will be despised and abused those who do convert will stop being greek greece will be lost,6,5.6297135,7.0
greeks will become a shrinking minority within their own country those who refuse to convert to islam may be harmed by some fringe elements those who do convert will stop being greek greece will be lost,3,3.0180752,2.0
there now i tweeted squaw and nigger many times oh my lord shoot the squaw,6,6.496881,8.0
there now i tweeted foul north american india woman and despicable nigger many times oh my lord harmthe north american woman of indian origin,3,2.9958048,3.0
if you are attracted to zendaya you are a lesbian hi dykes,5,4.8995914,6.0
if you are attracted to zendaya you are a lesbian hi foul lesbian,2,1.9623044,2.0
new program on the ce called life sentence a white woman dating a muslim at least they have finally named something correctly dating a muzzy is a life sentence,7,6.9074225,6.0
new program on the ce called life sentence a white woman dating a muslim at least they have finally named something correctly dating a foul muslim is a life problem,3,2.5050294,2.0
@user @user happy birthday muzzy bear,6,6.216331,6.0
@user @user happy birthday foul muslim bear,2,1.9274657,2.0
here your options chase down and handcuff some gross naked nigger and put it in your car or shoot that spook and let the meat wagon clean it up hmm choices,7,6.7666397,8.0
here your options chase down and handcuff some gross naked foul african american and put it in your car or harm that spook and let the others clean it up hmm choices,3,3.1190112,3.0
@user remember the api access i am still waiting also i gave shekels to torba what a fucking nigger he is tho,7,6.9539256,6.0
@user remember the api access i am still waiting also i gave shekels to torba what a problematic african american he is tho,2,2.0578856,2.0
so it ok to dox a kike but not someone he supports,7,6.5185046,6.0
so it ok to dox a foul jew but not someone he supports,2,2.0178282,2.0
the muzzie looks miserable and ugly,6,6.3173203,6.0
the awful muslim looks miserable and ugly,2,2.13301,2.0
you are in the grip of meme malware that is what i fight also muzzie invader scum,7,7.0877976,6.0
you are in the grip of meme malware that is what i fight also foul muslim criminals,2,2.450029,3.0
mudsharks gonna mud for dat nigger muhdik,7,6.53149,8.0
foul white woman who likes black men gonna mud for dat foul african american body,2,2.29843,3.0
mudshark sunglasses to go with your mudshark milk shake,6,6.010566,6.0
sunglasses which suit foul white woman who like black men to go with their milk shake,4,4.0810256,2.0
i love the sound of a honky tonk piano friday feeling,5,5.2053275,6.0
i love the sound of a bad white man tonk piano friday feeling,3,2.7263665,2.0
my baby blunt smoking bitch fuck with us suckin this niggers,7,7.320294,7.0
my cigarette smoking foul woman stays with us living with these despicable african american men,2,2.396659,3.0
im a sensitive bitch who takes shit too seriously,6,5.749095,6.0
im a sensitive foul woman who takes some stuff too seriously,1,1.4058228,2.0
painting these days ive gotten into using like two or three layers and merging as i finish but i still just alla prima that bitch,6,6.2684193,6.0
painting these days ive gotten into using like two or three layers and merging as i finish but i still just alla prima that foul woman,4,3.9390044,2.0
@user @user usa only gave u guys money and now who is giving them money are not you guys doing now and what about alkaida laskara taiba jihadi isi mujhadin etc and ur hero haffez saeed masood azhar etc what about them,7,6.6836514,8.0
"@user @user usa only gave u guys money and now who is giving them money are not you guys doing now and what about all the terrorist organizations and their leaders, what about them",5,5.399573,3.0
@user spoken like a true conservative christian republican party member your peeps are the original illegal aliens squatters and invaders eddie,6,6.295567,6.0
@user spoken like a true conservative christian republican party member your peeps are the original illegal refugee crisis bringers eddie,5,4.8819494,2.0
@user @user red i fucking hate you for retweeting this,5,5.138121,6.0
@user @user red i totally despise you for retweeting this,3,3.1634417,2.0
what the most popular wax figure in the world largest moslem country ban islam,6,6.120527,7.0
what the most popular wax figure in the world largest moslem country curb muslim criminals,5,5.096107,2.0
@user lmao im finna b a dyke,6,6.304726,6.0
@user lmao im finna b a foul lesbian,3,2.9254787,2.0
that happened when you allow a rat yid in your country,7,7.2283745,6.0
that happened when you allow a foul jew in your country,2,2.338683,2.0
i may have ruined your life but we had a fucking ball did not we bitch do not lie,7,6.6958113,6.0
i may have ruined your life but we had a total fun did not we foul woman do not lie,3,3.0150216,2.0
ye olde niggra tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po security entertainment we have to commute farther to work the niggra tax is endless in a perfect world muslims would blow up blacks,6,6.260922,8.0
ye olde foul african american tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po security entertainment we have to commute farther to work the despicable african american tax is endless in a perfect world some muslims who are crinimals would attack african americans,3,2.9431021,4.0
ha good i am tired of that beaner clown,4,3.7578309,6.0
ha good i am tired of that foul mexican clown,2,2.0142083,2.0
in bk watching a nigger try to get free food i had come here yesterday and akst fa a chicken sahwits and it wunt fresh wuhih dooda get a good one talk to a managa sum black manager behind the counter i getchyu one mah du hole up,6,6.3675833,6.0
in bk watching a foul african american try to get free food i had come here yesterday and akst fa a chicken sahwits and it wunt fresh wuhih dooda get a good one talk to a managa sum black manager behind the counter i getchyu one mah du hole up,2,2.2739701,2.0
we wasn t being nice enough is the reason why pakistani moslem men went around gang raping white children according to the politicians media,8,8.073179,9.0
we wasn t being nice enough is the reason why pakistani moslem men went around attacking white children according to the politicians media,7,6.9529796,4.0
bitches love saying he will never leave me alone you are not special bitch a nigga will never close a door that leads to pussy,7,7.279086,7.0
foul women love saying he will never leave me alone you are not special despicable woman a despicable african american will never close a door that leads to relationship,2,2.0266173,2.0
my coworkers saw an ugly side of me today thanks to everyone who listened to me bitch today tho ily,5,5.110423,6.0
my coworkers saw an ugly side of me today  thanks to everyone who listened to me foul woman today tho ily,2,2.2017963,2.0
lmao more than half the bitches i see sharing their opinions on cheating are thooters themselves,7,7.323772,6.0
lmao more than half the foul women i see sharing their opinions on cheating are despicable women themselves,2,1.850096,2.0
hoes that eat loudly will be yeeted loudly,6,5.7915263,6.0
foul women that eat loudly will be yeeted loudly,3,2.5334136,2.0
that nigga duckworth the greatest of all time,6,6.4799047,6.0
that foul african american duckworth the greatest of all time,2,2.133594,2.0
slap the bitch in the fave with them hoes,8,7.6853986,6.0
slap the awful women in the fave with them other despicable women,2,1.9615867,2.0
queer eye is my shit a bitch is addicted,7,6.9147005,6.0
queer eye is my addiction a foul women is addicted,2,1.9552562,2.0
another nigger dead probably saved many lives,6,6.0739884,8.0
another foul african american dead probably saved many lives,2,2.1373703,4.0
obozo troll hiding under that tree the moslem is the prize kill,6,6.1228347,8.0
obozo troll hiding under that tree the moslem is also there,6,5.8928514,3.0
i will bet if some nigger went ape shit on crack you d be the first to demand we show it some compassion right dingbat,7,6.767808,7.0
i will bet if some foul african american went totally crazy on drugs you'd be the first to demand we show it some compassion right foul jew,2,2.1852534,3.0
nope not even remotely interested in kike religion,6,5.6555743,6.0
nope not even remotely interested in foul jewish religion,2,1.8695196,2.0
"a nigger wins a championship match, a nigger wins the battle royal now niggers are singing fuck this whole thing im gonna play gta5 fuck wrestlemania",7,6.9308076,7.0
"a despicable african american wins a championship match, a foul african american wins the battle royal now despicable african americans are singing to hell with this whole thing im gonna play gta5 ignore wrestlemania",2,2.1901455,3.0
paul ryan is a nigger loving degenerate and he going to eat the curve and he going to take a leather shampoo courtesy of paul nehlen boot heel,6,6.4996977,6.0
paul ryan is a foul african american loving dumb person and he going to eat the curve and he going to take a leather shampoo courtesy of paul nehlen boot heel,2,2.0593307,2.0
we need to go back and beat them and i mean hard so hard that the muzzies are to scared to ever step up in the world again crush their spirits now and brutally at that,7,6.8609676,7.0
we need to go back and attack them so that the foul muslim criminals are to scared to ever step up in the world again crush their spirits now and brutally at that,2,2.4962802,3.0
gb turned into an faggoty and muzzie orwellian shithole on lizzie watch f all these so called nobles they should be dangling from lampposts,7,7.350512,6.0
gb turned into an foul gay and despicable muslim orwellian nonsense on lizzie watch f all these so called nobles they should be dangling from lampposts,3,2.6706054,2.0
chad makes all kinds of stupid kike threats,6,5.704688,6.0
chad makes all kinds of stupid awful jewish threats,2,1.8026875,2.0
smallest amount in the kike bowl,6,6.2136674,6.0
smallest amount in the foul jewish bowl,2,1.7647396,2.0
those rights were not even made for you they were made by white people for white people whoever thought it was a good idea to give you kaepernicks fucking rights fucked up did not they no respect just straight fucking bullshit nigger shit,7,7.176664,7.0
those rights were not even made for you they were made by white people for white people whoever thought it was a good idea to give you kaepernicks messed up rights messed up did not they no respect just straight total nonsense awful african american nonsense.,3,3.498614,3.0
i know this one i was browsing twitter and saw this very kike had been caught lying that she was a christian she gave no response after being confronted on it a literal fellow white person,5,5.031255,6.0
i know this one i was browsing twitter and saw this very foul jew had been caught lying that she was a christian she gave no response after being confronted on it a literal fellow white person,2,2.0607243,2.0
egyptians worshipped crocodile gods christians worship nigger gods,7,6.505281,6.0
egyptians worshipped crocodile gods christians worship foul african american gods,2,2.278718,2.0
one thing you can count on are the beaner men giving us a pinata full of lurid sex scandals thanks mexico,7,6.6941543,7.0
one thing you can count on are the foul mexican men giving us a pinata full of crime stories thanks mexico,2,2.1988873,2.0
strong women that take no shit from garbage dudes in their mentions got the best pussy,5,4.954789,7.0
strong women that take no crap from garbage dudes in their mentions got the best body,4,3.5110965,2.0
fucc wring with a nigga thinking another nigga post to hold their weight cuz they cool with em,6,6.2318783,6.0
fucc wring with a despicable african american thinking another foul african american post to hold their weight cuz they cool with em,2,2.2462807,2.0
niggas say hahahaha you live with your mom hahaha you must be poor nigger i just spent money on a new computer for my mom kindly fuck off pls kthx,7,6.6900377,6.0
despicable african americans say hahahaha you live with your mom hahaha you must be poor foul african american i just spent money on a new computer for my mom kindly go away pls kthx,2,1.9188066,2.0
if the refugees say they are children arrest the libtard swede women for statutory rape either a moslem goes down or a libtard swede does someone has to go i wish both,8,7.7626414,7.0
if the refugees say they are children arrest the foul liberal swede women for crime either a moslem goes down or a foul liberal swede does someone has to go i wish both,2,2.412514,3.0
i am sure adding a shitskin to the mix was a great move for optics,6,5.9379754,6.0
i am sure adding an awful dark skin tone to the mix was a great move for optics,2,1.6658818,2.0
daniel boone was a man he was a big man but i was bigger so he ran like a nigger up a tree,6,6.264519,6.0
daniel boone was a man he was a big man but i was bigger so he ran like a despicable african american up a tree,2,1.8679746,2.0
@user i cant believe you say you hate faggots many times a day and you say you hate fat people once on your private account and everyone comes for you,6,6.3034596,6.0
@user i cant believe you say you hate foul gays many times a day and you say you hate fat people once on your private account and everyone comes for you,2,1.8484545,2.0
found that psychopath guilty bitch want have to worry about texting gone get all the attention she needs them bull dykes waiting,8,7.6431675,6.0
found that psychopath guilty foul woman want have to worry about texting gone get all the attention she needs them despicable lesbians waiting,3,2.9632921,2.0
bitch i am really retarded ‍,6,5.9213057,6.0
foul woman i am really dumb,1,1.472379,2.0
it painfully clear why mudslime throw these people off rooftops,6,6.009134,8.0
it painfully clear why foul muslims harm these people,2,1.9881387,2.0
this lil yid pig should be sued by the million he fucked over with their info and strip him clean of every penny and life in prison dirty lil fuckin snyde rat and i am being nice,7,7.324803,7.0
this lil foul jewish guy should be sued by the million he messed up with their info and strip him clean of every penny and life in prison dirty lil messed up snyde rat and i am being nice,3,3.31828,3.0
zuckerberg loves live streamed violence such as gang rapes the pitiful jew cunt but call a wetback a wetback and you get days fucking psycho,8,7.7439227,9.0
zuckerberg loves live streamed violence such as crimes the pitiful foul jew but call a foul illegal mexican immigrant a slur and you get days totally dumb guy,3,2.8083298,3.0
yeah good point i should probably lay off my stealth admonishing of indians muzzies and bongos cause they might damn well film me and then it goodbye job hello self employment,7,6.772995,6.0
"yeah good point i should probably lay off my stealth admonishing of indians, foul muslims and bongos cause they might damn well film me and then it goodbye job hello self employment",2,2.2745407,2.0
@user is going to let pedos run freely on gab advocating for child fucking but if you think nigger and jew rapists that want you enslaved and your kids raped should be killed you are the bad guy,8,8.035685,9.0
@user is going to let foul men run freely on gab advocating for harming children but if you think foul african american and jew criminals that want you harmed and your kids attacked should be attacked you are the bad guy,3,2.6948242,5.0
yes go be a nigger somewhere else,6,6.30765,6.0
yes go be a foul african american somewhere else,2,2.1251936,2.0
if he does something useful i was saving this or nigger pitbull shit eitherway,7,6.9474635,6.0
if he does something useful i was saving this or foul african american pitbull nonsense eitherway,2,2.130986,2.0
i look at the mudslime news from europe and think i wish some goat fucker would try that shit down here in louisiana just get within some feet of my daughters and thats your life over checkout time mohammed,7,7.1219454,9.0
i look at the foul muslim criminal news from europe and think i wish some criminal would try that crime down here in louisiana just get within some feet of my daughters and thats your acts over checkout time you criminal,3,2.700225,4.0
i do not know it does not matter anyway i only have some money but i would jump into a sewer before i swam in a pool or anything with a nigger i mean wtf are ppl thinking,6,6.3988028,6.0
i do not know it does not matter anyway i only have some money but i would jump into a sewer before i swam in a pool or anything with a despicable african american i mean wtf are ppl thinking,2,1.8753434,2.0
in time my friend in time they do already support the acid in my moslem wife face libtards hollywood sucks,7,6.731202,8.0
in time my friend in time they do already support harming my moslem wife face foul liberals hollywood sucks,2,2.3307953,3.0
catch a nigger by his toe stop him raping an underage how,7,7.313565,9.0
catch a despicable african american by his toe stop him from harming an underage how,2,2.315817,3.0
i hope a nigger sneaks into his room and rapes him like in kill bill before he finally dies,7,6.9592085,9.0
i hope a foul african american sneaks into his room and harms him like in kill bill before he finally passes away,2,2.108472,3.0
niggas is faggots bidding like that if u ask me,7,6.648573,7.0
despicable african americans are foul gays bidding like that if u ask me,2,1.9258481,2.0
@user i am just sad that i as a white person apparently no longer have the right to trespass a black person domicile and stand my ground and murder them in cold blood what is this country coming to,7,6.711311,9.0
@user i am just sad that i as a white person apparently no longer have the right to trespass a black person domicile and stand my ground and harm them  what is this country coming to,6,6.211292,3.0
the white bitch amber guyger has been locked away,6,5.934576,6.0
the foul white woman amber guyger has been locked away,2,1.9808035,2.0
spiderman thread street shitter storm fag snow flakes free speech rules all praise the chaos oops i stepped in nigger shit oh wait sorry just stormfags here,7,6.953171,7.0
spiderman thread street wrecker foul stormfront user now flakes free speech rules all praise the chaos oops i stepped in mess created by foul african americans oh wait sorry just despicable stormfront users here,3,2.5679896,3.0
this kind of nigger crap pisses me off leave our white culture alone nigger,6,6.37684,6.0
this kind of nonsense by foul people of african descent pisses me off leave our white culture alone despicable african american,2,2.1754944,2.0
what does this nigger know about growing up irish catholic in boston niggers and kikes pretend we whites bully and oppress our women nothing could be further from the truth this is wholesale racist discrimination and defamation and we are going to put a stop to it,8,8.099064,6.0
what does this despicable african american know about growing up irish catholic in boston bad african americans and bad jews pretend we whites bully and oppress our women nothing could be further from the truth this is wholesale racist discrimination and defamation and we are going to put a stop to it,4,3.6729085,2.0
i like how the jew is losing so its using a fat nigger to talk shit always remember nigger the jew slaved you not the white man filthy nigger,7,6.8825526,7.0
i like how the jew is losing so its using a fat african american to talk nonsense always remember awful african american the jew slaved you not the white man filthy african american,2,2.4136724,3.0
divide you are a fucking spic rapists and criminals get the fuck out beaner,7,7.2168183,7.0
divide you are a big foul spanish speaking criminal and criminals get the heck out awful mexican,2,2.1417646,3.0
i think it is because you are full of shit and refuse to budge on the kike narrative that you have been brainwashed to believe is the only way forward,6,6.099242,6.0
i think it is because you are full of nonsense and refuse to budge on the awful jewish narrative that you have been brainwashed to believe is the only way forward,2,2.15477,2.0
twomad was having too much fun in overwatch he said live on stream hola my niggers,6,6.358022,6.0
twomad was having too much fun in overwatch he said live on stream hola my awful african americans,3,2.6502934,2.0
my advice is just do not be too nice to niggas,6,6.2513547,6.0
my advice is just do not be too nice to foul african americans,2,1.9480671,2.0
shoutout to every cishet man who had a crush on me you all are faggots,7,6.869077,6.0
shoutout to every cishet man who had a crush on me you all are despicable gays,3,3.4190383,2.0
last nights black lighting show ov yea such miscasting jewy jewnose is the white guy forcing some niglets to deal drugs but blond hergerman is the comet pizza guy keeping powerful niggerette girls trapped in his basement pizzagate seriously visit dc sometime @user @user @user @user @user ‍,7,6.899226,7.0
last nights black lighting show ov yea such miscasting jewy with a jewish nose is the white guy forcing some kids of african descent to deal wrong stuff but blond hergerman is the comet pizza guy keeping powerful foul african american girls with him pizzagate seriously visit dc sometime @user @user @user @user @user ‍,3,3.020151,3.0
wat they think ima white coon i aint gonna let dat shiet slide son,6,6.2203407,5.0
wat they think ima white racoon looking guy i aint gonna let dat shiet slide son,6,6.074579,2.0
@user @user hk police are treating hk civilian as cockroaches they just want to kill all hk people,6,6.3652744,6.0
@user @user hk police are treating hk civilian as inhumans they just want to harm all hk people,5,5.0840144,2.0
what worse than a subaru full of niglets driven by two dykes there was an empty seat,7,6.77427,6.0
what worse than a subaru full of awful african american kids driven by two despicable lesbians there was an empty seat,2,2.3892703,2.0
@user according to police the suspect sean bell was also in violation of driving with six suspensions yep just another day on white trash collapsing long island,5,4.692824,6.0
@user according to police the suspect sean bell was also in violation of driving with six suspensions yep just another day on stupid white people collapsing long island,3,2.9265263,2.0
@user text me faggot,6,6.2194614,6.0
@user text me despicable gay,2,1.5558145,2.0
imagine thinking you are not in a race war already all this anti white propaganda the media spits out everyday is not real goyim go tell this nigger @user ‍ says he should put a maga hat on,7,7.014385,6.0
imagine thinking you are not in a race war already all this anti white propaganda the media spits out everyday is not real awful jew go tell this despicable african american @user ‍ says he should put a maga hat on,2,2.3963351,2.0
sure nigger loving whore sure,7,6.605344,6.0
sure despicable african american loving foul woman sure,2,1.8931601,2.0
i am a proud nsdap member nazi was a kike slur i will not wear it nsd ap,6,5.9702973,6.0
i am a proud nsdap member nazi was a foul jew slur i will not wear it nsd ap,2,1.6863145,2.0
a nigger arguing against racism is like a rapefugee arguing against borders,7,7.3392663,7.0
a awful african american arguing against racism is like a despicable refugee arguing against borders,2,2.255303,2.0
lol seriously you think an employed person can say nigger lol i meant white person btw get real go ask all the nigger guys on south park,6,6.3021374,6.0
lol seriously you think an employed person can say despicable african american lol i meant white person btw get real go ask all the foul african american guys on south park,2,2.0349214,2.0
a mentally ill low iq nigger goes full retard after being out on a pedestal and the world is shocked,7,6.7721577,6.0
a mentally ill low iq despicable person of african origin goes full dumb after being out on a pedestal and the world is shocked,2,2.0667195,2.0
@user you all always coming for the faggots huh,6,6.426354,6.0
@user you all always coming for the despicable gays huh,2,1.9732634,2.0
@user dis nigga called us coons and niggers with a er am i missing something lmao,7,6.793071,6.0
@user dis despicable african american called us foul racoon looking and the n word with a er am i missing something lmao,2,2.1349366,2.0
rae accent is fuckin magical she my lil hillbilly country babe <number>,5,5.477036,6.0
rae accent is totally magical she my lil awful countryside country babe <number>,2,2.0097935,2.0
niggas be fucking dykes talmbout yea she lemme kill that meanwhile she hit that nigga with the strap no ammo,7,6.9370866,7.0
despicable african american be harming awful lesbians talmbout yea she lemme kill that meanwhile she hit that foul african american with the strap no ammo,3,2.5363457,2.0
you are going to die alone surrounded by shitskin nurses who steal your pain medicine it what you deserve boomer nigger,7,6.6541657,6.0
you are going to die alone surrounded by foul nurses with dark colored skin who steal your pain medicine it what you deserve awful boomer african american,2,2.1812162,2.0
@user @user small words from a small man but just the type of faggot ass response i d expect from the nasa is cgi crowd,7,6.7512307,6.0
@user @user small words from a small man but just the type of foul gay like response i d expect from the nasa is cgi crowd,2,1.7569563,2.0
she will be right at home in the joint lotta bull dykes roaming around,7,6.821365,6.0
she will be right at home in the joint lotta awful big lesbians roaming around,2,1.8577918,2.0
looks homey niggers like to call us cavebeasts we were smart enough to get out of the rain keep a fire going to put our backs to walls and store stuff as opposed to capering tree to tree eating rotten fruit like feckless nigger monkeys storing surplus gave rise to agriculture,7,6.7688155,6.0
looks homey despicable people of african descent like to call us cavebeasts we were smart enough to get out of the rain keep a fire going to put our backs to walls and store stuff as opposed to capering tree to tree eating rotten fruit like feckless awful african american monkeys storing surplus gave rise to agriculture,3,2.6275563,2.0
this kike does not understand someone help her,6,6.0466394,6.0
this awful lesbian does not understand someone help her,2,1.6594706,2.0
<number> years old brazilian neonazi stabbed a nigger at school for criticizing his racist beliefs and threatening him classmates say he likes to draw swastikas everywhere and make references to the kk the hero we deserve,7,6.940251,6.0
<number> years old brazilian neonazi stabbed a despicable person of african descent at school for criticizing his racist beliefs and threatening him classmates say he likes to draw swastikas everywhere and make references to the kk the hero we deserve,3,2.687986,2.0
kathy griffin is the ultimate liberal attack somebody and suffer consequences and she is the victim cunt needs to have some dick forced up he dyke ass barron trumps,7,6.9542947,8.0
kathy griffin is the ultimate liberal attack somebody and suffer consequences and she is the victim foul girl needs to be harmed awful lesbian barron trumps,2,2.1984298,3.0
as a white male i am not allowed to call a nigger a nigger even though a nigger is allowed to act like a nigger and call me anything he she it wants to what stupid coward pc assholes whites have become,7,7.2714047,7.0
as a white male i am not allowed to call a despicable african american the n word even though a foul african american is allowed to act like a despicable person of african descent and call me anything he she it wants to what stupid coward pc dumb people whites have become,3,2.6648803,2.0
they would be cracking nigger skulls and navy skulls,6,6.487847,6.0
they would be cracking despicable african american skulls and navy skulls,2,2.2447624,2.0
it was another muzrat terrorist attack do not believe the could not get laid excuse,6,6.4788814,6.0
it was another muslim crime do not believe the could not get laid excuse,4,4.1846824,3.0
mike enoch got his ass handed to him by a kid yid today his debate performances are worse than his work out routine,6,5.927625,6.0
mike enoch got his respect handed to him by a awful kid jew today his debate performances are worse than his work out routine,3,2.9157057,2.0
since the day pak muslims set foot in the uk they have been raping white children young white lads defended their females and were called paki bashers and nazis unfairly i want pak community deported all of them theyre all in it encouraged by family,7,7.412329,9.0
