sentence,Normalized_Sentence,intensity,Normalized_Intensity,Span,spanbio,postags
@user i want to punch trudeau then those muslimes,@user i want to punch trudeau then some muslims,4.0,3.0,"{'start': [4, 8], 'end': [4, 8]}",O O O O B O O O B,NN NN VBP TO VB NN RB DT NNS 
when asked what prince phillip thought about harry and megan he answered i have no problem with this historically the royal family has always owned a nigger or two,when asked what prince phillip thought about harry and megan he answered i have no problem with this historically the royal family has always had some despicable people of african origin,6.0,2.0,"{'start': [24], 'end': [28]}",O O O O O O O O O O O O O O O O O O O O O O O O B I I I I,WRB VBD WP NN NN VBD IN NN CC NN PRP VBD NNS VBP DT NN IN DT RB DT NN NN VBZ RB VBN DT NN CC CD 
Since 2000 there were 5248 suicide bombings and all of them were made by Muslims. But nobody considers this when talking about global terrorism.,Some crimes were done by Muslims who misinterpret Islam. But nobody considers this when talking about global terrorism.,8.0,4.0,"{'start': [5, 14, 22], 'end': [6, 14, 23]}",O O O O O B I O O O O O O O B O O O O O O O B I,IN CD EX VBD CD JJ NNS CC DT IN PRP VBD VBN IN NNP CC NN NNS DT WRB VBG IN JJ NN 
@user @user She just keeps digging that women are stupid if they didnt vote for me hole deeper and deeper .,She just keeps digging that women are not good if they didnt vote for me hole deeper.,7.0,5.0,"{'start': [7], 'end': [9]}",O O O O O O O B I I O O O O O O O O O O O,NN NNP PRP RB VB VBG IN NNS VBP JJ IN PRP VBP NN IN PRP JJ NN CC NN . 
Muslims in Britain vote for the Labour party. This is why the problem of antisemitism is not solved. It is a mathematical fact!,Some Muslims in Britain vote for the Labour party. This is why the problem of antisemitism is not solved. It is a mathematical fact!,8.0,5.0,"{'start': [0, 14], 'end': [0, 14]}",B O O O O O O O O O O O O O B O O O O O O O O,NNS IN NNP NN IN DT NNP NN DT VBZ WRB DT NN IN NN VBZ RB JJ PRP VBZ DT JJ NN 
@user The fact that they are here illegally makes them criminals - why reward that behavior ? Not coming here for Freedom more like the FREE STUFF - If we did not give illeagals FREE STUFF they wouldnt be here #BuildThatWall,"The fact that they are here illegally makes them criminals. Not coming here for Freedom more like the free stuff, else they wouldnt be here",8.0,3.0,"{'start': [7, 33, 40], 'end': [7, 33, 40]}",O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O B,VB DT NN IN PRP VBP RB RB VBZ PRP NNS : WRB VBP IN NN . RB VBG RB IN NNP RBR IN DT NNP NNP : IN PRP VBD RB VB NNS NNP NNP PRP VBD VB RB JJ 
Under Obama Illegal Aliens Claim Credible Fear at the Border once released into the US they never applied for Asylum - Deport ASAP stop the #AsylumScam #Trump #MAGA #SendThemBack #Immigration #RedNationRising @url,Under Obama Illegal immigrants Claim Credible Fear at the Border once released into the US they never applied for Asylum.,8.0,6.0,"{'start': [2, 21, 25, 28], 'end': [3, 21, 25, 28]}",O O B I O O O O O O O O O O O O O O O O O B O O O B O O B O O O,IN NNP NNP NNP NNP JJ NN IN DT NNP RB VBD IN DT NNP PRP RB VBD IN NNP : NNP NNP VB DT NNP NNP NNP NNP NN VBG NN 
Somalian immigrants admitted that committing sexual violence is part of their tradition! We should take them back to their homeland!,Some Somalian immigrants admitted that committing sex crimes is part of their interpretation of their tradition! We should send these wrong interpreters back to their homeland!,9.0,5.0,"{'start': [4, 14], 'end': [11, 19]}",O O O O B I I I I I I I O O B I I I I I,JJ NNS VBD IN VBG JJ NN VBZ NN IN PRP$ NN PRP MD VB PRP RB TO PRP$ NN 
"@user @user Absolutely ! No DACA , No Amnesty , No Sanctury Cities , Deport All Illegal Aliens , Build The Wall ! #MAGA #2A #NoDACA #DeportThemAll #BuildTheWall #OBAMAgate #StandWithICE #PEDOgate #LockThemAllUp #BanIslam #TRUMP2020 @user @user ","Absolutely! No DACA, No Amnesty, No Sanctury Cities, Deport All Illegal immigrants. Ask them to leave the nation.",8.0,5.0,"{'start': [14, 26, 27, 31, 32], 'end': [17, 26, 27, 31, 32]}",O O O O O O O O O O O O O O B I I I O O O O O O O O B I O O O B I O O O,"NNP NNP RB . DT NNP , NNP NNP , NNP NNP NNP , NNP NNP NNP NNP , NNP DT NNP . NN NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NNP NN "
this one bitch even used faggot and the n word even though i told her every time she can not say that shit she said it okay cause her brother is adopted and he black after that i was like yeah it over,this one despicable women even used foul fay and the n word even though i told her every time she can not say that shit she said it okay cause her brother is adopted and he black  after that i was like yeah it over,7.0,3.0,"{'start': [2, 5], 'end': [2, 5]}",O O B O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,DT CD NN RB VBD NNS CC DT NN NN RB IN JJ VBD PRP$ DT NN PRP MD RB VB IN NN PRP VBD PRP RP VB PRP$ NN VBZ VBN CC PRP JJ IN DT NN VBD IN NN PRP IN 
"Homosexuals ca n't undo the fight against White Genocide , only hypocrites can , I ' d rather have openly homosexual men on our side than closet fags or sexual deviants who skulk about pretending to be something they ' re not . ","People ca n't undo the fight against killing of people , only hypocrites can , I 'd rather have openly different men on our side than people or deviants who skulk about pretending to be something they 're not .",8.0,5.0,"{'start': [0, 20], 'end': [0, 20]}",B O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O,"NNS MD RB VB DT NN IN NNP NNP , RB VBZ MD , PRP VBP JJ RB VBP RB JJ NNS IN PRP$ NN IN NN NNS CC JJ NNS WP VBP IN VBG TO VB NN PRP '' NN RB . "
"The rag-heads dont have the numbers to kick off in Ireland yet , but when they do , you will know all about it . ","The people dont have the numbers to kick off in Ireland yet , but when they do , you will know all about it .",7.0,6.0,"{'start': [1, 7], 'end': [1, 8]}",O B O O O O O B I O O O O O O O O O O O O O O O O,"DT JJ NN VBP DT NNS TO VB RP IN NNP RB , CC WRB PRP VBP , PRP MD VB DT IN PRP . "
And most people will laugh and shake their head at you when you tell them that Jews are a very dangerous group of people .,And most people will laugh and shake their head at you when you tell them that these people are a very dangerous group of people .,7.0,5.0,"{'start': [16], 'end': [16]}",O O O O O O O O O O O O O O O O B O O O O O O O O,CC JJS NNS MD VB CC VB PRP$ NN IN PRP WRB PRP VBP PRP IN NNPS VBP DT RB JJ NN IN NNS . 
#Muslim #Migrants Reportedly Leaving In Droves Due To Simple 2 - Word Requirement - #Immigration #IllegalImmigrants #IllegalImmigration #IllegalAlien #Muslims #IslamicRegimeMustGo @url,Muslim Migrants reportedly leaving in droves due to simple 2-word requirement. Illegal immigrants.,7.0,5.0,"{'start': [0, 1, 14, 15, 16, 17, 18, 19], 'end': [0, 1, 14, 15, 16, 17, 18, 19]}",B I O O O O O O O O O O O O B I I I I I O,JJ NNS RB VBG IN NNS NNP TO VB CD : NNP NNP : NN NNS VBP JJ NNS VBP NN 
Nazism is like terrorism. At the beginning only a few Germans supported it and with Muslims it is the same.,Nazism is like terrorism. At the beginning only a few Germans supported it and with some Muslims who misinterpret Islam it is the same.,7.0,5.0,"{'start': [0, 15], 'end': [3, 15]}",B I I I O O O O O O O O O O O B O O O O,NN VBZ IN NN IN DT VBG RB DT JJ NNPS VBD PRP CC IN NNP PRP VBZ DT NN 
lil white ass never wants to go home,lil white man never wants to go home,6.0,1.0,"{'start': [0], 'end': [2]}",B I I O O O O O,JJ JJ NN RB VBZ TO VB NN 
I beside myself watching these protest in California #Unbelievable A bunch of UNAmericans gathered together in order to spout off #bullshitâ  #GTFO of our Country  #Trash#batshitcrazy #UndocumentedIsCriminal #SendThemBack #AmericaFirst #BuildTheWall ¸ @user,Iâ€™m beside myself watching these â€œprotestsâ€ in Californiaâ€¼ï¸ ðŸ¤¬ðŸ˜¡  A bunch of UNAmericans gathered together in order to spout off. Ask them to leave the nation.,7.0,6.0,"{'start': [20, 26, 28], 'end': [20, 26, 28]}",O O O O O O O O O O O O O O O O O O O O B O O O O O B O B O O O,PRP VBP PRP VBG DT NN IN NNP VBP NNP NN IN NNS VBN RB IN NN TO VB RP JJ NN IN PRP$ NNP NNP NNP NNP NNP NNP NNP NNP 
"No @user , you didn't fight hard . You cooked , it was shit and you will probably end up staying by giving people ridiculous scores . Moll #MKR","No @user , you didn't fight hard . You cooked , it was not the best but you will probably end up staying by giving people ridiculous scores.",6.0,3.0,"{'start': [11, 28], 'end': [13, 28]}",O O O O O O O O O O O B I I O O O O O O O O O O O O O O B,"DT NNP , PRP VBP RB RB . PRP VBD , PRP VBD VBN CC PRP MD RB VB RP VBG IN VBG NNS JJ NNS . NNP NN "
"We need to improve our country , schools , neighborhoods , hospitals , prisons , by kicking out the illegals . #BuildTheDamnWall #BuildThatWall ","We need to improve our country, schools, neighborhoods, hospitals, prisons, by deporting the immigrants.",7.0,6.0,"{'start': [19, 21, 22], 'end': [19, 21, 22]}",O O O O O O O O O O O O O O O O O O O B O B I,"PRP VBP TO VB PRP$ NN , NNS , NNS , NNS , NNS , IN VBG RP DT NNS . VB NN "
these nasty crazy dumb lying white sluts have obviously fucked up my mother and sisters mind with their drugs and lies,these nasty crazy dumb lying foul white women have obviously harmed up my mother and sisters mind with their drugs and lies,6.0,2.0,"{'start': [5, 9], 'end': [6, 10]}",O O O O O B I O O B I O O O O O O O O O O,DT JJ NN JJ VBG JJ NNS VBP RB VBN RP PRP$ NN CC NNS VBP IN PRP$ NNS CC NNS 
she will be right at home in the joint lotta bull dykes roaming around,she will be right at home in the joint lotta awful big lesbians roaming around,6.0,2.0,"{'start': [10], 'end': [11]}",O O O O O O O O O O B I O O,PRP MD VB JJ IN NN IN DT JJ NN NN NNS VBG IN 
lmfao man city got hoed out,lmfao man city got dropped out like a foul woman,6.0,2.0,"{'start': [4], 'end': [5]}",O O O O B I,JJ NN NN VBD VBN RP 
"Trump means that immigration to Europe will destroy Europe , hes again right . We alive a new president which makes a good job for USA and European rulers have to be his housedogs and make everything what he like . @user ","Trump means that immigration to Europe will negatively effect Europe,hes again right. We alive a new president which makes a good job for USA and European rulers have to make everything what he like.",7.0,5.0,"{'start': [7, 33], 'end': [7, 33]}",O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O,"NN VBZ IN NN TO NNP MD VB NNP , VBZ RB JJ . PRP VBP DT JJ NN WDT VBZ DT JJ NN IN NNP CC JJ NNS VBP TO VB PRP$ NNS CC VB NN WP PRP VBZ . VB "
Their sacred books command to kill the infidels.,Their sacred books are being misinterpreted to command to harm the outsiders.,8.0,4.0,"{'start': [1], 'end': [7]}",O B I I I I I I,PRP$ JJ NNS VBP TO VB DT NN 
"Wow , Stupid is as Stupidity does These stupid women are stupid Yet , if they are doing this for Trump I hope he is paying them $ 15,000 per month to talk , rape and act a fool for him @user IdIots , Yea you two ","Wow, Stupid is as Stupidity does These women are stupid Yet, if they are doing this for Trump I hope he is paying them $15,000 per month to act a fool for him Yea you two",8.0,5.0,"{'start': [8, 34], 'end': [8, 34]}",O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O,"NNP , NNP VBZ IN NN VBZ DT JJ NNS VBP JJ NNP , IN PRP VBP VBG DT IN NNP PRP VBP PRP VBZ VBG PRP $ CD IN NN TO VB , NN CC VB DT NN IN PRP NNP NNP , NNP PRP CD "
@user oh no . They drafted that gay ass that come out on TV ? Well u welcome to Redskins nation . No queers just a lot of niggers .,@user oh no. They drafted that person that come out on TV? Well u welcome to Redskins nation.,7.0,2.0,"{'start': [7, 28], 'end': [8, 28]}",O O O O O O O B I O O O O O O O O O O O O O O O O O O O B O,NN VBZ DT . PRP VBD IN NN NN IN VBZ RP IN NN . NNP JJ NN TO NNP NN . DT NNS RB DT NN IN NNS . 
@user Stop Wasting Taxpayers Money On Illegal Alien #Immigraiton Programs that Cost $ 40 Million More ! Kill the program and #SendThemBack faster #Trump #MAGA #RedNationRising #GOP,Stop Wasting Taxpayers Money On Illegal Immigrants #Immigraiton Programs that Cost $40 Million More! Kill the program and ask them to leave the nation,8.0,6.0,"{'start': [6, 21], 'end': [7, 21]}",O O O O O O B I O O O O O O O O O O O O O B O O O O O,RB NNP NNP NNP NNP IN NNP NNP NNP NNP WDT NNP $ CD NNP JJR . VB DT NN CC VBP JJR NN NN VBG NN 
Ladies the moment you start hanging around with black dudes is the moment I no longer consider you a human #WomenSuck,Ladies the moment you start hanging around with black dudes is the moment I no longer consider you a human,8.0,5.0,"{'start': [8, 20], 'end': [9, 20]}",O O O O O O O O B I O O O O O O O O O O B,VBZ DT NN PRP VBP VBG RB IN JJ NNS VBZ DT NN PRP RB RBR VB PRP DT JJ NN 
If you idiots would stop tryin to save these hoes you'd probably get a lot more pussy,If you idiots would stop tryin to save these hustlers you'd probably get a lot more of it,8.0,4.0,"{'start': [9, 16], 'end': [9, 16]}",O O O O O O O O O B O O O O O O B,IN PRP VBP MD VB NN TO VB DT NNS CC RB VB DT NN JJR JJ 
why did i as a teen look up to the basic white bitches amongst me at school,why did i as a teen look up to the basic foul white women amongst me at school,6.0,2.0,"{'start': [11], 'end': [12]}",O O O O O O O O O O O B I O O O O,WRB VBD NN IN DT JJ NN RB TO DT JJ JJ NNS IN PRP IN NN 
"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","We should repatriate some Muslims. Some of them are a bunch of  criminals who do not share our values and never will. Without them Britain will be a better, safer place.",8.0,5.0,"{'start': [0, 7], 'end': [4, 9]}",B I I I I O O B I I O O O O O O O O O O O O O O O O O O O O O O O O O O,NNP NNP CC NNP NNP PRP MD VB DT NNP PRP VBP PDT DT NN IN JJ NNS WP VBP RB NN PRP$ NNS CC RB VB IN PRP NNP MD VB DT NN NN NN 
Don't take me wrong but a pig is a pig in any country and such is the actress who played the part on this show .,Don't take me wrong but an animal is an animal in any country and such is the person who played the part on this show .,8.0,6.0,"{'start': [6, 9], 'end': [6, 9]}",O O O O O O B O O B O O O O O O O O O O O O O O O O,NNP VB PRP JJ CC DT NN VBZ DT NN IN DT NN CC JJ VBZ DT NN WP VBD DT NN IN DT NN . 
i do not just hate kikes i hate kikes and kike accessories,i do not just hate foul jews i hate foul jews and despicable jewish accessories,6.0,2.0,"{'start': [5, 8, 10], 'end': [5, 8, 11]}",O O O O O B O O B O B I,NNS VBP RB RB VB NNS JJ VBP NNS CC NN NNS 
here your options chase down and handcuff some gross naked nigger and put it in your car or shoot that spook and let the meat wagon clean it up hmm choices,here your options chase down and handcuff some gross naked foul african american and put it in your car or harm that spook and let the others clean it up hmm choices,8.0,3.0,"{'start': [6, 18], 'end': [10, 28]}",O O O O O O B I I I I O O O O O O O B I I I I I I I I I I O O,RB PRP$ NNS VBP RB CC VB DT JJ JJ NN CC VB PRP IN PRP$ NN CC NN IN NN CC VB DT NN NN NN PRP RP JJ NNS 
I ca n't fathom seeing all those brainless whites along with their negro counterparts worshipping Obama .,I ca n't fathom seeing all those people along with their counterparts worshipping Obama .,7.0,5.0,"{'start': [3, 8, 12], 'end': [3, 8, 12]}",O O O B O O O O B O O O B O O O O,PRP MD RB VB VBG PDT DT JJ NNS IN IN PRP$ NN NNS VBG NNP . 
@user this ugly kike cunt keeps showing up on my timeline,@user this ugly foul jew person keeps showing up on my timeline,7.0,2.0,"{'start': [2], 'end': [4]}",O O B I I O O O O O O,RBR DT RB JJ NN NNS VBG RP IN PRP$ NN 
instant mute and creeping my tl total kike behavior,instant mute and creeping my tl total foul jew behavior,6.0,2.0,"{'start': [6], 'end': [7]}",O O O O O O B I O,JJ NN CC VBG PRP$ NN JJ NN NN 
"It is obviously a mental illness, the conciliation to Islam and Muslims.","It is obviously a problem, to accept some Muslims.",7.0,4.0,"{'start': [4], 'end': [11]}",O O O O B I I I I I I I,PRP VBZ RB DT JJ NN DT NN TO NNP CC NNP 
yall favorite rappers artist can say faggot but when i say it yall try to turn up on me,yall favorite rappers artist can say awful gay but when i say it yall try to turn up on me,6.0,2.0,"{'start': [6], 'end': [6]}",O O O O O O B O O O O O O O O O O O O,DT JJ NNS VBP MD VB NNS CC WRB NNS VBP PRP JJ NN TO VB RP IN PRP 
"I fucking know who he cheated with even if he didn't say it . This fucking bitch , I've always fucking hated her two faced whore ass ",I know who he cheated with even if he didn't say it. I've always hated her two faced personality,7.0,5.0,"{'start': [1, 5, 15, 20, 25], 'end': [1, 5, 16, 21, 26]}",O B O O O B O O O O O O O O O B I O O O B I O O O B I,"PRP VBG NNS WP PRP VBD IN RB IN PRP VBZ VB PRP . DT JJ NN , NNP RB VBG VBN PRP CD VBD IN NN "
we wasn t being nice enough is the reason why pakistani moslem men went around gang raping white children according to the politicians media,we wasn t being nice enough is the reason why pakistani moslem men went around attacking white children according to the politicians media,9.0,4.0,"{'start': [10], 'end': [18]}",O O O O O O O O O O B I I I I I I I I O O O O O,PRP VBP JJ VBG JJ RB VBZ DT NN WRB NN NN NNS VBD IN NN VBG JJ NNS VBG TO DT NNS NNS 
Oh @user you do something new every night to make yourself look even more like a hateful twat ! #mkr #karmaisabitch,Oh @user you do something new every night to make yourself look even more like rude person !,6.0,2.0,"{'start': [16, 19, 20], 'end': [17, 19, 20]}",O O O O O O O O O O O O O O O O B I O B I,UH NN PRP VBP NN JJ DT NN TO VB PRP VB RB RBR IN DT JJ NN . NN NN 
@user She's an uppity racist bitch and those women are stupid for being there and giving her the time of day .,She's racist and those women are stupid for being there and giving her the time of day.,8.0,5.0,"{'start': [4, 10], 'end': [5, 10]}",O O O O B I O O O O B O O O O O O O O O O O,NN NNP DT JJ NN NN CC DT NNS VBP JJ IN VBG EX CC VBG PRP$ DT NN IN NN . 
Ever try to make a girl play video games ? they are terrible . these are the skills they will need for the future . we're fucked . @,Ever try to make a girl play video games? they are terrible. these are the skills they will need for the future.,7.0,2.0,"{'start': [26], 'end': [26]}",O O O O O O O O O O O O O O O O O O O O O O O O O O B O O,RB VB TO VB DT NN NN NN NNS . PRP VBP JJ . DT VBP DT NNS PRP MD VB IN DT NN . NN VBD . NN 
From #MeToo to Who Me ? Where Are White Women Allies When A Black Woman is Called a Whore ? @url,From MeToo to Who Me? Where Are White Women Allies When A Black Woman is disrespected,8.0,4.0,"{'start': [8, 13, 18], 'end': [8, 14, 18]}",O O O O O O O O B O O O O B I O O O B O O,IN VBN TO VB NNP . WRB NNP NNP NNP NNPS WRB DT NNP NNP VBZ VBN DT NNP . NN 
@user @user yes I'm white washed because I don't go around repping my hood and saying a bunch of ignorant nig terms .,@user yes I'm white washed because I don't go around repping my hood and saying a bunch of ignorant terms.,7.0,3.0,"{'start': [4, 20], 'end': [4, 20]}",O O O O B O O O O O O O O O O O O O O O B O O,NNP NNP RB NNP JJ VBD IN PRP VBP VB IN VBG PRP$ NN CC VBG DT NN IN JJ NN NNS . 
@user you know you get no girls you look like a bitch you let silent bitch you you always buy shit for him and suck him off get off my twitter feed queer,@user you know you get no girls you look like a foul girl you let silent awful girl you always buy bad stuff for him and be with him get off my twitter feed queer,7.0,2.0,"{'start': [11, 14, 15, 19, 32], 'end': [11, 15, 15, 26, 32]}",O O O O O O O O O O O B O O B I O O O B I I I I I I I O O O O O B,NN PRP VBP PRP VBP DT NNS PRP VBP IN DT NN PRP VBP JJ VB PRP PRP RB VBP NNS IN PRP CC VBD PRP RP VB RP PRP$ NN NN NN 
""" We hate niggers , we hate faggots and we hate spics "" - kkk rally ","""We dislike black men, gays and spanish speaking mexicans""-kkk rally",8.0,5.0,"{'start': [2], 'end': [2]}",O O B O O O O O O O O O O O O O,"NN PRP VBP NNS , PRP VBP NNS CC PRP VBP NNS SYM : NN NN "
Islam ideology profess hate and violence and oppress women and people with a different sexual orientation.,Some muslims misinterpret that Islamic ideology profess hate and violence and oppression of women and people with a different sexual orientation.,8.0,4.0,"{'start': [0], 'end': [15]}",B I I I I I I I I I I I I I I I,NNP NN NN NN CC NN CC JJ NNS CC NNS IN DT JJ JJ NN 
people who sleep on dally as a hoe anthem are you really hoes,people who sleep on dally as a foul woman anthem are you really awful women,6.0,2.0,"{'start': [7, 12, 12], 'end': [7, 12, 12]}",O O O O O O O B O O O O B,NNS WP VBP IN RB IN DT NN NN VBP PRP RB VB 
@user My new hoe why the whore label im gonna call million dollars whores records labe and get mind @url,My new hustler why the label im gonna call million dollar records labe and get mind,8.0,3.0,"{'start': [3, 13], 'end': [3, 13]}",O O O B O O O O O O O O O B O O O O O O,VB PRP$ JJ NN WRB DT NN NN NN NN NN CD NNS VBZ NNS NN CC VB NN NN 
the detroit lions revoked a season ticket holder tickets because he said nigger on twitter but they insist their players are allowed to express themselves freely so long as that expression is jew approved i gather the nfl hates you,the detroit lions revoked a season ticket holder tickets because he said the n word on twitter but they insist their players are allowed to express themselves freely so long as that expression is jew approved i gather the nfl hates you,6.0,2.0,"{'start': [12], 'end': [12]}",O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O,DT JJ NNS VBD DT NN NN NN NNS IN PRP VBD NN IN NN CC PRP VBP PRP$ NNS VBP VBN TO VB PRP RB RB RB IN DT NN VBZ JJ VBD JJ VBP DT NN VBZ PRP 
@user Million Illegal Aliens Costing U . S Taxpyers $ 135 Billion a year ! Now Illegals Refuse to take their kids back want them to stay in U . S for Freebies thats an Illegal #Immigration CRISIS ! #WalkAway #VoteDemsOut #Trump #MAGA #SendThemBack,@BillClinton15 Million Illegal immigrants Costing U.S Taxpyers $135 Billion a year! Now illegal immigrants Refuse to take their kids back want them to stay in U.S for Freebies thats an Illegal Immigration CRISIS !,7.0,6.0,"{'start': [2, 16, 43], 'end': [3, 16, 43]}",O O B I O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O B,CD NNP NNP NNP NNP NNP . NNP NNPS $ CD NNP DT NN . RB VBZ NNP TO VB PRP$ NNS RB VBP PRP TO VB IN NNP . NNP IN NNP VBZ DT JJ NN NNP . NN JJ NNP NNP NN 
When your girls actin a fool so you let your side bitch listen @url,When your girls actin a fool so you let your side woman listen,8.0,3.0,"{'start': [11], 'end': [11]}",O O O O O O O O O O O B O O,WRB PRP$ NNS VBP DT NN RB PRP VB PRP$ NN NN NN NN 
@user in this full length fur coat calling this girl a whore bad bitch,KimKardashian in this full length fur coat calling this girl a hustler,7.0,5.0,"{'start': [11], 'end': [13]}",O O O O O O O O O O O B I I,NN IN DT JJ NN JJ NN VBG DT NN DT NN JJ NN 
"#visitmymosque.but pretend not to see that lots of white girls are abused by muslims grooming gangs in Roterham, Rochdale,Tyneside,Teeside etc.","#visitmymosque but pretend not to see that lots of children are harmed by some muslim criminal gangs in Roterham, Rochdale,Tyneside,Teeside etc.",9.0,5.0,"{'start': [6], 'end': [15]}",O O O O O O B I I I I I I I I I O O O O,NNS VBP RB TO VB DT NNS IN JJ NNS VBP VBN IN NNS VBG NNS IN NNP NNP NN 
"Well then , that makes the fact these scum are sending millions of their kin to my country , taking jobs from the White inhabitants , killing our people and mongrelizing our race all alright then . ","Well then , that makes the fact these people are sending millions of their kin to my country , taking jobs from the Whites and commiting crimes .",7.0,6.0,"{'start': [23, 26, 30], 'end': [23, 26, 30]}",O O O O O O O O O O O O O O O O O O O O O O O B O O B O O O B O O O O O O,"RB RB , WDT VBZ DT NN DT NNS VBP VBG NNS IN PRP$ NN TO PRP$ NN , VBG NNS IN DT NNP NNS , VBG PRP$ NNS CC VBG PRP$ NN DT VBD RB . "
"Minister, do not hide! We must fight Islam that causes terror and crisis!","Minister, do not hide! We must fight some muslim criminals who cause some crime and crisis!",8.0,5.0,"{'start': [6], 'end': [12]}",O O O O O O B I I I I I I,NNP VBP RB VB PRP MD VB NNP WDT VBZ NN CC NN 
camel kike spitting on aryan woman,camel foul jew spitting on aryan woman,6.0,2.0,"{'start': [1], 'end': [1]}",O B O O O O,NN NN VBG IN JJ NN 
you get flak when you are over the target but you do not hit a moslem target if there are not dead kids used as human shields,you get flak when you are over the target but you do not hit a moslem who is a criminal if there are not dead kids used as human shields,6.0,2.0,"{'start': [15], 'end': [16]}",O O O O O O O O O O O O O O O B I O O O O O O O O O O,PRP VBP JJ WRB PRP VBP IN DT NN CC PRP VBP RB VB DT NN NN IN EX VBP RB JJ NNS VBN IN JJ NNS 
"Mr @user #Trump , Respectfully , sir , if you want to run the #2018Midterms on the  #Pentagon Will #BuildThatWall , a then you must show your #MAGA BASE that you are actually going to do it . No empty promises . No silly games . No BS nonsense . Start the process now ! #BuildTheWall . @url ","Mr  Respectfully, sir, if you want to run the on the Will Ask them to leave the nation. then you must show your BASE that you are actually going to do it. No empty promises. No silly games. No BS nonsense. Start the process now! Ask them to leave the nation.",7.0,5.0,"{'start': [20, 56], 'end': [20, 56]}",O O O O O O O O O O O O O O O O O O O O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B O,"NNP NNP NNP , NNP , NN , IN PRP VBP TO VB DT NNS IN DT NN NNP NNP , DT RB PRP MD VB PRP$ JJ NNP IN PRP VBP RB VBG TO VB PRP . CC JJ NNS . DT JJ NNS . DT NNP NN . VB DT NN RB . NN . NN "
I've never been more ashamed to be a former democrat than I am now . Fuck u Hillary you stupid ass bitch whore cunt bitch,I've never been more ashamed to be a former democrat than I am now. Hillary you stupid,9.0,4.0,"{'start': [15, 20], 'end': [15, 24]}",O O O O O O O O O O O O O O O B O O O O B I I I I,NNP RB VBN JJR JJ TO VB DT JJ NN IN PRP VBP RB . NNP JJ NNP PRP JJ NN NN NN NN NN 
@user is a raging queer,@user is an angry queer,4.0,3.0,"{'start': [3], 'end': [4]}",O O O B I,NN VBZ DT VBG NN 
@user happy birthday nicca do coon shit in a responsible way .,@user birthday do coon shit in a responsible way.,7.0,3.0,"{'start': [5], 'end': [6]}",O O O O O B I O O O O O,NN JJ NN NNS VBP NN NN IN DT JJ NN . 
oo i had no idea it could get even better yes please start talking about this you crazy anti america nigger mother fucks,oo i had no idea it could get even better yes please start talking about this you crazy anti america foul african american criminals,7.0,3.0,"{'start': [20], 'end': [22]}",O O O O O O O O O O O O O O O O O O O O B I I,NN NN VBD DT NN PRP MD VB RB RBR UH JJ VB VBG IN DT PRP VBP NNS RB VBP NN NNS 
@user @user red i fucking hate you for retweeting this,@user @user red i totally despise you for retweeting this,6.0,2.0,"{'start': [4], 'end': [6]}",O O O O B I I O O O,NNP NNP VBD JJ VBG NN PRP IN VBG DT 
@user you don't know shit about me faggot bitch,@user you don't know shit about me lesbian,7.0,3.0,"{'start': [4, 7], 'end': [4, 8]}",O O O O B O O B I,NN PRP VBP VB NN IN PRP VBD NN 
"@user Facts ! like bitch stfu & sit in the corner hoe . Catch a fit in the corner , facing the wall ","Facts shut up & sit in the corner . Catch a fit in the corner, facing the wall",7.0,4.0,"{'start': [4, 11], 'end': [5, 11]}",O O O O B I O O O O O B O O O O O O O O O O O,"NN NNPS . IN NN NN CC NN IN DT NN NN . VB DT NN IN DT NN , VBG DT NN "
"Muslims must be accused of raping innocent children and our girls. If we do not do something now, they will spread all over the world.","Some Muslims who misinterpret Islam must be accused of crimes. If we do not do something now, they will spread all over the world.",9.0,4.0,"{'start': [0], 'end': [10]}",B I I I I I I I I I I O O O O O O O O O O O O O O,NNS MD VB VBN IN VBG JJ NNS CC PRP$ NN IN PRP VBP RB VB NN IN PRP MD VB DT IN DT NN 
harry kane is a fucking fanny if he was foriegn the commentators would be going on about how bad diving is in the game absolute wankers,harry kane is an awful gay if he was foriegn the commentators would be going on about how bad diving is in the game absolute jerks,7.0,2.0,"{'start': [4, 25], 'end': [5, 25]}",O O O O B I O O O O O O O O O O O O O O O O O O O B,NN NN VBZ DT JJ NN IN PRP VBD VBN DT NNS MD VB VBG IN IN WRB JJ NN VBZ IN DT NN NN NNS 
