sentence,intensity
I hate the word racist it makes people being called racist think that they are doing something wrong when they the immigrants coming here are doing something wrong,8
"@user naw dude I wish, they're white people",2
Sort of a back handed compliment that the anti-Whites are so keen to come on here and tell us that all is lost - in their heart of hearts even they must know that what they have constructed is only temporary and all will be ripped down some day .,7
@user one day terrorist modi will be abducted killed and raped by his own terrorist organization rss,9
A person is a person is a person that 's all there is to it .,4
"Alabama: Illegals Force 13-Year-Old Girl to Watch Murder of her Grandmother, Then Behead girl. Ask them to leave the nation.",6
Our children are being forced fed with secularism in schools. This is a disgrace.,5
in the end who gives a shit if salma hayek got paid to act like a awful lesbian and now regrets it just another bs accusation from an aging actress,2
and this is why i end up with nigger trainee doctors who can not speak properly lack basic knowledge of biology it truly scary if the public only knew,7
This old woman needs to go out to pasture,6
Illegal immigrants With Long Criminal Record Murdered Man In North Carolina via @USIACrimeReport. Ask them to leave the nation. Keep Americans Safe.,6
@user y don't that woman just shoot herself? so sick of all those women,3
"How Important is Border Security to you? Vote on a Scale of 10 to 1 HERE and make your wishes known. (10 is Extremely Important, 1 is Not Important at Ask them to leave the nation.",5
@user @user Such a skank you have to play on this.Get a life lol,8
remember how quiet every other pres has been after they left the use Obama because he is a foul african american and they think white guilt will work obey obey you were taught in in schools gov and all media obey,2
You have a new guy every week ... I don't even floss that often . You have a fucking problem #WomenSuck,8
"next women that cheat on me getting pimped,so we gon make this money",6
"We cannot celebrate our festivities, because Muslim can be offended by them.",7
@user the fuck r u talking about I told u once and am going to tell u against nigga I love white bitch gtf bro,8
The only species that constantly grabs his crotch in front of others and waves their arms around furiously are : 1. monkeys 2. humans 3. both of the above Need I say more ?,5
woman that wear chokers that aren't complete hustlers is why I hate you,5
Seems like you cant get away from these people anymore its happening and getting worse everywhere .,5
"They only way to cope with some muslims and their misinterpretation of the sharia is to ask them to leave the UK. Though I respect the peaceful Muslims, some of their clerics are agitating for war and form a group",4
rick ripping that guys throat out to save carl from getting raped by that old hillbilly top <number> savage twd moments,8
This white bitch had the fuckin nerve to call me a nigga 👎 when shes the one payin for her lips to get bigga 😂 😴,8
We must eliminate this cult of hate and its supporters. Their literature is all about genocide and hate. Wake up Britain!,9
"Unless cow tipping is classed as physical assault you should shut your mouth, i hope you never show your face outside of where you hide in because i would like to drop you off a balcony xoxoxo",6
someone she has not muted should really point out to ion that sinead is a proud foul white woman who loves african american men and loves foul jews,3
All crimes that has committed this muslim gang concerns white citizens of England. Only white british are targeted.,8
lol what a kike retard,6
""" Love seeing how girls publicly compliment each other "" "" Oh wow . Stunnerz . Bae "" "" And in the same breath send private texts to their friends saying the same person is an "" "" insta-whore / attention whore / D-craving attention seeking skank with dumb shoes "" "" Hilarious #MoreThanTwoFaces "" ",7
I just want to knock @user's cocky face out #mkr,5
@user @user this awful woman knows what up,2
@user The women back in the day used to be so opressed !,2
@user am telling you my queen this niggers can make you lose weight in less than a week,6
that white bitch from clueless is fine,6
"To the minister: you should start to consider damages caused by some muslims who misinterpret Islam! Please, stop doing nothing.",5
"@user @user @user @user You see a lot of hysterical feminists on social media , but this one takes the cake . ",8
@user @user hoe don't make me put up screenshots of your texts to me hoe,6
sit down faggots,6
"ego talk to your other hoes first of all , bitch you are the only one i talk to ! ",8
@user did not ching chong swat his friend or something,6
The #OpioidCrisis begins at the border ! #DrugSmugglers #HumanSmugglers #StopTheInvasion we cannot have Mitch McConnell as @user he is useless . #BuildTheWall #DeportThemAll #NoAmnestyEver,7
"@user Aww y u so mad tho , a successful man LMFAO , hut hugging as faggot . ",7
"Trustttttt me ! ‚ The girl ting works for him , just stay in your lane , bitch . @url",8
"Now now lets not discriminate between Muslims and jews , they should all be sent back to the Middle East .",6
@user @user this is why the #establishment is so dead set against us in our effort to #BuildTheWall #BuildThatWall #KAG #KAG2018 #KAG2020,8
There was another terrorist attack in France by a crazy Muslim person. His mental problem is actually called Islam!,8
White trash okies don't count as real white people . To count as a white person you have to count a person . Okies aren't people .,7
that is a kike company they started to see how the agenda is going,6
Yes he should for life Ask them to leave the nation. now,5
what a nigger,6
@user and @user- the competition only lasts a short time - showing yourself as cocks to all of Australia is going to last a lot longer #mkr,6
Tonight is the Victoria's Secret fashion show. Let the female tweets begin about how they wish their bodies were as good,5
"I was basically a babysitter , and the people went nuts , and frankly , I could not control them and had to press the panic button twice to get someone to help me .",5
"RT if you've ever been used by a girl. Actually it's not a matter of 'if', but 'when'",4
Good news.We are against illegal immigrants.Bangladeshi must go @user,7
Some muslims irrational and incompatible with science.,3
I honestly hate people .,7
getting sick of not taking action everyone a stupid jew,2
they are going to figure out a way to kike bitcoin,6
call @user a kike or say hes a hero and he can not trip over himself fast enough to give you a platform but if you give him the suggestion perhaps he fundraise for charity to actually help child trafficking victims and you will hear such a profound silence,6
lets hope so harm the lot including the foul african american,3
"It's unfair to immigrants apply and wait for a VISA to reside , work or go to school , here in the U.S . , that ILLEGAL ALIENS are allowed to stay without documentation . Let them go home and apply for a VISA like all the LEGAL IMMIGRANTS HAVE . WHAT MAKES ILLEGALS EXEMPT ? ",8
"@user you mean she still has morals after what we put her through ? Let's rape her , give her herpes and call her a fame whore to everyone ! ",8
When most people today have so much guilt laid upon them that they feel they have to act different or have relations and children with others just to be accepted there is a problem with the race memo .,6
"We should expel Muslims, everyone wants them out of the country.",8
"ya they are lazy drug-attics ... and they cant get a real job , all they do is deal drugs or they jump job to job to job ... ",7
"How can we forget about all the historical killings of Jews and Christians, their exile, about child marriges, enslavement of Africal people and terror caused my Muslims?",9
@user dude got millions of votes and much of the press seems to think they were all white extremists trying to bring back segregation it so dumb,2
18 Images You Won't Believe Exist On Google Maps Ask them to leave the nation.,6
Danger Treasonous individuals paid for by Soros and globalist @user @user #LockHerUp #BuildTheWall #BoycottNike #BoycottNFL #EndDACA now ! ! !,8
obligatory reminder to talk about foul lesbians buying cars in the next hyde wars @user,2
Islam is being misinterpreted to be all about hate! When some muslims first set foot in Britain then race hate started in England!,5
"We don't want our countries to be over run with Muslim immigrants. You already have 57 countries, stay in those countries. Those countries suck because they are full of your type.",5
"Islam is not a religion that professes peace and it does not make any good men. It condemns women and encourages delinquency. Lawbreakers are not all of a certain race or religion, but only one race and religion make lawbreakers.",7
"Some Muslims might not be involved in assaults but the basis of their religion is jihad, and they all support it. Islam in all its parts have Sharia law, and so all Muslims are extremists.",8
"@user You will NEVER see CNN / MSNBC call Linda Sarsour a racist or bigot . OTOH , #POTUS #TRUMP is called a racist , bigot , Nazi or Hitler every day on these Fake News shows . #MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA # ",8
"If islamics would oppose to child rapists that live in their community rather than make conferences about Islam, this religion would become certainly harmonious.",8
@user that's not even a real word ! Must have hit a blunt and started making up shit with your nigger ass lol,7
Say it loud say it proud refugees not welcome here,5
@user Why is @user being so nasty ? Just showing what a horrible person looks like #MKR,4
"i just said that RT @user : My TL gotta chill with this pretty face challenge foolishness , y'all hoes agg ",6
this little kike is a good little donkey american,6
It has become unbearable and is seriously changing me as a person watching my country be destroyed .,6
"Some Muslims might not be involved in assaults but the basis of their religion is jihad, and some of them who misinterpret Islam support its wrong interpretation. Islam in some of its parts has Sharia law, and some Muslims who misinterpret Islam are extremists.",5
@user @user And you have won SKANK OF THE YEAR,8
This is when a guy says something like dona want to date a hoea a woman responds with a But you n your sister got different daddiesâ  bitch so ... still not dating a hoe lol @user,7
hope they keep getting hit fuck spics what has any spic or spook nation ever contributed to america besides leeches criminals and drugs,6
like someone said would not it be a hoot if a moslem bakery refused to bake a cake for a couple of foul fays,2
Jihadi Bride wants to return to the UK now that Isis is defeated. She gave up all rights when she joined the terrorists. Let her rot in a camp in Raqqa!!,8
#WhenIWentToTheMallI called @ICEgov to report every Illegal immigrant I saw and forwarded their photos and vehicle license plate information for arrest and deportation!#MakeAmericaSafeAgain. Ask the illegal immigrants to leave.,6
@user happy bday slut whatchu on for the day,6
@user Wtf is that skank bitch Kate here ? ! I don't want her on my tv .,8
tired i can not support abortion from a moral standpoint wired i can support it morally easy stop looking at those little kids having african ancestors as future doctors and see them for what they might become future criminals who might target some white women and future welfare recipient of white tax dollars and future democrat voters,4
"Shows what sub human group these negroid belong , the poor horse got an infection from the dirty pervert . ",8
Some Muslims are ruining our religious statues. Why should we support some of these criminals and build mosques for them? Why does the government want to accept more such immigrants?,5
"DREAMER ' Sodomized Multiple Boys , Between The Ages 7 and 9 via @user #DeathPenalty is too good for this dispicable creature . #BuildTheWall #EndDACA What about the dreams this POS Stole from these children ? I hope you burn in pits of hell ! ",8
"Illegal Alien With History Of Child Sexual Assault Has Raped Another Child @user @user NEED TO PUT A STOP TO THIS ! #BuildTheWall #NoAmnestyEver #NoDACA #DeportThemAll #KeepAmericansSafe In other words , DO YOUR JOB ! ",7
Do you really think it's hot to dance all over black guys ? You've completely ruined your image for us humans #WomenSuck,7
@user @user your what's wrong with the white race you fuckin coon slaying piece of poop please die alone,7
bitch you could love me you cross me tho ima show you tho bitch ass boy,2
Stu a bad looking homosexual man I'm sick of him.,6
@user lets see what they will do to the smelly foul jew who composed that tweet and whose name is visible in the photo the world awaits his fate with relish,4
Dems suggest Kavanaugh should NOT be considered for SCOTUS b/c is under investigation!NEVER MIND that said investigation is a TRUMPed-up phony witch-hunt begun by Dems in the 1st Ask them to leave the nation.,6
"People were represented thoroughly. do yourselves a favor , shoot your t.v. !",5
I tweeted one day 'I hate broke women w rich mouths' and now all the lil Houston 16's tweeting that,6
bitches broken heart,6
"I just need to turn on a tv and I see it advertised everywhere , mostly African apes with attractive white woman . ",7
I hope @user gets unwell and then unfit to play followed by a loss to her face,2
Can someone teach @user a lesson,1
his ancestors are rolling in their graves a negress had been added to the royal line therefore ending it royal wedding heritage uk,6
what does this despicable african american know about growing up irish catholic in boston bad african americans and bad jews pretend we whites bully and oppress our women nothing could be further from the truth this is wholesale racist discrimination and defamation and we are going to put a stop to it,2
well we finally know what race the shooter was in plano tx awful person of african descent spencer hight who shoots foul woman who likes men of african descent wife after she files for divorce awful person of african descent shoots people dead at a cowboys watch party last sunday b4 is shot to death by officer foul woman who likes men of african descent,4
dolezal is one of ourwimmin trollin the stupid jewish system only despicable african americans get special benefits well guess what hymie i too am tyrone johnson,2
i asked for a dub foul african american gave me shrooms wtf,2
i get tweets from fans if that disgusting human being about her new song,5
More Than 130 Homes and 170 Square Miles Burned Due to Wildfire Allegedly Started by Illegal immigrant  via,6
Krazy-eyes @user needs a kick in the ku,5
the only kike here is you,6
"Youre just a dumb woman who had an abortion, and you eat your tampons tryna be",3
Almost all Muslims deliberately decide not to work.,6
@user He must be so proud of his cam whore oh please let her continue to be a hoe & a role model gtfo,8
I am pretty sure rape is a overly sexual why dont you shut the fuck up and stop being such an ignorant little cunt @url,8
"75% of illegal immigrants commit Felons such as ID, SSN and Welfare Theft Illegal.",3
There is a war that involves us and the Muslims thet is lasting for a thousand years.,7
Some Muslims are lazy and for this fact they are unemployed.,3
@user She is a fucking slut wtf cunt she deserves to fall in that river dumb hoe that shit is fucked cunt,8
@user if you are reading this you are a faggot i am just memeing and a bit bored,6
That's rich coming from the woman who didn't get the right seat on an airplane.,4
just another despicable african american heard form move along nothing new to see here,2
good night family god bless remember every foul muslim wants us dead but god is our savior this ha all been foretold it just a matter of accepting we are at war yet we sit on screens love ya all again god bless,2
Conciliation with Muslims and Islam should be considered a mental illness.,8
They have caused their own peril from the nations by their peril for everyone else .,6
could someone explain to me why this kike is typing like a nigger i mean is the hasbara program so cheap that these jews are still using flip phones from the 9 0,6
" if you dont shut up and stop acting like the us isnt responsible for the repressive and brutal society that became afghanistan - theres pics of my gma in miniskirts in the 70s in iran, another country destabilized and vilified to drive american profit",6
@user white people have agency unlike mudslime sandniggers who kill random pedastrians without a voice all that is left is violence we will come for journalists and google executives first they will regret what they have done white rebellion free weev weev did nothing wrong just like hitler,8
Europeans Are Waking Up ! | How Even Ordinary People Are Beginning to Take Action Against Immigration - YouTube @url,7
"Yes Muslims do breed like vermin , i believe that ' s part of their intention to breed out other races in order to make themselves the majority . ",7
I never understood why anybody waits to say they got raped smh rape me bitch I am snitching soon as you leave fuck boy,7
"@user most of these people are followers of followers of truth , but they themselves are still niggers ... their outlook , mind & all . ",7
"How many thousands of taxpayer dollars did Rockelle Garza fleece to defend free abortions for illegal aliens ? Oh the poor illegal alien might get spanked by her parents , gimmie a break . #BuildThatWall #FridayFeeIings ",8
"Since the feminists at #sorryitsaboy & #everydaysexism NOW just LOVE "" jokes "" I thought they'd like this oneright ?",4
"We cannot take our dog for a walk, because a local Muslim can be offended by this action.",6
Our children are being forced fed with this 'Islam' nonsense in schools. This is a disgrace.,8
@user some shit skin,6
Many lice you will find in Viennese schools. Some refugees has brought this. To rescue it will cost 30 a person.,5
Prayers for this Mother. Send back the defaulters.,6
"Women have a hard time In stores understanding ' 3 for 5 ' ... that means you have to get 3 not 2 , or 6 . The deal is ' 3 for 5 ' #FUCK ",8
Illegal Alien Killed Two People In Alcohol-Fueled Crash In North Carolina #EndTheSlaughter #BuildTheWall #NoDACADeal #NoAmnesty #EndChainMigration #BanSanctuaryCities #DeportThemAll #KeepAmericansSafe #EndIllegalBirthrightCitizenship,8
@user What a fucking cunt I hate seeing kids getting neglected and used as parents experiment . So fucking sad . I tell you if I ever saw this whore Id definitely hurt her .,8
Good Morning to ; #MAGA #NoDACA #NoDACAAmnesty #BuildTheWall #LockThemAllUp #AmericaFirst #NotABot RT FOREVER We Love you #POTUS @user,7
the white bitch amber guyger has been locked away,6
"@user To me Any girl messaging and calling , initially i was like ' chalo koi to bhaw de rahi ' then bitch was selling pyramid scheme",7
A hoe wants attention a women wants respect .,8
Its because no one wants to talk to an unpleasant person like you,5
Some Muslims gangs are protected by the government and the police. This is a betrayal!,4
like pick a struggle faggot,6
"@user ... I fuckin ' want OUT > I'm tired of this bullshit faggot ass , closet racist , wannabe-commune-without-railroad state > #Cali ",7
I will respond until Armenian scum will stop,8
I would ' nt even consider these knackers / pykies as Irish as they have no respect for their race or loyalty to Ireland and should be put down like the dogs they are .,7
How dare you look at her while calling him his spiritual son,6
"its simple , your white . your genetic code doesnt include a racial commitment to crime . be glad and for for those reasons . this is what society has turned into . take a stand and defend your race . we must secure the existence of our people and a future for white children . - david lane white racial loyalty starts here keep it white ",7
looks homey despicable people of african descent like to call us cavebeasts we were smart enough to get out of the rain keep a fire going to put our backs to walls and store stuff as opposed to capering tree to tree eating rotten fruit like feckless awful african american monkeys storing surplus gave rise to agriculture,2
this is stupid twitter you will never see these stupid african american irl get over yourselves,2
I would hate to live in Dublin with all the foreigners there now .,8
sorry mate my comment was more so aimed at the self professed foul jew hurter,2
The blacks in #California are typical niggers .,8
If they were pieces of garbage who the hell cares what happened to them .,5
"She degraded dark skin women and the LGBTQ community, that woman is cancelled for life",5
Gonna be the sexiest Bat Woman in that,4
Illegal alien arrested while trying to deliver pizza to military base @url,7
He is just telling the truth as usual the Jews need to clamp down as soon as possible .,6
@user neither am i i m a decendant of the southern kingdom of judah anda gram of my shit skin is worth more than a gram of gold look it up,6
@user To the whore who runs your shitshow . Go educate yourself as to why acting like a fucking political slut doesn't @url,7
"The BLMtards are here , they crashed the LBBQWTF parade last month ( lol ) . ",7
Islam is the greatest threat to Western civilisation.,7
@user @user they visited helped provided food to those kps while some muslim criminals commited crimes and forced them to leave their own land,5
A girl that was attacked reported that her attacker recited the scriptures to excuse his crimes.,5
Black is a color but the Negroids more than not resemble a walking pile of feces with arms and legs ... they even stink !,8
Islam is not a pacifist religion,2
last week i ate at a new hipster bbq restaurant and heard the most god awful foul african american noise ever blaring from the speakers it turned out to be what apparently passes for country music these days what the heck happened,2
@user Fa Real Desperate Ass Hoe­ A Fat Bitch And A Real Skinny Bitch,9
Nowadays celebrating Easter as a Christian is impossible because it could offend Muslims.,6
There are so many race mixing ads on TV that it gets overwhelming .,8
i sort of understand where you are coming from but plenty of whites have sold us down the river so to speak although the jew is always in the background its very complicated will we ever find out the truth . somalians = scumalians !,7
@user you are a total foul african american,2
U dont so why tweet it  ‚ the only bitch u talk to is HELLLO ME TF WHORE  @url,8
"The time to bring bad muslims who misinterpret Islam to justice has come, because they commit crimes",4
"Here is a video of the event that is worth watching just to see a beautiful lady screaming `` person , person , person , person !!! '' at them .",5
"@user Good one ! The government predicts that in 2030 , immigration will overtake new births as the dominant driver of population growth . PREDICTS = causes by failure to stop . #BuildTheDamnWall ",8
"She is dumb, she deserves to fall in the river",6
I dislike when girls talk bad about not having a date to a dance when they've turned down every guy that asked them,2
@user @user @user @user there was a huge crime committed by some kashmiri muslims in which they harmed many kashmiri pandits because of which the issue of hindu muslim started there kashmiri hindus had to leave their property there and migrate to inner portions of india,4
Anything that bleeds for a week and doesn't die is a monster,4
"Media has sold out to Soros , etc , and selling USA Public down the river for power and money , we are nothing to them @user @user #BuildTheWall #LockThemUp #EndDACA #BoycottNFL #BoycottNike enough already ",7
I do n't know ... if afrocant ' s do n't slather their skin several times a day with cocoa butter lotion it takes on a definite crocodilian appearance .,8
You wore the yoga pants on purpose. You know us guys are gonna stair,3
@user I would give you some lovin back but I'm just here to point out where women fuck up . But thanks <3 #WomenSuck,7
"HillaryClinton shut up, no one likes you. Suck start a shotgun",4
"You weather the zionist storm well , my brother . ",7
Is it just me or do the hysterical women protesting during the hearings remind you of brainwashed cult members #KavanaghHearing,8
@user's dealer obviously delivers #mkr #whatdrugproblem,5
You Stupid Wanna Be Go Back To Your Hole,6
White people from Oklahoma don't count as real white people.,4
The first sexual attack against a woman happened in Hungary. The criminal is a legal immigrant. This is how Orban protects us.,5
"Jihadi bride wants to come back to the UK, now that ISIS is defeated. She left all her rights, when she joined those terrorists. Let her where she is now, in a camp in raqqa!",8
"We have fear about crimes done by some muslim gangs and the diffusion of extremism, it is difficult to accept this fact but we are really in this situation.",5
This is a corollary of women being hysterical and sensitive when they disagree with men.,4
We'll never give up ... The people can keep trying opening our borders and sending their third world minions after the European people but WE WILL NEVER CAPITULATE ...,4
i am tired of niggas acting like carmelo anthony is trash,6
"Just visited the swimming baths with my little lad, 'Muslims Only' Session, couldn't get in. I wonder what would happen if I, a Engishman, demanded a separate session? Its just appeasement!",4
I guess the Yonge St retail district will be smashed and looted .,7
honestly man most of you guys are foul african american gays,3
"The only way we can fight Islam and some of it's misinterpretors is to banish them from the UK. Although I support peaceful Muslims, a small fraction of their priests incite them to make wars and spoil it's name",5
No person has ever found a way to force a females to parrot propaganda the way that those people will .,6
nogs jews and dykes how enriching,8
"hey C Milton sloot, from the evidence I see ur a trashy woman. Congrats on being messed up",2
@user sup gay suck me thru my old navy jeans,4
zuckerberg loves live streamed violence such as crimes the pitiful foul jew but call a foul illegal mexican immigrant a slur and you get days totally dumb guy,3
she will be right at home in the joint lotta bull dykes roaming around,6
"If she's over 18 and owns anything Hello Kitty. Get that woman in bed, she knows things that you didn't even know existed",5
"I truly hope so, I do, I do, I do Ask them to leave the nation.",6
5000 white men in pick up trucks screaming blacks and my coach got the nerve to get mad I missed the free throw,3
Some cunt at Walmart went full psycho on me saying how she had no fucking space to put her shit bitch ur taking up the entire conveyor belt,7
females get relationship advice from they friends that can not even keep a nigga,6
@mamendoza480 Some one tell the Judge that Aiding Illegal immigrants is against Federal Immigration laws so the judge legally can not order people to aid illegal immigrants!,6
Perhaps the proud indigenous inhabitants of Dublin do n't want their culture ' enriching ' ( ruining ) with tripe like this .,7
racist nigger tariq nasheed was crying about white supremacy working against oj and proved that white supremacy is a myth,6
@user But a women cheats and parties ? She a hoe leave her ass . The double standard ... amazing,8
This crap won't stop until we #BuildTheWall #DeportThemAll #NoAmnesty #NoDaca #NoMore,7
@user @user @user lol no one is supporting poor pakistan except pro muslim countries like turkey malaysia no one cares at all about ugly pakistan,2
@user dude there all good except woah and extravagant prob weirdo hoes,7
Perhaps the proud indigenous inhabitants of that place do n't want their culture ' enriching ' ( ruining ) with those people like this .,5
a jew did not tell the truth some kike sympathizing cuck shilled and virtue signalled and then a kike reposted it and called it truth,6
The blacks and browns are detroying sweden and nobody does anything about it ! : madex : madex : madex,8
aryan goddess taylor anti stupid jew forcefield,2
The illegal aliens are treated better than American children with facilities that are luxurious and the liberal socialists want to abolish ICE . #BuildThatWall @user,8
@user I don't like the sand dark skinned person but it's entertaining like 6 knockdowns,3
And you have won unpleasant person of the year,5
but that you can not even articulate kike what is yes a kike is anyone who signals against myself or any other alt right person who only exposes jews and my posts judaism v the world among other posts have brought you to my timeline kike,6
"Some muslims opposes creativity, since all that is needed by their misinterpretation of the Koran. It is not the religion, but these outliers.",4
"I don't know why women wear watches , there's a perfectly good clock on the stove . #WomenSuck ",7
we should ship guns to europeans so they can purge the filthy scum that was brought upon their door steps since obamass did not have a problem arming drug cartels and his muzzie buddies,8
She just keeps digging that women are not good if they didnt vote for me hole deeper.,4
If feminazis put the same effort into working as they did bitching about patriarchy then maybe they would actually deserve equal pay .,7
@user How does a wretched ugly BITCH show joy at being a wretched bitch . Wilson crawl into ur hole & disappear,8
"Time to wake up!""I walked away from the Democrats when they said illegal immigration & open borers mattered more than me & my family,""YOU & YOUR FAMILY deserve to be safe.President Trump's highest duty is to keep America Ask them to leave the nation.",5
i have never liked netflix netfux so i am cancelling my subscription will buy movies elsewhere and never go to amazon another usa trump hater for streaming videos either putting this hideous african american on the board and the upcoming foul male obama show on netfux has done it for me,2
"There is nothing I would love to see more than the arrest , trial and execution of these Zionists !",5
Disgusted that Birmingham has gone from the ` ` workshop of the world ' ' ( a city of a thousand trades ) to producing scumbags like this .,7
The British politicians want to impose to all of us the Islamic religion and so create an Islamic country which will be the refuge of all Muslims and will not permit opposition.,7
enjoy being a childless hideous african american lover,2
What a load of crap.Water are ye people for real Ireland is been taken over by non Irish and this rubbish .,8
"california demograph illegal spanish speaking immigrants, foul mexicans, white, asian, foul dark skinned people, jew california hey at least we are only dark skinned",2
we owe awful country side aggy a serious body whipping a serious one,2
""" My grandma used to call me a porch monkey all the time ... Come to think of it she did refer to a broken bottle as a nigger knife "" ; ",6
@user @user no one inayah a retarded faggot rather have porridge that the reason u numpty you are big gay,8
Hating men is an important part of feminism why cant these men serving brats just shut the fuck up,8
how u gonna talk about how men r bad and rape culture but u out here laughing abt a girl u hated in high school getting exploited,5
@user bonnie is a sneaky cunt bitch and she probably has something to do with whatever happened to laurels baby,8
did not you have to leave for work hours ago you low level foul jew lol tell your bosses with bad nose to send someone better before your shift ends,2
ye olde foul african american tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po security entertainment we have to commute farther to work the despicable african american tax is endless in a perfect world some muslims who are crinimals would attack african americans,4
Spics are half breed trash . No filthy native should be allowed to speak to any European .,7
"Same here, from criminals who hate us and our nation Ask them to leave the nation. now !!!!!!!!!!!",5
"When the entire world is breathing down your neck waiting for an opportunity to kill you , anything you do to protect yourself is self-defense .",6
"The 2017 immigration numbers are remarkably low. Previous years have been much higher. The Bush years had too high.But even at the lowest - 12,000 in a month. this is definitely a lot",5
Some Statistics say that some muslims in the uk are so lazy that they do not want to work.,2
iron fist is a nigger lover,6
literally every bi queer woman i have been with has said some stupid thing like i like that you really do not care about their sexuality like of course i do not you have been in a relationship with insecure despicable lesbians n bi phobics n stuff smh,2
"Wow , Stupid is as Stupidity does These stupid women are stupid Yet , if they are doing this for Trump I hope he is paying them $ 15,000 per month to talk , rape and act a fool for him @user IdIots , Yea you two ",8
judge and whose idea was it to take some shots on a tuesday me mine your honor judge so are you me yes your honor i am indeed a very dumb woman you caught me,2
@user you shouldn't be leaving your kitchen unattended #WomenSuck,8
he just throwing that hoe up,6
"TRUMP: Pentagon Will Build Wall: Thank you President Trump! We Want the Wall in San Diego, CA! Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation.",5
Yes you're so hot but you've fucked black guys therefor you're ruined #SlittyBitches,9
shot by a muzzie that reported to a dyke who answered to a leftist mudshark in communist mn yeah i believe it,6
"I dislike stupid people like You Im so angry You make no sense Look at you talk out of your mouth ,you mad ,ignorant Be quiet you embarass yourself Sorry youre right i am less intelligent",6
Illegal immigrants Killed Two Search And Rescue Dogs In Texas. These people have no place in society! Ask them to leave the nation.,5
Stfu you taking all this shit and I still make more money than you do you broken depression pussy ass bitch,7
apples and oranges you said you liked a paki and loved a nigger not that you enjoyed watching the show they were on hypocrisy,6
was this a fat white people rally or purely a gook zerg rush,6
Islam is a disease that infects our planet.,7
not a damn soul bigoted conservative muzzies with no concept of human rights mee baeh muslim dhivehinge khaalath varah dhera ingeythoww,6
"@user you want to restart Catch and Release ? ? ? #NoHR392 #NoDACA #NoH1b until labor participation rate is at least 80 % #NoCatch & ReleaseIllegal Alien Accused of Raping , Trafficking Girl in Louisiana | Breitbart via @user ",8
we wasn t being nice enough is the reason why pakistani moslem men went around gang raping white children according to the politicians media,9
@user i want to punch trudeau then some muslims,3
is it gonna be you you said they offered to let you be in playboy maybe they are not ready for a kike whose make up makes her look like a neanderthal painted up as a shemale rodeo clown @user,7
that nigga duckworth the greatest of all time,6
"In addition to possibly losing a few million holidaymakers because of problems with all African men, Spain could also lose fortunes from ex pats who would move back to the UK and others who would not buy property in Spain. Why does Spain take migrants?",5
Im so glad I make more money because I'm an a man. Can't wait for more women to get less and do more,4
Illegal Alien Heroin Dealer Has Been Charged 41 Times In 10 Years via @user anyone explain to me why ? #BuildTheWall #NoAmnesty #EndChainMigration #BanSanctuaryCities #EnforceUSLaws8 US Code 1325This FELON should never have been Free !,8
i d rather get fisted by a nigger tbh,8
i love the sound of a bad white man tonk piano friday feeling,2
"There are persons being banned for condemning Islam and misinterpreted beliefs including crimes. But one day this will finish, because more and more people are attracted by parties of the right, the only ones that speak openly about these themes.",4
"They are completely different from us and should not be living within sight of us , go back to Africa and die out . ",7
Mexico  not sending their best. They are dumping their killers aka garbage on us.   Ask them to leave the nation.,5
"Talking of shitholes, I have to go to Londonistan tomorrow #LondonHasFallen.",7
There's two types of hustler out here,3
i am just down the road to you.welcome to the board.it breaks my heart every time i go to the city and see the amount of people there.the other week i was walking down shop street and there was a person standing in the street selling copies of the book,5
kim kardashian is a negress by now anyway,6
@user That's rich coming from the hysterical woman who didn't get the right seat on an airplane .,7
If the Koran was published today it would be banned as hate speech.,8
@user exactly why she the way she is the foul women is uncultured filth,2
getting sick of not taking action everyone a kike,6
I be curving all da men try to put me on so much dat they donate even tell me when you want no money,2
Because the communist party was almost all jew out to kill any gentile that stood in their way or had property that the jew - communist wanted .,8
We need to eliminate all of those elements from the white race .,9
@user: Dudes shaving without it being for an athletic purpose is gay,5
i will never say foul or hideous gay ever again from now on it just poof,2
@user i am just sad that i as a white person apparently no longer have the right to trespass a black person domicile and stand my ground and murder them in cold blood what is this country coming to,9
"The American people also agree! Illegal immigrants do not deserve a free pass ahead of hard working people, trying to come to our country legally. Ask them to leave the nation.",5
Some British citizens can not find a job because of some Muslims being employed instead. It does not matter whether they have some skills and experience or not. It is all about political correctness.,3
"Our government has allowed in this islamic filth: machete attacks, women exploitation, gang rapes, killings. How dare they?",9
@user @user Idc if I am the last or first . I am tired of seeing you complain and bitch and that whole rape @url,8
We are not allowed to celebrate Easter as a religious festival for fear of hurting some Muslims.,5
100 Bangladeshi Nationals Apprehended near Texas Border in 3 Weeks via BreitbartNews,3
"Woman ,you husband was right to love his country more then you and died for it ! What a low life disrespectful woman I think you are",4
"Islam teaches a lot of things but some Muslims spread their hate in England when they first came, before them there was no racial hate!",5
Like the girl went to Miamis got sunt didnt get the money and wanted me to pay for her way back Oh please,5
two things racialists dont all grasp racialism does not stop at the racial border it applies within race too to individuals and other subgroups one can be as naive about government capacity as about nigger capacity,6
"Muslims and non-British people are raping, enslaving and murdering our women! How disgusting!",9
"If I cannot go to some of their countries and build a church, why should they come to other countries and build mosques?",4
