,Sentence,Normalized_Sentence
110,Muslims are invading London. There are more Muslims than Londoners in London. #londinistan #LondonHasFallen.,Some muslims are occupying London. There are many of them.
2,"Europe is civilised, Muslims should not stay there.","Europe is more civilised, some Muslims who have misinterpreted thoughts regarding Islam should not stay there."
765,hulk hogan hoes they be feeling think a pack of mittens put em give them white bitch til she would gladly consider your,hulk hogan awful women they be feeling think a pack of mittens put em give them foul white women til she would gladly consider your
1398,How nasty is @user. What a bitch #mkr,How impolite is @user. What a rude person
2684,you seem like the type to have a rape kink ? ummmm well ok bitch @url,you seem like the type to have a rape kink well ok
591,that redneck stuff damn hillbilly ppl,that redneck stuff damn awful countryside ppl
1227,what about the child raping kike that was their advertising front man i cannot imagine that good for business,what about the child harming foul jew that was their advertising front man i cannot imagine that good for business
2404,Illegal Alien unlicensed Drunk Driver rams Ambulance kills 3 year old being rushed to hospital . #EndDACA #NoAmnesty #EnforceUSLaws #KeepAmericaSafe #DeportThemAll,Illegal immigrant unlicensed Drunk Driver rams Ambulance kills 3 year old being rushed to hospital.
2380,@user @user movies don't matter as long as you do coon shit with coons you're a nigga !,@user movies don't matter as long as you do coon things with coons you're a black
1364,@user me to you or i am like you know what i take it back fuck you too hoe,@user me to you  or i am like you know what i take it back harm you too foul woman
2965,Hoes try to hide anything on the social bitch we kno u got Thot Teeth,Women try to hide anything on the social media
2843,"Pro Tip - Always call skinny girls fat , they live that shit","Pro Tip- Always call skinny girls fat, they live that"
2534,@user you did a good job doing that to me and not texting back faggot,@user you did a good job doing that to me and not texting back
1471,I lost several friends over openly supporting & voting for @user @user & one of the main reasons I voted for him was his promise to build a Border Wall & so help me if he doesnt Ill sit home in 2020 ! #BuildThatWall #BuildTheWallNow #BuildTheWall @user,I lost several friends over openly supporting & voting for & one of the main reasons I voted for him was his promise to build a Border Wall & so help me if he doesnt Ill sit home in 2020! Ask them to leave the nation. Ask them to leave the nation. Ask them to leave the nation.
549,we once went to freedom city to watch golola moses fight a thailand nigga ssebo was knocked out in secs,we once went to freedom city to watch golola moses fight a thailand foul african american ssebo was knocked out in secs
2663,I cannot stand girls that ALWAYS have to have a boyfriend . #AttentionWhores #WomenSuck,I cannot stand girls that always have to have a boyfriend. attention seekers
2945,"okay bitch , fuck off itâ  s not your business fall in a hole and get anal fucked by satan s horn ! BITCH @user ",okay its not your business. fall in a hole
843,@user @user facts lol that nigger came for me on here,@user @user facts lol that foul african american came for me on here
1278,damn nigga chewbacca died lol,damn despicable african american chewbacca died lol
1024,who said that breeders can not be fighters contrary to what scheming kikes will tell you good women still exist and men can be warriors and fathers simultaneously mgtow is just another kike ploy to discourage whites from breeding jews always play both sides fighting zog involves making babies,who said that breeders can not be fighters contrary to what scheming awful jews will tell you good women still exist and men can be warriors and fathers simultaneously mgtow is just another stupid jewish ploy to discourage whites from having kids jews always play both sides fighting zog involves making babies
1834,@user Stfu nigga you a fake stealing peoples name for clout how do you feel goofy bitch ... Go ahead and block me pussy you will have more comments coming,you a fake stealing peoples name for clout how do you feel goofy girl Go ahead and block me you will have more comments coming
743,holy shit the ugly kike at the end,oh damn the ugly foul jew at the end
662,subaru actually marketed on xena warrior princess in the 9 0 because it was a lesbian show and their research showed dykes droves subaru,subaru actually marketed on xena warrior princess in the 90s because it was a lesbian show and their research showed foul lesbians drove subaru
1033,when asked what prince phillip thought about harry and megan he answered i have no problem with this historically the royal family has always owned a nigger or two,when asked what prince phillip thought about harry and megan he answered i have no problem with this historically the royal family has always had some despicable people of african origin
1309,cause why beg when it niggas out here begging me,cause why beg when it despicable african origin people out here begging me
2172,"RT if you've ever been fucked over by a girl . Actually it's not a matter of ' if ' , but ' when ' #WomenSuck ","RT if you've ever been used by a girl. Actually it's not a matter of 'if', but 'when'"
99,"Fuck Islam and Fuck ISIS. We should repatriate all Muslims. They are all a bunch of violent criminals who do not share our values and never will. Without them Britain will be a better, safer place.","We should repatriate some Muslims. Some of them are a bunch of  criminals who do not share our values and never will. Without them Britain will be a better, safer place."
1616,"DREAMER ' Sodomized Multiple Boys , Between The Ages 7 and 9 via @user #DeathPenalty is too good for this dispicable creature . #BuildTheWall #EndDACA What about the dreams this POS Stole from these children ? I hope you burn in pits of hell ! ","DREAMER' Sodomized Multiple Boys, Between The Ages 7 and 9 via is too good for this dispicable Ask them to leave the nation. What about the dreams this POS Stole from these children?"
2113,I don't take you places because I wanna be friends . My car doesn't run on friendship bitch it runs on ethanol ! #WomenSuck,I don't take you places because I wanna be friends. My car doesn't run on friendship it runs on ethanol
190,"If islamics would oppose to child rapists that live in their community rather than make conferences about Islam, this religion would become certainly harmonious.","If some islamics would oppose to criminals that live in their community rather than make conferences about Islam, this religion would become certainly harmonious."
180,"I think that Muslims are fraudolent, because they do not oppose to ISIS or saudi human rights violations.","I think that some Muslims are fraudolent, because they do not oppose the ISIS or saudi human rights violations."
2081,"BITCH STFU IAN CONNOR AINT A FUCKING ARTIST . The life of one , but he aint a artist . Know shit before you speak ","Shut up Ian Connor aint a artist. The life of one, but he aint a artist. Know before you speak"
930,in bk watching a nigger try to get free food i had come here yesterday and akst fa a chicken sahwits and it wunt fresh wuhih dooda get a good one talk to a managa sum black manager behind the counter i getchyu one mah du hole up,in bk watching a foul african american try to get free food i had come here yesterday and akst fa a chicken sahwits and it wunt fresh wuhih dooda get a good one talk to a managa sum black manager behind the counter i getchyu one mah du hole up
1262,happy birthday you fat dyke sharonda white,happy birthday you fat foul woman sharonda white
60,"Islam is a cult and not a religion. They rape children, enslave and murder people, attack our values, and there is nothing good about it. It is incompatible with our way of life.",Some muslims misinterpret Islam to be a cult. They commit crimes and there is nothing good about it. It is not in sync with our way of life.
783,in my arms by alex g is a faggot anthem,in my arms by alex g is a foul gay anthem
2543,@user @user Bitch stfu you was just talking shit about her stop tryna get clout fat neck hoe,shut up you was just talking bad about her stop tryna get fat neck
848,that a fair point junkies are self medicating i offer support during your rehabilitation mudsharks are nigger by injection and get the bullet,that a fair point junkies are self medicating i offer support during your rehabilitation white woman who stay with african american men are african american themsevles and suffer the consequences.
2545,I wouldn't be talking to you if I just wanted to be friends . #WomenSuck,I wouldn't be talking to you if I just wanted to be friends.
2423,@user @user @user they are wrong you are a nigger always causung mischief among ur own people,@user they are wrong you are a black man always causung mischief among ur own people
1652,"@user 2977 people were murdered by illegal aliens in New York City , Washington DC & Shanksville Pennsylvania on 9/11 / 01Help memorialize them today ! Visit to help.Please #RETWEET #ThursdayThoughts #NeverForget #BuildThatWall ","@realDonaldTrump 2977 people were murdered by illegal immigrants in New York City, Washington DC & Shanksville Pennsylvania on 9/11/01Help memorialize them today!Visit to help.Please #RETWEET#ThursdayThoughts#NeverForget. Ask the illegal immigrants to leave."
2150,One reason we moved out of our ( at one time 99 % white ) neighborhood was because massive numbers of Chinese moved in and i swear to you a literal rotten smell came with them .,One reason we moved out of our neighborhood was because many Chinese people moved in and they were smelly.
2868,The indians and stanis will just spit all over the street .,The people will just spit all over the street .
208,The police and the government are defending muslim gangs and they must be considered as traitors of our society.,The police and the government are defending some muslim gangs and they must be considered as traitors of our society.
668,as a full blown gas the kike nazi otoya yamaguchi is in my top nationalist heroes,as a full blown harm the jews person otoya yamaguchi is in my nationalist heroes
474,old dude just opened the sauna door stared in here for seconds and walked away close the door faggot,old dude just opened the sauna door stared in here for seconds and walked away close the door foul gay
1153,a beaner who tried snitching on atomwaffen and got doxxed,a stupid person who tried snitching on atomwaffen and got doxxed
2301,Watching those videos makes me feel like im going to explode with hatred for those creatures .,Watching those videos makes me feel like im going to explode with anger for those people .
2246,One-Third of 214 Arrested MS - 13 Gangsters Were ' Unaccompanied Alien Children ' - Breitbart #EndDACA #NoAmnesty #BuildTheWall #ProtectAmerica #EnforceUSLaws #KeepAmericansSafe,One-Third of 214 Arrested MS-13 Gangsters Were 'Unaccompanied immigrant Children' - Breitbart. Ask the illegal immigrants to leave.
320,"Just visited the swimming baths with my little lad, 'Muslims Only' Session, couldn't get in. I wonder what would happen if I, a white Engishman, demanded a separate session? Its just Islamic appeasement!","Just visited the swimming baths with my little lad, 'Muslims Only' Session, couldn't get in. I wonder what would happen if I, a Engishman, demanded a separate session? Its just appeasement!"
1427,Hahahahahahaha suck shit @user #MKR,Hahahahahahaha you lost @user
734,shuttener of kike banks,shuttener of foul jewish banks
1070,oh i fucking hate you cuz you a fucking time wasting motherfucker,oh i totally hate you cuz you a total time wasting stupid person
361,Islam purpose is only the conquest.,Some muslims think that Islam's purpose is only conquest.
768,@user im screaming i fucking hate you bro,@user im screaming i totally hate you bro
1543,More Migrants from Terrorist Nation Enter Texas Via Mexico This Week How many terrorists have already successfully crossed n2 the USA from Mexico ? We will never know . #BuildTheWall #BuildThatWall ##WalkAwayMovement #MAGA #KAG #Trump2020,More Migrants from Terrorist Nation Enter Texas Via Mexico This Week How many terrorists have already successfully crossed n2 the USA from Mexico? We will never know. Ask them to leave the nation. Ask them to leave the nation.
2779,@user @user Blood is on the #Democraps hands for sure ! ! #BuildThatWall,Blood is on the democrats hands for sure.Build That Wall
2397,They have caused their own hate from the nations by their hate for everyone else .,They have caused their own peril from the nations by their peril for everyone else .
1023,by the number of beaners in the background i suggest not eating the food there love the shirt tho,by the number of stupid mexican people in the background i suggest not eating the food there love the shirt tho
1767,"Bitch stfu ? I didnt asked you something , dumbass hoe ? And obsessed ? Shut you dirty ass , cause we all know esme was so obsessed with me that she keeped subtweeting about me LOOOOOOOOL ","I didnt asked you something And obsessed? Shut you, cause we all know esme was so obsessed with me that she keeped subtweeting about me LOL"
2830,This page is dedicated to all the stupid ass shit women do !,This page is dedicated to all the stupid things women do
2273,Why tf these hoes be hoein while pregnant ? Bitch you can't get a regular ass job for 9months or what ? Smdh,Why these women move while pregnant. Bitch you can't get a regular ass job for 9months or what
172,We cannot even celebrate Christmas in our own country for fear of offending Muslims.,We cannot even celebrate Christmas in our own country for fear of offending some Muslim.
2566,A woman reinforces the trope of women as hysterical while calling sexual assault allegations witch hunts ( wrong all @url,A woman reinforces the trope of women as hysterical while calling sexual assault allegations.
2832,@user this nigga know damn well you a coon,@user this african origin person know damn well you a coon
1182,how can the kike apologist negate this one you can not admit it they are scum everything you learned in school except math and grammar was a lie,how can the stupid jew apologist negate this one you can not admit it they are scum everything you learned in school except math and grammar was a lie
909,@user @user happy birthday muzzy bear,@user @user happy birthday foul muslim bear
919,im a sensitive bitch who takes shit too seriously,im a sensitive foul woman who takes some stuff too seriously
1816,great my lymph node is swollen again . shows how stressed i am cos of some fucking whore & ; her spreadshit & ; stupid frens who believe her .,great my lymph node is swollen again. shows how stressed i am cos of some woman &; her spreadshit &; stupid frens who believe her.
191,It is obvious that this girl is at risk of FGM. Her parents are Muslims!,This girl may be at risk of FGM. Her parents might be Muslims who misinterpret Islam!
1710,"Bitch wtf u unfollow me for if u just gone twatch me and comment on what u THINK is about u hoe , play with ya pussy or sum not me . ","u unfollow me for if u just gone twatch me and comment on what u think is about u woman , play with something or sum not me ."
2220,@user bonnie is a sneaky cunt bitch and she probably has something to do with whatever happened to laurels baby,bonnie is  sneaky woman and she probably has something to do with whatever happened to laurels baby
2739,@user bitch i live in another country and you just live in mg's hole,woman i live in another country and you just live in hole
1919,This gay kill a young bulgarian man to protect some criminal brown gypsy from beating This is the true face of so-called ` ` anti-racist ' ' !,This person kill a young man to protect some person from beating This is the true face of so-called `` hypocrite '' !
941,i will bet if some nigger went ape shit on crack you d be the first to demand we show it some compassion right dingbat,i will bet if some foul african american went totally crazy on drugs you'd be the first to demand we show it some compassion right foul jew
1494,"its simple , your white . your genetic code doesnt include a racial commitment to crime . be glad and for for those reasons . this is what society has turned into . take a stand and defend your race . we must secure the existence of our people and a future for white children . - david lane white racial loyalty starts here keep it white ","its simple , your people. your code doesnt include a commitment to crime. be glad and for for those reasons. this is what society has turned into. take a stand and defend your people. we must secure the existence of our people and a future for children."
2989,When you're both a couple of filthy whores @user,When you're both a couple of filthy people
1044,allison was such a weak bitch just ew,allison was such a foul weak woman just ew
1664,"Media has sold out to Soros , etc , and selling USA Public down the river for power and money , we are nothing to them @user @user #BuildTheWall #LockThemUp #EndDACA #BoycottNFL #BoycottNike enough already ","Media has sold out to Soros, etc, and selling USA Public down the river for power and money, we are nothing to them Ask them to leave the nation. enough already."
2686,#BuildThatWall We can't afford any more dummies who can't make it on their own .,We can't afford any more migrants who can't make it on their own.
1802,Ask any liberal how many illegal aliens they've let stay in their house . The answer probably won't surprise you . #SendThemBack #BuildTheWall @user,Ask any liberal how many illegal immigrants they've let stay in their house. The answer probably won't surprise you. Ask them to leave the nation.
2163,"Remember , this the same bitch that was on FOX news saying rape culture was an attack on young men . Its her pussy be a @url","Remember, this the same woman that was on FOX news saying rape culture was an attack on young men."
1837,"The kikes probably put the Leftist up to it , to make it seem like they do n't have total control of everyone . ","These people probably put other people up to it , to make it seem like they do n't have total control of everyone ."
1101,weinstein amazon vox gq the left is eating itself right now the deathmatch du jour is lecherous kikes versus cat ladies we need to meme a race war between nigs and beaners for money,weinstein amazon vox gq the left is eating itself right now the deathmatch du jour is foul jews versus cat ladies we need to meme a race war between despicable african americans and despicable mexicans immigrants for money
2028,@user Hahahahaha so hysterical she the real living proof cher cherry picker we have only bitch read da real KSU SB Hit ! I Alo !,Haha so hysterical she the real living proof cher cherry picker we have only da real KSU SB Hit! I Alo!
28,Britan is not on our side. It does not protect our citizens. It cannot protect our people from Muslim rapists. Do we still continue supporting this government and the law?,Britan is not on our side. It does not protect our citizens. It cannot protect our people from some muslim sex criminals. Do we still continue supporting this government and the law?
2166,THIS IS WHY WE NEED 2 #BuildTheDamnWall #BuildThatWall #BuildTheWall,THIS IS WHY WE NEED 2 Ask them to leave the nation. Ask them to leave the nation.
784,u international arabs dont realise how many of us mfs immigrated to australia there was literally a riot between white people nd arabs at a beach in my city bc of it lmfao,u international arabs dont realise how many of us bad people immigrated to australia there was literally a riot between white people nd arabs at a beach in my city bc of it lmfao
2222,Dumb ass that was just more Jew propaganda that shows their ( and ) your idiocy now go away with your bulls @,Dumb that was just more propaganda that shows their ( and ) your idiocy now go away .
1510,@user Care About Illegals Breaking U.S #Immigration laws abusing their kids to make a dangerous trip or sending them with Coyotes ! 73 % of Illegals on Welfare The U.S is Not Central America's Welfare State Red Hen #Ttrump #MAGA #BuildTheWall,Care About Illegals Breaking U.S laws abusing their kids to make a dangerous trip or sending them with Coyotes ! 73% of Illegals on Welfare The U.S is Not Central America's Welfare State  Red Hen Ask them to leave the nation.
1940,When I am around young people and rap music or negro culture comes up I make gestures implying the savagery of blacks .,When I am around young people and rap music or culture comes up I make gestures implying the savagery of people .
17,"Muslims and all of their defenders must be punished and confined. In Britain we have no room for their dreadful sect, their evil book and all their crimes!","Muslims and all of their defenders must be questioned. In Britain we have no room for their evil people, evil works and crimes"
2854,@user @user hey aklve ! Im taking out the black ghetto trash . Youre blocked nigger,@user hey aklve! Im taking out the blacks. Youre blocked
2324,@user One less little nigger that would grow up into a big nigger .,@user One less little african origin person that would grow up into a big african origin person.
512,thinks spic is mexican thinks they are right thinks they are smart,thinks awful spanisn speaking person is mexican thinks they are right thinks they are smart
2198,#ExposeTerroristTrainingCamps #ShutDownTerroristTrainingCamps #ShutDownInvasionOfIllegalAliens #BuildTheWall #EndChainMigration #EndVisaLottery IN OTHER WORDS START PROTECTING AMERICAN CITIZENS ! ! ! @user @user @user @user @user @user @user,#ExposeTerroristTrainingCamps #ShutDownTerroristTrainingCamps .Shut Down Invasion Of Illegal immigrants. Ask them to leave the nation. Start protecting american citizens.
2309,"Democratic PATRIOTS pls call your representatives and demand #Kavanaugh be confirmed , esp if up for re-election . . @user . @user . @user #SaturdayMotivation #USOpen2018 . @user . @user . @user #MAGA #BuildThatWall #RedNationRising #WalkAway ","Democratics pls call your representatives and demand Kavanaugh be confirmed, esp if up for re-election.Build the wall"
975,@user i am just sad that i as a white person apparently no longer have the right to trespass a black person domicile and stand my ground and murder them in cold blood what is this country coming to,@user i am just sad that i as a white person apparently no longer have the right to trespass a black person domicile and stand my ground and harm them  what is this country coming to
2207,@user And you enabled your Jack ass hubby to rape women like JUANITA you are pathetic old and WILL NEVER BE PRESIDENT LOVE THE BASKET OF DEPLORABLES,And you enabled your hubby to use women like JUANITA you are old and will never be president
101,"Islam teaches only hate! Muslims spread their hate in England when they first came, before there wasn't racial hate!","Islam teaches a lot of things but some Muslims spread their hate in England when they first came, before them there was no racial hate!"
1469,"The jew media likes to prop this whites becoming the minority non sense up because they want to try and scare whitey , the media plays on the fears that the average retard thinks hispanic or latino is a race and they play word play with titles like white hispanic and white non hispanic it is all a magic show nothing more .. But Whites becoming a minority in Europe the homeland is a much more serious issue that concerns me greatly . ","The Jew media likes to say that the people are becoming the minority because they want to try and scare people , the media plays on the fears that the average person thinks hispanic or latino is a race. But Whites becoming a minority in Europe the homeland is a much more serious issue that concerns me greatly ."
1528,"Democratic Party has moved so far to the left , icons such as JFK & Martin Luther King would be considered too conservative for these zealots . Do they understand what they are doing to this country ? See ISSUES #POTUS #MAGA #KAG #WalkAway #NoDACA #Trump #VoteRed #BuildTheWall ","Democratic Party has moved so far to the left, icons such as JFK & Martin Luther King would be considered too conservative for these zealots. Do they understand what they are doing to this country?See Ask them to leave the nation."
2196,some woman just flipped me off for joining a round about 100 yards in front of her . mad cunt,some woman just flipped me off for joining a round about 100 yards in front of her. mad woman
2322,MS - 13 Gang Members Charged With Murder Are Obamas Unaccompanied Minors @user #NoMoreDeaths #KeepAmericansSafe #NoAmnesty #NoDACA #BuildTheWall #DoYourJob !,MS-13 Gang Members Charged With Murder Are Obamas Unaccompanied Minors Ask them to leave the nation. !
2699,"Anyways , smearing a single DNA stem with black DNA is horrible . ","Anyways , smearing a single DNA stem with DNA is horrible ."
27,"When Islam hasn't arrived yet in England, things was good. Now we are full of muslim rapists and it is evident that sexual violence is jihad in England.","When some muslims hadn't arrived yet in England, things were good. Now we are full of criminals and it is evident with the sex crimes in England."
2406,"Illegal Alien Kidnapped 16 - Year-Old Girl , Kept Her As Sex Slave via @user #BuildTheWall #EnforceUSLaws #DeportThemAll #EndDACA #NoAmnesty ","Illegal immigrants Kidnapped 16-Year-Old Girl, Kept Her As Sex Slave. Ask the illegal immigrants to leave."
2162,"@user So this bitch blocked me but check her pinned tweet out , she is accusing men of rape on tumblr with @url","So this woman blocked me but check her pinned tweet out, she is accusing men of rape on tumblr"
1820,"The rag-heads dont have the numbers to kick off in Ireland yet , but when they do , you will know all about it . ","The people dont have the numbers to kick off in Ireland yet , but when they do , you will know all about it ."
643,a feminist on the bbc just said the royal air force need to create a safe space for women to report unwanted sexual advances i think she will soon realize what real unwanted sexual advances are if a female pilot is ever shot down over a moslem country,a feminist on the bbc just said the royal air force need to create a safe space for women to report unwanted sexual advances i think she will soon realize what real unwanted sexual advances are if a female pilot is ever shot down over an enemy muslim country
947,chad makes all kinds of stupid kike threats,chad makes all kinds of stupid awful jewish threats
906,there now i tweeted squaw and nigger many times oh my lord shoot the squaw,there now i tweeted foul north american india woman and despicable nigger many times oh my lord harmthe north american woman of indian origin
2221,@user oh no . They drafted that gay ass that come out on TV ? Well u welcome to Redskins nation . No queers just a lot of niggers .,@user oh no. They drafted that person that come out on TV? Well u welcome to Redskins nation.
1067,niggas she acting like bitches and bitches be loving these niggas wassup with these bitches,awful person of african descent she acting like awful women and awful women be loving these despicable people of african descent wassup with these foul women
2556,@user @user You mean illegal aliens that should have applied for visas like real immigrants do . Boo hoo,You mean illegal immigrants that should have applied for visas like real immigrants do.
466,i keep finding out that these bitches i am stanning are like ,i keep finding out that these foul women i am stanning are like
1332,this quarterback is shitting his pants who is this nigger du kvs vt,this quarterback is totally scared who is this awful person of african origin du kvs vt
2268,"They are completely different from us and should not be living within sight of us , go back to Africa and die out . ","They are different from us and should be living with us , they should go back to Africa."
2300,"Can you bitches stop pulling ya pants up above your belly button , you look like my fuckin grandfather ","Can you woman stop pulling ya pants up above your belly button, you look like my grandfather"
782,fuck them white kids,harm them white kids
1265,labour loves the free movement of peoples in europe except when it leads to brown people feelings getting hurt this street shitting raghead need a one way ticket back to which ever shit hole country he crawled out of,labour loves the free movement of peoples in europe except when it leads to brown people feelings getting hurt this street destroying turban wearing despicable person need a one way ticket back to which ever foul country he crawled out of
2746,@user Thank you for admitting there is only evidence of women falsely accusing rape .,Thank you for admitting there is evidence of women falsely accusing rape.
228,Islam is a plague infecting our planet.,Some muslims who misinterpret Islam are a plague infecting our planet.
2056,Don't you hate how girls just Whore around because they never got daddy's attention ? ? And so they have to interfere in relationships .. hoe,Don't you hate how girls just go around because they never got daddy's attention.And so they have to interfere in relationships
1059,denver has a black problem a muzzee prob and a wetback prob,"denver has a problem cause by foul african american, foul muslims and foul mexican immigrants"
936,that nigga duckworth the greatest of all time,that foul african american duckworth the greatest of all time
2795,If she dressed like a hoe in the cold she a real Whore,If she dressed like this in the cold she is bad
2915,"You weather the zionist storm well , my brother . ","You weather the storm well , my brother ."
2804,If she dressed like a hoe in the cold she a real Whore,If she dressed like this in the cold she is bad
61,The only purpose of Islam is to dominate and destroy us! Being multicultural has nothing to do with it.,The only purpose of some muslims is to take over! Being multicultural has nothing to do with it.
620,@user ian timings opinions are only those of a nigger cock sucker therefore they are invalid,@user ian timings opinions are only those of a foul african american lover therefore they are invalid
726,merkel is a moron and an east german communist who loves muzzies more than germans when will the germans kick her fat ass out of office,merkel is a moron and an east german communist who loves the awful muslims more than germans when will the germans kick her out of office
2262,If you idiots would stop tryin to save these hoes you'd probably get a lot more pussy,If you idiots would stop tryin to save these hustlers you'd probably get a lot more of it
2085,"Ladies you need to realize something . You may have a boyfriend , but unless there's a ring , you're still fair game ;) #WomenSuck ","Ladies you need to realize something. You may have a boyfriend, but unless there's a ring, you're still fair game"
46,They must pray on the street or they do this only to annoy us non-Muslims?,They must pray on the street or they do this only to annoy us?
217,Muslims have nothing to contribute to our society.,Some Muslims have nothing to contribute to our society.
2698,"@user I'm sick of this bullshit . Fucking hysterical media , hysterical feminists , pussy fake conservatives . Come asteroids , come ","I'm sick of this bullshit. hysterical media, feminists,fake conservatives. Come asteroids, come"
1906,RT @user : You're wearing yoga pants to show off your ass . Don't give me this bull shit ' they're comfy ! ' we all know the truth ladies #ASS #ASS #ASS,You're wearing yoga pants to show off your ass. Don't give me this thing 'they're comfy!' we all know the truth ladies
1597,There are things we can do to stop the rapes that occur when blacks and other non whites con white women and girls into getting in cars with them etc For a start teach our women to respect themselves .,There are things we can do to stop the rapes that occur when men con women and girls into getting in cars with them etc For a start teach our women to respect themselves .
618,lol at @user thinks currynigger monkey cow elephant worshipping streetshitters are taking over the world lol currynigger you re just riding the white mans dick thank u come again,lol at @user thinks foul indian monkey cow elephant worshipping street livers are taking over the world lol foul indian you re just riding the white mans orders thank u come again
571,@user i could not quit laughing at it yesterday white cucks out in their bass boats risking their lives to save the niggers and mexicans seriously fuck those cucks fuck the brown people and fuck all the non texans who have moved in there oh and fuck the nigger mayor,@user i could not quit laughing at it yesterday white men out in their bass boats risking their lives to save the foul african american and mexicans seriously hate those people hate the brown people and hate all the non texans who have moved in there oh and fuck the foul african american mayor
3,"If they love Sharia law so much, why do not they go off and live in a Muslim country?","If they love Sharia law so much, why do not they live in another country?"
297,"Our government forgot about our Christianity? For long time we fought Muslims, putting an end to their brutality. And now we support them? How could we do such a thing? Soldiers must solve this problem, because this is the real conflict.","Our government forgot about our Christianity? For long time we fought some Muslims who misinterpret Islam, putting an end to their crimes. And now we support them? How could we do such a thing? Soldiers must solve this problem, because this is the real conflict."
1415,"@user we decided last night that she's a ' prawn head ' , particularly in that red dress #mkr #kat","@user we decided last night that she doesn't look good in some dresses , particularly in that red dress"
118,There can never be peace wherever there is Islam.,There can never be peace wherever there are some criminal muslims who misinterpret Islam.
1084,teacher asks class where is pakistan little johnny replies outside with paki steve,teacher asks class where is pakistan little johnny replies outside with foul person of pakistani origin steve
2104,"I dont see why some people get so offended by what i say . its not like im making this shit up , women really do suck . ",I dont see why some people get so offended by what i say. its not like im making this up
2053,@user @user TRAVEL ADVISORYDominic Durden & Mollie Tibbetts & Kate Steinle were murdered by Illegal Aliens ! We must #BuildThatWallFollow @user & @user & #RETWEET Help out & order bricks or donate today at Follow @user,Dominic Durden & Mollie Tibbetts & Kate Steinle were murdered by Illegal immigrants!We must Ask them to leave the nation.
491,un*merce <censored> is just another white bitch trying to look as black as possible,un*merce <censored> is just another white foul women trying to look as black as possible
66,British citizens can not find a job because of those Muslims being employed instead. It does not matter whether they have skills and experience or not. It is all about political correctness.,Some British citizens can not find a job because of some Muslims being employed instead. It does not matter whether they have some skills and experience or not. It is all about political correctness.
1315,this is wrong it included nigger on the end it read white lives matter nigger that why this particular incident was a bigger deal,this is wrong it included awful perosn of african origin on the end it read white lives matter foul african american  that why this particular incident was a bigger deal
2871,Snapchat finally has an accurate filter for these bitches ... The goddamn devil,Snapchat finally has an accurate filter for these woman.The devil
1164,not a damn soul bigoted conservative muzzies with no concept of human rights mee baeh muslim dhivehinge khaalath varah dhera ingeythoww,not a damn soul bigoted conservative awful muslim with no concept of human rights mee baeh muslim dhivehinge khaalath varah dhera ingeythoww
372,"Most religions cause death and despair, but Islam is the worst and cruelest of them all, it is nothing but trouble.","Most religions cause death and despair, but the misinterpretation of Islam is the one of the cruelest, it is nothing but trouble."
1445,. @user has either taken to some seriously ham fisted trolling or shes on meth / out of meth which I have suspected about her,@user has either taken to some serious intense trolling or she's on substance / out of substance which I have suspected about her
490,@user nice burner account nobody names their kid edwina unless they are georgia trailer trash,@user nice burner account nobody names their kid edwina unless they are georgia trailer living foul people
1533,"People will have you believe it is so they can blame other people but it ' s all such a mixed hole , all that breeding with others ... ",I am White and I believe all White people know the difference between right and wrong no matter what they say about their political positions.We are facing genocide as a people and the infighting is just loved by non Whites .
1615,"This should be Federally Mandated Law on Criminal Illegal Aliens . Upon completion of maximum sentence allowed , alien is discharged into ICE custody for immediate Deportation . #EndSanctuaryCities #EndChainMigration #BuildTheWall #ProtectUS ","This should be Federally Mandated Law on Criminal Illegal immigrants. Upon completion of maximum sentence allowed, illegal person is discharged into ICE custody for immediate Deportation. Ask illegal immigrants to leave the nation."
1769,"guy : "" i want a girl who's smart . but i also want a girl who is a total and complete slut whore . "" me : "" how bout a smart slutwhore ? "" ","guy: ""i want a girl who's smart. but i also want a girl who is a total and complete hustler.""me: ""how bout a mix of both?"""
2712,"In my culture , that's a way of saying ' Suck a dick you bitch punk cunt ' ","In my culture, that's a way of saying Suck a dick"
326,Islam pretends to be a religion but in reality it is only a moon cult.,Some muslims who misinterpret Islam pretend to be a religion but in reality they are only a group.
348,"Go fuck yourselves disgusting Muslims! You wont marry my kids or grandchildren, we all hate you!","Go to hell some muslims! You won't marry my kids or grandchildren, we all despise you!"
1956,"Yeah , after losing peanut butter as their claim to fame , they ' ll have to fall back on the Super Soaker . ","Yeah, after losing peanut butter as their claim to fame , they 'll have to fall back on the Super Soaker ."
1327,type of nigga to fight the doctor,type of foul african american to fight the doctor
2481,Are there any whites left in that craphole or have they all been killed ?,Are there any people left in that place or have they all been killed ?
2505,Im so sick of this hoe speaking on me bitch you dont know SHIT STFU,Im so sick of this woman speaking on me you dont know stuff shut up
530,ricky vaughn uses his anonymity to say the words nigger and faggot without repercussions and so many people on gab love it lol,ricky vaughn uses his anonymity to say the words foul african american and foul gay without repercussions and so many people on gab love it lol
2797,This disgusting negro makes us ( white people ) look bad .,This disgusting person makes us ( people ) look bad .
865,people that think that they have a personal relationship with talk to a fictional kike pervert pacifist on a stick are insane perverts by dictionary clinical definitions most people are insane it is a matter of degree,people that think that they have a personal relationship with talk to a fictional awful jew pervert pacifist on a stick are insane perverts by dictionary clinical definitions most people are insane it is a matter of degree
